review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139760,Brook,NSW - 2225,NSW,2225,True,2025-11-11,11 November 2025,5.0,,"Charlie Sparks was a great business to deal with right from the start. I got 5 quotes, and they are the only one who had a qualified electrician to actually come out face to face and develop with me the ultimate Solar and Battery setup at the price I wanted.The installation was well organised, on time and neat and tidy workmanship with no mess after they finished...amazing!!!Wonderful customer service with all forms completed with ease. Not only did I get help installing the interface apps for the System but also talked through on how to use it. I strongly recommend Charlie Sparks and the solar system and battery I've had installed as it's brilliant.",5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",Jinko Solar,Anker Solix,Anker Solix,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_anker-solix.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_anker-solix.png']",0,0
139549,Colin,NSW - 2071,NSW,2071,True,2025-11-07,07 November 2025,5.0,,"Quote process quick and well communicated, great team installation with everything tidy at the end. Customer service excellent, with follow up questions and calls. Seeing benefits immediately with a high ROI than expected.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Jinko Solar,Anker Solix,Anker Solix,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_anker-solix.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_anker-solix.png']",0,0
139484,James,NSW - 2217,NSW,2217,True,2025-11-06,06 November 2025,5.0,,"Couldn't have asked for better service. For all the half dozen quotes I obtained from SQ prior to installing solar and battery, Charlie and his team were the only ones thorough and attentive enough to actually inspect the roof. They were knowledgeable and friendly, and have kept me informed during every step of the installation process,My install was a two step process - first with solar, but for infrastructure to allow for battery and EV later down the track.Battery was installed about 4 months later.I've been very happy with the quality of their workmanship - the proof being their installation completed a week before the ""bomb cyclone"" hit Sydney in June - had no leaks or issues post storm.The battery install was very quick and simple, and they have been transparent with timings and supply throughout it all.Cannot thoroughly recommend them enough.",5.0,5.0,5.0,5.0,15kW,"More than $20,000",Jinko Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
139028,Anil,NSW - 2121,NSW,2121,True,2025-10-27,27 October 2025,5.0,,"We recently completed the installation of our new solar array and battery storage system, and the experience was truly exceptional from start to finish.  The installation team was phenomenal. They arrived punctually on the scheduled day, and their workmanship was top-notch. They treated our property with respect, ensuring all wiring was concealed neatly, and the inverter and battery were installed in the optimal, safest location—exactly as planned. The crew was friendly, efficient, and they completed the entire job, including full system commissioning, within one day.Overall, the entire process was smooth, transparent, and stress-free. I highly recommend Company Charlie Sparks Electrical Services to anyone considering going solar. Their quality workmanship, excellent customer service, and post-installation support truly set them apart.",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Jinko Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
137722,Tom,NSW - 2749,NSW,2749,True,2025-09-25,25 September 2025,5.0,,Charlie and his team provided excellent advice and service with the whole installation. Charlie had previously installed my solar panels and he has now upgraded the system with a Battery.  I was regularly updated with progress. The team were very helpful and explained the system clearly and simply for me. I would recommend Charlie and his team for any solar installations.,5.0,5.0,5.0,5.0,,"$4,000 to $6,000",,,,,,,False,[],0,0
136208,Gillian,NSW - 2110,NSW,2110,True,2025-08-19,19 August 2025,5.0,,"Charlie was the first installer of the three to contact me and he was very responsive to all my questions about the design.  I found him to be very down to earth, no slick sales speech just honest advice. His quote was the most competitive, with quality panels and battery.  He kept me up to date on the timing of the installation and the install went well - his team was very polite and tidy and they stayed overtime to make sure everything was working as it should.  He showed me how to use the battery app and gave me advice on charging.  I couldn't ask for better service.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Aiko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
136011,Mark,NSW - 2112,NSW,2112,True,2025-08-10,10 August 2025,5.0,,"Couldn’t be more impressed with our solar installation. He genuinely cares about his work and his customers, going above and beyond to make sure everything was perfect. Super diligent in every detail, and the quality of the workmanship is outstanding. On top of that, it’s excellent value for money. Highly recommend.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_tesla.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5dc6d9fdccda43d00a989e42a0c914581.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8df6ef4695707eb7a4fd972bcfc3feed2.jpg']",0,0
135931,Ashley,NSW - 2035,NSW,2035,True,2025-08-07,07 August 2025,5.0,,"Charlie and his team were professional from start to finish. Charlie personally visited the site to assess the job before providing a detailed quote, which gave me confidence in their approach. As the project was complex, I had concerns about equipment placement and wiring. Charlie addressed these with clear, practical recommendations, ensuring all my questions were answered. The installation exceeded my expectations, and the team left the site spotless. I highly recommend Charlie Sparks and his team for their expertise and exceptional service.",5.0,5.0,5.0,5.0,20kW,"More than $20,000",Jinko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_sigenergy.png']",0,0
135702,Burns,NSW - 2148,NSW,2148,True,2025-07-30,30 July 2025,5.0,,"Charlie did a fantastic job of fitting solar, battery and updating my fuse box. I would highly recommend Charlie Sparks for solar and battery installation.",5.0,5.0,5.0,5.0,6.6kW,"$15,000 to $20,000",Jinko Solar,I don't know,Sigenergy,5.0,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
135472,Farzan,NSW - 2212,NSW,2212,True,2025-07-21,21 July 2025,5.0,,"I recently had Charlie from Charlie Sparks install a Tesla Powerwall 3, a new 17kW solar array, and a backup gateway at my home, replacing my old solar system, and the experience was outstanding. Charlie provided a rough quote over the phone, which was reasonable, so we arranged for him to inspect my property. During the inspection, he was thorough, climbing onto the roof to assess the setup. We discussed optimal placement for the Powerwall 3, and he suggested upgrading to a 17kW solar array if budget allowed, without being pushy. His initial quote was competitive, and after I opted for the new array, he provided a revised quote that was very well-priced compared to multiple other quotes I obtained.Charlie and his team were punctual for both the inspection and installation, which impressively happened less than a week later. They efficiently removed the old system and installed the Powerwall 3, 17kW solar array, and backup gateway with professionalism and clean work.Commissioning was seamless, and the system was fully operational the same day. During the quoting process I realised that using a Tesla-certified installer is critical for the Powerwall warranty - Charlie confirmed his certification, which I verified with Tesla, so everything checked out. (Tip: always ensure your installer is Tesla-certified for a TPW3!)The day after installation, Charlie followed up with suggestions for optimising the Powerwall 3 configuration. Since those tweaks, the system has been running perfectly.I've already referred Charlie to a friend and will continue to do so moving forward. I highly recommend Charlie and his team for their competitive pricing, timeliness, and exceptional, clean work. Fantastic job!",5.0,5.0,5.0,5.0,15kW,"$15,000 to $20,000",Jinko Solar,,Tesla Powerwall 3,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_tesla.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/49af97cb8ad9cc67dc2b7b96313a4fae0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d50fae40d1089f29449c34d7680971c11.jpg']",0,0
