review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
137652,Malcolm,NSW - 2646,NSW,2646,True,2025-09-23,23 September 2025,5.0,,Excellent service from obtaining a quote right through to installation and after installation customer service,5.0,5.0,5.0,5.0,13kW,"$4,000 to $6,000",,,,,,,False,[],0,0
135120,Dom,NSW - 2655,NSW,2655,True,2025-07-08,08 July 2025,4.75,,Due to the withdrawal of the NSW Govt 'rebate' decisions were delayed but that's no reflection on CES. The install itself was great & the commissioning no problem.,4.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,Sigenergy,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
135055,Andrew,NSW - 2640,NSW,2640,True,2025-07-07,07 July 2025,4.25,,To be really honest this was the only provider in town that bothered to quote in a timely manner. Their sales team were knowledgeable and actually listened to our goals and based their recommendation on them. The quote came back quickly and their documentation was clear and understandable. Electronic signatures made acceptance easy. Install was scheduled promptly and their install team turned up on time. Workmanship was very good and we got everything in the places we asked for. The install even leaves room for additional batteries to be easily added in the future. Very happy.,4.0,4.0,5.0,4.0,15kW,"$10,000 to $12,500",Jinko Solar,Sigenergy,Sigenergy,5.0,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
133086,Kris,NSW - 2640,NSW,2640,True,2025-05-05,05 May 2025,4.5,,From the time Bree from Clean Energy Solutions came through the door to the installation process it was a very positive experience.  Bree had the ability to help us understand the monolith that is solar to the lay person and gave balanced answers to our questions; not only answers that would favour her company. Installation day came and no problems were encountered.  I would not hesitate to recomnmend this company.,4.0,4.0,5.0,5.0,10kW,"$8,000 to $10,000",Jinko Solar,Sungrow,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/68a3936f937e0b96daae42227bdd039a0.JPG', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/6e1f958800743172841c2a52dfcc8ee71.JPG']",0,0
132869,Rod,NSW - 2641,NSW,2641,True,2025-04-28,28 April 2025,5.0,,"We had a couple of very close quotes, in dollar terms, and both presentations were informative, extremely friendly and punctual. We chose Bree's quote from Clean Energy Solutions not only on price but we preferred the choice of panels and inverter they recommended.We were quoted a prompt installation date which they adhered to and apart from a last minute change of panel due to availablity which was a bit frustrating the whole installation process went very smoothly with a friendly team and good communication from Daniel.I would certainly recommend them to anyone looking for an installation in the area.",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
131466,Jack,NSW - 2714,NSW,2714,True,2025-03-11,11 March 2025,5.0,,"Andrew was knowledgeable and helpful, his installation team were excellent tradesmen, polite and offered great advice. Five star experience, highly recommend this company",5.0,5.0,5.0,5.0,20kW,"$15,000 to $20,000",Jinko Solar,,Tesla Powerwall 3,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
131406,Kayleen,NSW - 2660,NSW,2660,True,2025-03-09,09 March 2025,5.0,,"Customer service outstanding - everything explained and suggestions made. Installers professional, polite and tidy.",5.0,5.0,5.0,5.0,,"$12,500 to $15,000",,,Tesla Powerwall 3,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
131274,Adele,NSW - 2640,NSW,2640,True,2025-03-04,04 March 2025,5.0,,From the moment we reached out the service was second to none.  Highly recommend.,5.0,5.0,5.0,5.0,9kW,"$12,500 to $15,000",Jinko Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
130573,David,NSW - 2640,NSW,2640,True,2025-02-10,10 February 2025,4.5,,"We received two quotes after talking about the size of the system we wanted. Not much difference in cost between the two but using the same brand inverter and panels. The process was very good. Representatives from both companies were polite, knowledgeable and there was no pressure to sign up.Installation was done when said it would be. Installers were quick, friendly, knowledgeable and tidy. No mess left.Plenty of information given about shutting down the system and bringing it up again.The app was explained to us and the installation included organizing for the power meter to be changed to a smart meter which took a couple of weeks.Since then, we have received from Solar Quotes, a list of power providers in our area and the various prices for peak, off peak and solar. That is very helpful.",4.0,5.0,5.0,4.0,6.6kW,"$2,000 to $4,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5131231b8750a0730ccf307eca4b844d0.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5f9e51521a4783c5088eab926a9ebb9f1.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e3fa4735d32dcc92e61344235d09e5c92.jpg']",0,0
129528,Lois,NSW - 2640,NSW,2640,True,2025-01-07,07 January 2025,5.0,,"A professional and seamless process from start to finish. We appreciated Bree's prompt site visit after our initial enquiry, where lots of solar information was shared with us and we were able to ask lots of questions. Jacob's visit with his team just 3 weeks later was very smooth, thanks to his knowledge, experience and expertise. As well as the installation of a new solar battery and inverter, we also had 9 obsolete solar panels removed and 9 new ones installed to supplement the existing 20 solar panels. The work was carried out in a timely, cost efficient and skilful manner with excellent customer service demonstrated by all personnel. Clean Energy Solutions also organised all the paperwork, the NSW Government rebate, the grid connection and showed us how to install the iSolarCloud app on our phones. We are delighted that we supported a local company who have a showroom very close to where we live so we can pop in at any time with questions etc. Clean Energy Solutions also carry out ongoing monitoring of the system to ensure everything is working like it should! I recommend Clean Energy Solutions for all solar energy installations.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Jinko Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
