review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
138341,Melissa,QLD - 4213,QLD,4213,True,2025-10-09,09 October 2025,5.0,,EISS had great communication from quote through installation. My tradie husband is very impressed with the attention to detail on the installation.We are extremely happy with the investment made on our property with the EISS teamEstimate a saving of 85-90% of grid power within first month.,5.0,5.0,5.0,5.0,20kW,"More than $20,000",Trina,Tesla (Other),Tesla Powerwall 3,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/ebeb7fc389dd4f8a15c5bef29fc4aea30.jpeg']",0,0
137973,Stacy,QLD - 4211,QLD,4211,True,2025-09-30,30 September 2025,5.0,,"We recently had EISS Solar install a solar system at our property and we couldn’t be happier with the result. From start to finish, the whole process was smooth, professional, and stress-free. The team were punctual, efficient, and really took the time to make sure everything was set up perfectly.The installation was done to a very high standard, and they left the place neat and tidy afterwards. We’ve already noticed the benefits of the system, and it’s a great feeling knowing it was installed by such a reliable and knowledgeable team.Highly recommend EISS Solar to anyone considering solar – they did an amazing job and we are very happy with the outcome!",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",,,,,,,True,['https://www.solarquotes.com.au/img/installation/thumbnailsx83/df898393dba9659bdf0f48ca8da5f9f30.jpeg'],0,0
137611,Matthew,QLD - 4074,QLD,4074,True,2025-09-23,23 September 2025,5.0,,"The process with EISS was super easy. Communication was great from the start and super responsive to any questions, and super easy via text message.My installation was not straightforward as first thought so they had to come back which didn't bother me cause they explained why and even came back on a Sunday to finish the job so it I didn't have to worry about taking time off work. After the install they also made sure the system is running as it should.Would highly recommend these guys. There is a reason they are so busy.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Aiko Solar,Fronius,BYD,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c50ee31e68ff93e260b1f8a3b6cf10050.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/f8372a2466a9673faaa26f7705c2fa901.png']",0,0
137584,Scott,QLD - 4164,QLD,4164,True,2025-09-22,22 September 2025,5.0,,"The EISS team were great to deal with, incredible customer service and advice.Highly recommend!",5.0,5.0,5.0,5.0,13kW,"More than $20,000",Aiko Solar,Tesla (Other),Tesla Powerwall 3,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
137576,Roger,QLD - 4109,QLD,4109,True,2025-09-22,22 September 2025,5.0,,EISS quality installer that gave honest advise and recommendations. Didn't try and push for a system too big for your needs. (Even though I decided to go bigger) Use trusted brands only.Listen to your needs and communication was amazing. Special shout out to Nathan that answer call and text messages at all hours of the day.Main installer Luke and his team for dealing with a 3 story roof and making sure I was happy with everything.  Can not recommend them enough.,5.0,5.0,5.0,5.0,15kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_zappi.png']",0,0
137573,Adam,QLD - 4285,QLD,4285,True,2025-09-22,22 September 2025,4.75,,Guys were great. Appeared to clearly know their stuff . Generally very punctual (one of the boys got sick which can't be helped) but came back asap. Very happy with how the system is performing,4.0,5.0,5.0,5.0,13kW,"More than $20,000",I don't know,Fronius,I don't know,4.0,5.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
135760,Kent,QLD - 4220,QLD,4220,True,2025-08-01,01 August 2025,5.0,,"The team was easy to deal with, great product, good quality installation, helpful with set up of app to monitor system and to top it off, great price. Exactly what I was after.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Aiko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4aae5232a7b57f34e4dde85310d409c80.jpeg']",0,0
135431,Marty,QLD - 4218,QLD,4218,True,2025-07-18,18 July 2025,5.0,,"We’ve used EISS for both our initial solar installation and a later battery upgrade — and the experience couldn’t have been easier. They were polite, punctual, and genuinely professional throughout the entire process. If you’re after quality workmanship and service, you can’t go wrong with EISS. We’d recommend them without hesitation.Fantastic job.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",,Fronius,BYD,,,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png']",0,0
134640,Doug,NSW - 2478,NSW,2478,True,2025-06-25,25 June 2025,5.0,,"Nathan and Luke from EISS provided exceptional service with great communication from start to finish, speedy installation with quality as a priority.They also provided great follow-up communications to ensure our understanding of the systems function and monitoring.Highly recommend these guys for anyone looking for a high quality solar system with great overall service to the customer.Thanks guys, very happy!",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Trina,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/278cb0037a6ef453e3c3a0f65fe1bc5d0.jpeg']",0,0
134503,Geoff,QLD - 4053,QLD,4053,True,2025-06-20,20 June 2025,4.5,,"We’re super happy with EEIS. Very quick to respond to our inquiries, straightforward advice on options, and clear pricing made our decisions easy. We had some family health challenges that we had to work around. EEIS were happy to accomodate us and change their schedule to suit. They then turned up and completed the job as promised. Thanks, guys!",4.0,4.0,5.0,5.0,13kW,"$10,000 to $12,500",Trina,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
