review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139007,Ross,VIC - 3088,VIC,3088,True,2025-10-26,26 October 2025,4.75,,"Very prompt to arrange a time to thoroughly talk through the work we wanted and to send a quote with options. Installers rocked up on time, very pleasant and easy to deal with, and did a very neat install and left the site tidy. Also quickly and easily helped with connecting the EV charger to the enphase app.",4.0,5.0,5.0,5.0,,"$2,000 to $4,000",,,,,,,True,['https://www.solarquotes.com.au/img/evchargermanufacturers/I_enphase-energy.png'],0,0
125573,Michael,VIC - 3103,VIC,3103,True,2024-09-02,02 September 2024,5.0,,"I’ve deliberately waited 18 months after installation to see whether there have been any after installation service issues. There haven’t been , the system continues to work seamlessly.Green Edge weren’t the cheapest of the 3 quotes provided by Solar Quotes, but they were the only one prepared to send a representative out to my property to view the roof and take me through my options. Lucas was excellent to deal with, knowledgeable and thorough. That additional service on the investment we were making in the panels represented real value for money from my perspective.Unsurprisingly given this professionalism, the installation process went totally smoothly.",5.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",Jinko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/59cc1786f932a676e94f200558561c9c0.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d78b714faf01823d5989fb576c7edbd11.jpeg']",0,0
125538,Tanja,VIC - 3076,VIC,3076,True,2024-08-31,31 August 2024,5.0,,"Quoting was straight forward. Provided lots of information about our options and spent time discussing how the options aligned to our goal (pros, cons, future considerations, etc.). He wanted us to be able to make the right choice for our needs, and didn't pressure us to pick them (no gimmicks, no pushy sales calls). We felt he cared more that we were able to make a smart decision, even if that was to choose another provided. We felt he had nothing to hide and wasn't thinking profit over all else (didn't push to upsell to a size/product that didn't benefit our goal).Installation took 2 days for our system and the team were professional but down to earth and fun to chat with. They clearly loved what they do and were happy to explain anything to us that we asked about. They also listened to us when we had input and if something we preferred wasn't possible (would fail inspection), they explained why and helped find the most appropriate middle ground between what made us happy and what would meet requirements. They also handled obstacles (like our hard to access roof and the difficult angle inside the wall) with patience and expertise.Customer service was excellent at every step so far, and we don't feel anything has been kept from us (every change to the original plan was discussed when an issue first appeared so we understood what/why/how and could be involved where appropriate). They have taken care of most admin items (rebates/loans required us to do our parts), which has made this a very low stress experience.Currently awaiting inspection and then grid approval, both of which they handle administratively.Would 100% use them again, and highly recommend them to everyone!",5.0,5.0,5.0,5.0,10kW,"More than $20,000",Jinko Solar,Fronius,BYD,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png']",0,0
122315,Warrick,VIC - 3754,VIC,3754,True,2024-05-19,19 May 2024,5.0,,"We had 3 quotes done, and each company was well presented and easy to understand.   The initial quote was high and a system too big, so we asked them to review it down and similar to the other 2.  Once all 3 were then done we went for the company that we felt most comfortable with in both the representative and the company research we did.   The installation was only a few weeks later and done in 2 days.   The installers were very helpful and knowledgeable answering any questions I had.   The only issue was having the system inspected and it took more than 10 days for this to happen.   The company was helpful with this and answered my emails within hours.",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",SolarEdge,Enphase,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
122250,Peter,VIC - 3109,VIC,3109,True,2024-05-16,16 May 2024,4.5,,"I selected Greenedge technologies based in their people and service. They were the most expensive of the 3 quotes I recurved but only but by about 12%.They were the only ones to actually visit my home to give a quote and this made a definitive difference to the design and effective operation of the system.Communication was quick, effective and they always met all their dates and commitments.Installation team were very professional  and the job was done well with good communication from the team as it progressed. They continually made an effort to ensure the quality of their work and made sure any damaged roof tiles were replaced and let me know exactly what they were doing.I'd definitely recommend Green Edge for quality, professionalism and peace of mind for a new solar user like me.",4.0,4.0,5.0,5.0,8kW,"$10,000 to $12,500",REC,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
120729,Michael,VIC - 3085,VIC,3085,True,2024-03-28,28 March 2024,5.0,,"Of the three companies we contacted GreenEdge was the only one that immediately set up an onsite visit. The other two companies just sent a quote based on satellite photos. Salesman (Joshua) was friendly, patient and informative including with us making quite a few follow up calls with more questions. Because he had visited onsite he picked up a couple of issues which the other companies did not. Joshua also sorted out a heat pump hot water service for us, which we were already planning on getting.  The installation team was friendly and efficient and seemed OK with me hanging around and asking about the process. Communications with the office staff was very friendly and efficient. Every step along the way was clearly explained. Comms with our power company was included. Even though we paid a bit more than the other quotes for a comparable system, we felt it was well worth it. No hesitations recommending GreenEdge.",5.0,5.0,5.0,5.0,6kW,"$8,000 to $10,000",Seraphim,Enphase,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
120091,AnnMaree,VIC - 3088,VIC,3088,True,2024-03-11,11 March 2024,5.0,,"They installed both solar panels and a heat water pump. Very happy from beginning to end. Excellent communication, prompt and tidy tradesman and made the whole process (including dealing with the Victorian Gov't paperwork) as easy as possible. I know nothing about this technology and was quite daunted by the idea of commmissioning this work but they made it as painless as possible.  A small problem did occur due to the roof scaffolding but I don't believe it was their fault and have always been of the opinion that sometimes unexpected problems will occur. What interests me the most, is how a company deals with those problems. This one, inmediately sent someone out and it was sorted that monring. Very happy and would definitiely recommend them. Thank you for a great job.",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
117595,Jason,VIC - 3095,VIC,3095,True,2023-12-15,15 December 2023,5.0,,"Wonderful experience from the sales process through to the installation.  We are very happy with the system, excellent workmanship, and very professional people. Would definitely recommend them to anybody.",5.0,5.0,5.0,5.0,10kW,"More than $20,000",REC,Fronius,Tesla Powerwall 2,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
117422,Glenda,VIC - 3207,VIC,3207,True,2023-12-10,10 December 2023,5.0,,Prompt and professional sales person Lucas who responded promptly to my needs and concerns. Advised new recommendation on panel types prior to install and the team kept me informed through process with the government solar rebates and getting the set up via electricity distributor and retailer. Allowed me the time to think through what I really wanted.  Technical staff performed onsite visit to inform best system to install on a older single fronted joined house on both sides. Allowed me the time to think through what I really wanted.  Rec panels and enphase  micro inverters and monitoring system installed. Installation process all completed with minimal fuss in a day. It did take the independent electrical inspector almost 4 weeks to come to certify the install. Now  post 3 months post all working as expectedRecommend the team at Green Edge.,5.0,5.0,5.0,5.0,5kW,,REC,Enphase,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
116983,Ross,VIC - 3105,VIC,3105,True,2023-11-29,29 November 2023,4.0,,"Extended quotation process as it involved removing an old system, but they were prompt and helpful in their answers.Installation was neatly done, with a polite, self sufficient crew, so I kept working from home the entire time.  Explained to me what they planned to do, and provided advice and opinions on future options I might take.  Has run smoothly since being commissioned.",4.0,4.0,4.0,4.0,10kW,"More than $20,000",REC,Fronius,BYD,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png']",0,0
