review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140129,Lara,WA - 6285,WA,6285,True,2025-11-18,18 November 2025,5.0,,"Excellent service from start to finish. Mike (in sales) was incredibly patient in explaining the different options available to us. We took our time, compared different offerings from other companies and had multiple helpful discussions with Mike before deciding Green Wave was the company with the product that we wanted. Then their administration was really prompt/efficient and the installers were professional, friendly, informative and left the job site immaculately clean. I have no hesitation in recommending Green Wave Solar.",5.0,5.0,5.0,5.0,5kW,"$12,500 to $15,000",,Fronius,Fronius,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_fronius.png']",0,0
137913,Craig,WA - 6281,WA,6281,True,2025-09-30,30 September 2025,5.0,,"Sales process went very well. They were extremely helpful, prompt and courteous",5.0,5.0,5.0,5.0,5kW,"$10,000 to $12,500",Jinko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4647b10b7e24715594b4b0a6948f07b50.jpeg']",0,0
136171,Peter,WA - 6282,WA,6282,True,2025-08-17,17 August 2025,4.75,,"I've had a few dealings with Green Wave Solar over recent years. I cannot fault them. Two years ago they upgraded my then 13 year old solar system, and this month they installed a new battery storage system.The sales/quoting process was straightforward. The installation was timely and efficient. After sales/installation service was trouble-free. Overall it's not a ""cheap"" process, but I've paid for good quality and good service, and I'm satisfied with the costings.Over the years my dealings with the team have always been professional, efficient and friendly. They are happy to deal with my ""dumb"" questions, and it's always been handy to be able to pop into the office in town on the very odd occasion that I needed to sort something out.Very happy to recommend.",4.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,BYD,,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_fronius.png']",0,0
134021,Evan and Renee,WA - 6285,WA,6285,True,2025-06-02,02 June 2025,5.0,,"From quoting our system to the final installation of our system Green Wave provided exceptional service. They provided good quality product advice and worked seamlessly with our builder to execute the installation process. Installers are professional, clean and tidy and willing to provide informative advice on installation and start up. The system was pretty much plug and play, everything was done for us. After sales service second to none. Our system has been running for 6 months with no issues.",5.0,5.0,5.0,5.0,6.6kW,"$15,000 to $20,000",REC,Fronius,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
133273,Louise,WA - 6280,WA,6280,True,2025-05-09,09 May 2025,5.0,,"From the first call to GreenWave, it was amazing, they replaced my 10-year-old system that didn't want to work any-longer.The explanation of Australian Standards, why and what was required.The quote was broken down into 3 options, making it very easy to understand.The removal of the old system to the repairs required to my roof, to the time of arrival.The install process was brilliant, the young men installers, were happy to explain the process,Explained the APP, Explained the reconnect to the grid, to the next steps to the new meter.They even left my garage floor tidier than when they arrived.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,iStore,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg']",0,0
133258,Brian,WA - 6281,WA,6281,True,2025-05-09,09 May 2025,5.0,,Great overall Customer Service.Sales process was seem less - quotes within 24 hours.Installation team did a great professional job - in and out within 5 hours.,5.0,5.0,5.0,5.0,9kW,"$10,000 to $12,500",,Fronius,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
132637,Karen,WA - 6271,WA,6271,True,2025-04-16,16 April 2025,5.0,,"Excellent customer service from start to finish. They came to our house and designed a system to suit our wants AND needs. No pushy salesman just honest and friendly knowledgeable conversation. Matt was amazing....the nicest salesman l have ever met.They designed our system, organised everything and the installers did a wonderfully tidy and efficient job. The fact that they are local gives me peace of mind IF l do have any issues.I would definitely recommend them to anyone thinking of going solar.",5.0,5.0,5.0,5.0,6kW,"$8,000 to $10,000",REC,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
132517,Adrian,WA - 6281,WA,6281,True,2025-04-13,13 April 2025,5.0,,"The customer service was second to none, asked three companies for a quote, only Green Wave gave any service, well done. We will certainly be recommending Green Wave to friends and family, the whole process was excellent. Installers were excellent, friendly and very tidy. We really didn't have to do anything and there was follow up from the office to ensure we were happy and everything was working and connected.",5.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",REC,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
132226,Geoff,WA - 6271,WA,6271,True,2025-04-06,06 April 2025,5.0,,"After many years of research, waiting and loads of solar quotes I chose Green Wave due to the following reasons.1. The sales consultant Mike is qualified in solar passive design, as he offers you only the best design for your house. He is not there to just sell you a system and make a quick dollar. He will only design a system that will give you maximum returns from the panels and inverter based on your needs.2. The company only offers the best panels, mounting frames and inverters.3. The crew that installed the system were professional, accurate, polite, and made sure the work was done to a high standard. They left not mess and ensured I understood how to operate the system.4. As a local company should I have any issues or queries they are available to assist and willing to assist. So far everything is working above expectations.While I may have paid slightly more than other solar companies I have ended up with the best of the best solar panels, mounting frames and inverter. Before we signed, we were concerned about how our panels would look as they are facing the street. When we looked around our suburb many of the solar panels installed by other companies look cheap and are not aesthetically appealing. Ours look great from the street, love the all black look.I will be using Green Wave to install a battery later this year as I trust them to only offer me the best batteries at a fair price.Thanks, Green Wave",5.0,5.0,5.0,5.0,6kW,"$8,000 to $10,000",REC,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e6fe610d624433fe8f66f2f7621c2bb30.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/14ca72a1b27d9cffdbfbc5c235f37da61.jpg']",0,0
132035,Rohan,WA - 6233,WA,6233,True,2025-04-01,01 April 2025,5.0,,"I highly recommend GWS for a PV Solar system.  The enthusiasm I witnessed from start to finish (covering discovery, quotation, site preparation, installation and commissioning) was fantastic.  This work was all done with accommodating my many questions all the way.",5.0,5.0,5.0,5.0,5kW,"$10,000 to $12,500",REC,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
