review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
139880,Simon,QLD - 4005,QLD,4005,True,2025-11-13,13 November 2025,5.0,,"Prompt attention to my query. I had 3 quotes for replacing my non functioning  solar system and all were over 10k which wasn't worth our while as we are likely to move in around 3 years. Mitch was the only person who suggested that we need only replace the inverter which we did and the system works fine. He also supplied and fitted a charger fofrmy new EV as well as carry out some smaller jobs eg replacing non functioning halogen downlights with LEDs.All jobs done to my satisfaction, at a good price and the services were done quickly and at the exact time they were promised. Nothing seemed to be too much trouble for the Company",5.0,5.0,5.0,5.0,6kW,"$2,000 to $4,000",,Fronius,,,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_tesla.png']",0,0
139853,Jarrad,QLD - 4346,QLD,4346,True,2025-11-13,13 November 2025,5.0,,The guys were very professional and it was a neat and tiday install.Very helpful with any questions and advice regarding the install. Have already recommended them to mates because of the install quality and how easy the installers were to communicate and deal with.,5.0,5.0,5.0,5.0,15kW,"More than $20,000",,,,,,False,[],0,0
139203,Jason,QLD - 4011,QLD,4011,True,2025-10-30,30 October 2025,5.0,,"Great process from start to finish. Quotes obtained within a week and decision made, a couple of months waiting for the batteries to arrive and then all installed with minimal disruption in a day and a half. Mitch and Dieter were a pleasure to work with: lots of communication throughout the process, really invested in making sure we got exactly what we wanted, and had the app all set up for use prior to leaving. The end result is great would thoroughly recommend. Thanks very much.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",,Sigenergy,Sigenergy,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/001c72e62df870168873afb3a7671dfb0.jpeg']",0,0
138915,Tom,QLD - 4178,QLD,4178,True,2025-10-24,24 October 2025,5.0,,"I have to say a big thank you to Team Dieter and Mitch for my new 10.56kw solar system with 8kw inverter installation. All the conduit and cable works are neat and tidy.During the first site inspection, Dieter also explained to me clearly about new switchboard and mains cable upgrade is recommended for new solar system and potential battery installation in the future.I’m glad that I have upgraded my switchboard and mains cable at the same time as new solar system installed, it’s all to the standards now.Mitch showed me how to use the app to monitor the system, they are polite and punctual, tidy the worksite when the job is completed, they are hard working tradespeople.I highly recommend to anyone who wants to install their solar system or upgrade switchboard.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Trina,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/75e508d5d3253b5a1717d08132632dc30.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/72453221fda6bd3a53e21c3907cd8c831.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/eeb31920ac7d2ce838cfa9d3565923cf2.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/eb38ed8b7ed11a428914ee0067ca4e833.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8d2a69029a40d3690a1a1f421f7bca704.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/74e6744a1ea2858d7079058ebbca92df5.jpeg']",0,0
138471,John,QLD - 4171,QLD,4171,True,2025-10-13,13 October 2025,5.0,,"Mitch impressed us from the outset with how we could increase our solar energy and offered to redesign and retrofit our current panels plus finding room for another 11. No other company offered the same advice appearing only interested in selling larger batteries.  Both Mitch and Dieter worked very well: they were helpful, efficient, punctual and left the areasspotlessly clean spotless when they had finished.We would highly recommend Isolated Electrical.",5.0,5.0,5.0,5.0,20kW,"$15,000 to $20,000",Jinko Solar,Sungrow,Sungrow,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5133baa17e58a19f839aefbbe73301b40.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/0645de11cbc18c1b58f6719446edfc1e1.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/3dfb7ba07e35be920e9db8fb2dea043f2.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/99e728e015cab1fe25f5ae4fa5cf24993.jpeg']",0,0
138468,Trudy,QLD - 4171,QLD,4171,True,2025-10-13,13 October 2025,5.0,,Isolated electrical were a pleasure to deal with from start to finish. Time given to us to explain the best option for us was generously given and a follow up phone call from us with any questions was welcomingly received. The team were punctual each day and left the site clean and tidy. Top marks for customer service even to the point of offering to come and clean the solar panels monthly as we are living opposite a very dusty building site atm. Highly recommend,5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",,Sungrow,Sungrow,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
137148,Louise,QLD - 4107,QLD,4107,True,2025-09-12,12 September 2025,5.0,,"We are very happy with the job Isolated Electrical Qld has done. From first contact to the completion of the job their communication has been fantastic. The job entailed removal of and upgrades to inverter, power-board,  replacing redundant existing solar panels with new panels and increasing the number of panels. In addition to this Mitchell positioned the new panel to face north maximising on the solar energy. The install went ahead as scheduled and was completed within the timeframe they specified. The site was left tidy and we are very happy with their work.We have just received our first power bill since the install on the 22nd of Aug with image attached showing the solar credit for previous months and for August. WHAT A DIFFERENCE!We are very happy with the work Isolated Electrical QLD have done and thoroughly recommend them. Thank you Mitch and team.Louise and John at Salisbury",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,Fronius,,,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/03a962cfcb42d8775872ed9ddd576cd10.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a198b56b5bac69aad31f17614b946a101.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e8cbace74c4e6bcf606a3b60f59382822.jpeg']",0,0
135800,Jorge,VIC - 3197,VIC,3197,True,2025-08-03,03 August 2025,5.0,,Very tidy installation. The crew was very safety conscious and even helped out with non-related issues.,5.0,5.0,5.0,5.0,more than 30kW,"More than $20,000",,Fronius,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
135631,Ashley,QLD - 4055,QLD,4055,True,2025-07-26,26 July 2025,5.0,,"Mitch and the team were friendly, helpful, respectful, turned up on time, did exactly what was asked for the quoted price and tidied up after themselves. Couldn’t ask for more.",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",,Fronius,,,4.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_fronius.png']",0,0
135367,Nigel,QLD - 4171,QLD,4171,True,2025-07-16,16 July 2025,5.0,,"Isolated Electrical were recommended to me by ""word of mouth"" as this is always the best way to decide whom to engage. The team at Isolated Electrical were at all times professional, knowledgeable and punctual. They responded promptly to any queries that I had and were able to explain clearly to answer my queries.I happily recommend the team at Isolated Electrical for your solar and EV charger install.",5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",,Fronius,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
