review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140335,Larry,NSW - 2234,NSW,2234,True,2025-11-23,23 November 2025,4.75,,John was prompt and professional in there approach to the job at hand. John only lives 10 minutes away and said if I have any problems just give him a ring.,5.0,4.0,5.0,5.0,10kW,"$6,000 to $8,000",Sungrow (Other),Sungrow,,4.0,4.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
138455,Brendan,NSW - 2234,NSW,2234,True,2025-10-13,13 October 2025,5.0,,"Good fast clear service from John, would recommend to anyone else looking to get solar done",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",,,,,,,False,[],0,0
132240,Sean,NSW - 2229,NSW,2229,True,2025-04-06,06 April 2025,5.0,,"John was the only company of the 3 I was connected with that bothered to come out, inspect our roof and have the time to chat with me about the options as well as my concerns about a slightly more intricate install (we have a concrete roof).John was easy to get along with, got on with the job and did a FANTASTIC install - especially considering I'm very particular about the details and workmanship.Would absolutely highly recommend John and more than happy to support a local small business that actually cares about you, the system being installed and its fit.Upon reflection, I’m very happy that we picked a local small company over the bigger multi tiered solar companies where you end up dealing with a sales consultant who in my experience all had zero actual solar install experience.",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
131848,Michael,NSW - 2229,NSW,2229,True,2025-03-25,25 March 2025,5.0,,Quote was greatJohn was punctual and tidy .From the quote to installation was about a week.Communication was fantastic.We are so confident with JJA Solar we are organising a quote for solar on the roof of our business at Bulli,5.0,5.0,5.0,5.0,9kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
130846,Michael,NSW - 2176,NSW,2176,True,2025-02-19,19 February 2025,4.5,,"John from JJA Solar was recommended to us, so we requested a quote after previously obtaining many quotes from other reputable installers.John was very quick to provide a comprehensive quote, checked in with me over the phone to ensure it was clear and received correctly, and also provided a competitive price for the exact system we wanted. His advice was helpful and he was not pushy at all.SAA Accreditation, industry experience and a quality system design and installation were important to us, and JJA Solar delivered on all fronts.The installation then went well, despite some factors out of his control affecting how long the installation would take. John worked tirelessly on the roof and completed everything neatly. PV System was up-and-running in no time.",5.0,5.0,4.0,4.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
124944,Peter,NSW - 2170,NSW,2170,True,2024-08-13,13 August 2024,5.0,,"My solar installation experience with John was very easy. From the quoting through to installation he was always contactable to answer my questions.He even returned in his own time to rectify a mistake my energy provider made during installation of a smart meter.Honest, easy to deal with and a very competitive quote.",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
122232,David,NSW - 2233,NSW,2233,True,2024-05-16,16 May 2024,4.5,,"Friendly, professional installer. Organised my provider for me. Was open to any questions I had.",4.0,5.0,4.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
120490,Tony,NSW - 2234,NSW,2234,True,2024-03-21,21 March 2024,5.0,,"John was amazing from beginning to end, out of the 3 quotes I had received John was the only one that personally called up and talked me through what I needed.  I had follow up questions over the span of 2 weeks and John responded to every one of those without any issues.I had received a bunch of other quotes that were close to half the price, however just having finished a new build I know too well what it meant if I went with one of the cheap options.  This is probably the deciding factor as I needed to make sure someone with experience was working on my roof, not negligently drilling holes and doing a quick/cheap job which usually leads to leaks and a much bigger headache later on.Once I accepted the quote John came himself personally and did my install over 2 days.  Was a nice change of pace to see the owner himself come out on site instead of a the usual subbie that has no idea.Was John worth every dollar? Absolutely.  Could I have saved heaps elsewhere, sure.  But I have the confidence in the job John has delivered and on that alone was worth the money.Also being local gave me that much more confidence so that was a big plus!",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Jinko Solar,SolarEdge,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
120152,Yuen Tai,NSW - 2228,NSW,2228,True,2024-03-12,12 March 2024,5.0,,Quoting process was straight forward.  System was up and running in 3 days despite unfavourable weather in between.Jobs were done in polite and tidy manner.  Grid connection was confirmed by the energy retailer in 7 days.,5.0,5.0,5.0,5.0,9kW,"$6,000 to $8,000",Jinko Solar,Sungrow (Other),,4.0,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png'],0,0
110490,Johann,NSW - 2223,NSW,2223,True,2024-03-07,07 March 2024,4.75,,"John from JJA took the call stright away. He was on time for the quote. I got 3 more quotes and had a good look at all of them. John explained all my questions. The price was very good. The installation was neat, tidy and completed in no time.I would recomend JJA to anyone. Job well done.",5.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
