review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
140177,John,WA - 6210,WA,6210,True,2025-11-19,19 November 2025,4.75,,as the above comments have detailed will be talking to sundrop when i think i need a battery,5.0,4.0,5.0,5.0,6kW,"$4,000 to $6,000",Jinko Solar,Growatt,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
139585,Sharon,WA - 6108,WA,6108,True,2025-11-07,07 November 2025,4.75,,"Right from the start , getting information and quotes , Kevin was very helpful and explained everything to me .Very happy with their service and installation was very professional and they cleaned up after they had finished",5.0,4.0,5.0,5.0,13kW,"$15,000 to $20,000",Jinko Solar,Sigenergy,Sigenergy,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
139498,Wayne,WA - 6157,WA,6157,True,2025-11-06,06 November 2025,5.0,,"The initial education from Solarquotes was really helpful, even for myself as an electrical engineer who does not work in the field of renewables. Solarquotes was able to recommend two firms for my area in Perth. Sundrop Electricals were able to answer all my questions, and they have a good level of technical knowledge on domestic solar systems. From all of my enquiries, I received 2 quotes, mostly due to businesses being too busy and also not too interested as I wasn't buying a battery system as well. I chose the Sundrop Electricals' proposal for the combination of Jinko panels and the 10 kVA Fronius Gen24 Inverter.All interaction required with our energy provider was done by the Sundrop team, so the process was easy.The installation process was consultative, and the workmanship is of a high level. All of the team was polite and due to the size of the team, it only took 6 hours. The system handover and supplied documentation were done well. There was no hurry to just abandon me with the new system. I have received all required electrical notices from the regulator and they initiated the energy retailer processes as well.I can recommend Sam and Shane from Sundrop. They are passionate about renewable energy and take pride in their work and business.",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Jinko Solar,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
138175,Jan,WA - 6015,WA,6015,True,2025-10-05,05 October 2025,5.0,,"Other installers sent quotes without vsiting our home.  Sam from Sundrop was great, he explained his quote, checked that our tiles (which are quite old) we in good condition to allow installation of the panels and talked through our options.  We actually chose a more expensive solution than he recommended just because we wanted total integration with our vehicle charging, and Sundrop did not push this solution.Sam has been responsive and completed all work as scheduled.  He connected everything through the wifi app and registered and setup everyhting for us, including the car charger.We highly recommend Sundrop and Sam to any prospective solar customers..",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Trina,Sungrow,Sungrow,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_sungrow.png']",0,0
137802,Ross,WA - 6304,WA,6304,True,2025-09-26,26 September 2025,5.0,,Shane and his team were punctual polite and respectful. They worked diligently completed the installation and cleaned up the debris. I have no hesitation in recommending Sundrop to people looking for quality.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,Sungrow,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
137150,Noel,WA - 6020,WA,6020,True,2025-09-12,12 September 2025,5.0,,"Sundrop Electricals provided expert advice in an easy to understand manner and installed a fit for purpose system for us. They were cost competitive, used quality components and made the whole process straightforward. We have already recommended them to family.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
136818,Kitson,WA - 6107,WA,6107,True,2025-09-05,05 September 2025,5.0,,"The quotation process with Kevin went very well.Shane and his team arrived on time for the installation, all installed quickly and efficiently.Shane setup the Sungrow inverter app on my phone.So, in all a very good experience with Sundrop Electrical.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
136501,Darryl,WA - 6149,WA,6149,True,2025-08-27,27 August 2025,5.0,,Gave good quote explaining my choice in quality and price. No issue with installation which was done promptly and surprised by how quick it was done. excellent after service provided where they completed all relevant paperwork.,5.0,5.0,5.0,5.0,13kW,"$6,000 to $8,000",Jinko Solar,Goodwe,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
135832,Marie,WA - 6056,WA,6056,True,2025-08-04,04 August 2025,5.0,,"We have been putting off getting solar for a long time. But a chat with Sam changed our minds. He went over the details, very thorough and was patient in answering all our questions. Thanks Sam and Shane for your professionalism and excellent customer service!",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,False,[],0,0
135002,Danielle,WA - 6163,WA,6163,True,2025-07-05,05 July 2025,5.0,,"Really knowledgeable sales person who was happy to answer all of our questions. Quick turnaround from quote to install.Installation crew was very impressive, it was clear they had a lot of pride in their work and in providing a high quality service.Grid connection was done straight away.Very impressed with their service, quality of work and fast turnaround. Highly recommended!",5.0,5.0,5.0,5.0,15kW,"$10,000 to $12,500",Jinko Solar,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
