review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
137881,Andrew,NSW - 2250,NSW,2250,True,2025-09-29,29 September 2025,4.5,,"Good quality gear, tidy and efficient installation.  Prior to deciding, we worked through several possible scenarios as our set-up was not straightforward.  Supplier worked with us to design and spec a system that worked.  It's only been 3 days, so I can't say much more.",4.0,5.0,5.0,4.0,10kW,"$15,000 to $20,000",Jinko Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
132918,Ron,NSW - 2261,NSW,2261,True,2025-04-29,29 April 2025,5.0,,"I have written him a review. The difference being that talking to a technical person rather than a salesman help me to understand what we wanted to achieve, how we could achieve it and what would meet our needs.",5.0,5.0,5.0,5.0,8kW,,Jinko Solar,,Tesla Powerwall 3,5.0,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
130994,Patrick,NSW - 2261,NSW,2261,True,2025-02-24,24 February 2025,5.0,,"A very prompt response after the quotes were requested, resulting in a panels and battery system that is already significantly reducing my power bill and carbon footprint.Neat and tidy installation which happened on time, and good follow-up.",5.0,5.0,5.0,5.0,15kW,"More than $20,000",Aiko Solar (Other),Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
129945,John,NSW - 2250,NSW,2250,True,2025-01-19,19 January 2025,5.0,,"The installation went great, professional and helpful all the working were explained. Connection to the grid was all done. All the lead-up work quotes and installation were professional and helpful also a very friendly team.",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",,,,,,,True,['https://www.solarquotes.com.au/img/installation/thumbnailsx83/3c2e49f30384e4f921b9ff8129176abe0.jpg'],0,0
129039,Chris,NSW - 2261,NSW,2261,True,2024-12-14,14 December 2024,5.0,,TruBlu (Billy) provided excellent pre & post sales support and his team did a speedy and excellent job. TruBlu did all I was expecting and that little bit extra... Excellent work.,5.0,5.0,5.0,5.0,20kW,"More than $20,000",JA Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
125168,John,NSW - 2263,NSW,2263,True,2024-08-20,20 August 2024,5.0,,"Really good people to deal with, in depth explanation of all aspects of the process. Good follow-up on the different stages of the project. Billy and his team have done a fantastic job with the new system, very neat and tidy workmanship.Thanks to everyone involved.",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",JA Solar,,,,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg'],0,0
122931,Andrew,NSW - 2257,NSW,2257,True,2024-06-11,11 June 2024,5.0,,"Billy and his team at Tru Blu Solar were great. Billy spent time with us to clearly explain the system and how much power we would need. The proposal was clear and easy to understand.The installation was done over 2 days. They arrived on time and were very nice guys to deal with - polite and tidy.We had a small misunderstanding re the position of the conduit, but Billy stepped up and went beyond our expectations to deliver a great outcome. The system was set up and is working well at this stage, generating more than we expected.We can highly recommend Billy and his team at Tru Blu Solar.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",JA Solar,Enphase,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
122930,Paul,NSW - 2250,NSW,2250,True,2024-06-10,10 June 2024,5.0,,Matched a quote from another company. Very attentive to detail. Great app to view daily solar output and costs in and out. All paperwork for my retailer to assist in meter upgrade.,5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",JA Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/01a986b1ea79e29662d61db5bc7b77280.jpeg']",0,0
121787,Eric,NSW - 2256,NSW,2256,True,2024-05-03,03 May 2024,4.25,,"We were put in touch with Tru Blu by Solar Quotes. Billy the owner is very efficient and did a great job for us. We live in a townhouse with a 'difficult' roof for Solar, but Billy was well up to the markHis team are excellent too and did a wonderful job, despite the worst weather of the year! Yes - tidy, polite and punctual. Thank you, all. It was a pleasure to deal with each of you.",3.0,5.0,4.0,5.0,5kW,"$8,000 to $10,000",JA Solar,Enphase,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
117788,Matt,NSW - 2250,NSW,2250,True,2023-12-20,20 December 2023,5.0,,"I requested 3 quotes through Solarquotes, Billy the owner of Tru Blu Solar promptly came back to me asked heaps of questions about what I was looking for, and offered advice on what I needed but also what I didn't need. He put a detailed proposal together, answered all questions and we signed up, we moved into the house 21 Nov , Billy has the system installed by his team 22Nov, they arrived on time, did a super clean install, cleaned up after and spend time to show me everything about the system. Billy then came back 2 days later to check everything was good. I am super happy with the service and the product.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",Jinko Solar,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
107659,Jeff,NSW - 2251,NSW,2251,True,2023-11-24,24 November 2023,5.0,,"Tru Blu did a great job from start to finish installing our Solar. Their communication was excellent back and forth. Price was very good compared to others. Their installers were on time both days, which is rare for a lot of tradies!!Quality of workmanship, was first class.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Trina,SolaX Power,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png']",0,0
116666,Rob,NSW - 2257,NSW,2257,True,2023-11-16,16 November 2023,5.0,,Tru Blue were extremely Professional & explained the process with no hidden costs. Delivery was excellent. Would highly recommend Billy & the Team.,5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Jinko Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
115329,Matt,NSW - 2256,NSW,2256,True,2023-10-09,09 October 2023,5.0,,From my enquiry email to installation and the system all setup and producing power was pain free..the system is making great power and will save a lot of $$$,5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Jinko Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/54bdc81277c9d8a6dcbf7ea7ddad72800.png']",0,0
