review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
97559,Della,QLD - 4660,QLD,4660,True,2022-10-17,17 October 2022,4.25,,Knowledgeable about systems and local conditions. Efficient and did job on time. Organised grid connection. Very well mannered and effective staff.,4.0,4.0,4.0,5.0,6.6kW,"$6,000 to $8,000",Hyundai Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
98487,Noel,QLD - 4655,QLD,4655,True,2022-03-11,11 March 2022,5.0,,"Victor is very knowledgeable in solar systems.. We discussed our requirements and came up with a layout that worked the best for our home. The install ran smoothly over a couple of days and any questions we had during this process where answered. The guys on the roof where great, you could see they new what they were doing. Once the install was complete Victor made sure that the system was doing what it is designed to do.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Hyundai Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
96600,Paul,QLD - 4660,QLD,4660,True,2021-12-30,30 December 2021,4.75,,"Specialist, gave great comparisons,  explained the differences between inverters & solar panels & advised on the importance of quality rails & switch gear.",4.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Hyundai Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
94888,Nick,QLD - 4655,QLD,4655,True,2021-11-03,03 November 2021,5.0,,"victor gave me the best and most informative quote. he came and installed the  system when he said he would.he also organised new meter and connection with Ergon Energy.I also was an electrician and data tech in my working life, and he and his crew are very good at what they do.                                                                                                                                                                        thank you.nick savino.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Hyundai Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
92940,Elizabeth,QLD - 4655,QLD,4655,True,2021-09-02,02 September 2021,5.0,,Victor was so prompt in visiting our home to talk us through the proposal. Victor was very informative.Victor had his team when arranged.Payment process was made easy and clear.We are yet to receive our first electricity account since installation of solar but we are sure we will have saved so much as we have had the larger solar systems on our previous homes.We would recommend 247 to any persons in the Hervey Bay Area.RegardsElizabeth,5.0,5.0,5.0,5.0,6kW,"$2,000 to $4,000",I don't know,I don't know,,,,,False,[],0,0
83819,Mark,QLD - 4573,QLD,4573,True,2021-07-21,21 July 2021,5.0,,"Got victor out to get quotes ,nothing was a bother for him, got a swag of different quotes from 5other companies, decided  on victor from 247energy as he made the whole process easy and was very informative giving us different options  on 6.6 to 12kw systems .we got a 10kw system and the whole process in installation was a pleasure.no dramas .I have already given his number to a family member who is going to get solar as well.i would not hesitate to recommend 247energy top blokes. .i don’t normally write reviews but I think I have to in this case (forgot to mention that his quotes came in cheeper  than competitors on the same systems) cheers",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Hyundai Solar,Sungrow,No battery (Other),5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/afb03526106650043f6c7833e0b78f5f0.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/714723f9f4a8ddc422cdf58d9455596c1.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/1077e332022e742ece39a8644075ccf6.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/ae869f3df92dc57f8f73ecbbae06dea5.jpeg']",0,0
87381,Geoff  Gabriel,QLD - 4655,QLD,4655,True,2021-03-03,03 March 2021,5.0,,"System fully discussed, gave us several options for panels/inverter.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",LONGi Solar,Fimer,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png']",0,0
85476,Rory,QLD - 4650,QLD,4650,True,2021-01-11,11 January 2021,5.0,,"Best in the business.. Simple.. easy.. perfect.....,,,,,........highly recommended.. nothing too much trouble.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Hyundai Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
75041,Bruce,QLD - 4659,QLD,4659,True,2020-12-02,02 December 2020,5.0,,"Quoting was thorough, although a little slower than others due to heavy workload at the time. Quoting process was informative, including sample parts and was clear and personalised. Installation was smooth and professional.",5.0,5.0,5.0,5.0,5kW,,Qcells,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
80826,Ian,QLD - 4565,QLD,4565,True,2020-08-26,26 August 2020,4.5,,"Explained and showed samples of what is going to be installed.Installers were very good, polite, tidy and punctualThey take care of everything",4.0,4.0,5.0,5.0,10kW,"$6,000 to $8,000",Risen,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
