review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140225,Thai,NSW - 2154,NSW,2154,True,2025-11-20,20 November 2025,4.75,,"Had Naveen from ADS Solar quote to replace our existing solar and battery system.We ended up going for 10kw Jinko panels + 40kw Anker Solix battery.The connection authorisation was very quick and the team had the system installed within the week.The installer, Thy, and his team were great. They did a great jog getting the old system out and new one installed within the day and cleaned up after themselves. They even installed canopy covers on the inverter to help minimise direct heat!Overall, happy with ADS Solar and can recommend if you're after a premium system.",4.0,5.0,5.0,5.0,10kW,"More than $20,000",Jinko Solar,Anker Solix,Anker Solix,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_anker-solix.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_anker-solix.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4bc63f43815beb1cd060ff038f7e97cd0.jpg']",0,0
140119,Sri,NSW - 2765,NSW,2765,True,2025-11-18,18 November 2025,5.0,,"ADS Solar install based on neighbour's reference and has been a great decision.Right from get go, loved the experience although one would expect their Sales team to be pushy. In hindsight, I can now see that it is the ADS Solar team's drive and interest to understand what a customer is after and customise a solution accordingly.Anker Solix 2 battery has been working well with savings on the bill straightaway ($300 to nil, a month since install). Excellent workmanship with installation and also very thorough and professional.",5.0,5.0,5.0,5.0,13kW,,SunPower,Enphase,Anker Solix,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_anker-solix.png']",0,0
140036,Gururaj,NSW - 2769,NSW,2769,True,2025-11-17,17 November 2025,5.0,,I am quite happy with ADS Solar. They provided me with options and advised me the battery company to go with and with the promotions they were running. Installation team were very polite and had done a brilliant job with tidy installation.,5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Anker Solix,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_anker-solix.png'],0,0
139965,Gobinda,NSW - 2770,NSW,2770,True,2025-11-15,15 November 2025,5.0,,"I recently had my solar system installed by ADS Solar, and the whole process was smooth and hassle-free. A big thanks to Suraj for his exceptional service — professional, helpful, and supportive throughout — and to Pawan for the follow-up even after installation. Highly recommended!",5.0,5.0,5.0,5.0,5kW,"$12,500 to $15,000",Jinko Solar,Anker Solix,Anker Solix,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_anker-solix.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_anker-solix.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a55c4aabe2095d5f21e6404290ecdee80.jpg']",0,0
139876,Ashish,VIC - 3024,VIC,3024,True,2025-11-13,13 November 2025,5.0,,"We got 10KW Inverter and 20+ panels, all services and products A1 and 5-star. Would recommend to anyone for Solar needs in Victoria. Thanks to the entire team especially Deepak from sales and the installation team, planted 5 trees (as per app) already in 5 days and looking forward to more greener mutual benefits. All the best.",5.0,5.0,5.0,5.0,10kW,"$4,000 to $6,000",,,,,,,False,[],0,0
139617,Ali,VIC - 3336,VIC,3336,True,2025-11-09,09 November 2025,5.0,,"I made a  comparison of heaps of quotes received and chosen ADS SOLAR for the best system, quality and at the best price. No hidden costs as promised and they took care of everything including applying for grid approval, to organising the grid connection after the installation. The staff is extremely polite, responsive and friendly.",5.0,5.0,5.0,5.0,20kW,"More than $20,000",Jinko Solar,Anker Solix,Anker Solix,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_anker-solix.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_anker-solix.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9d62b29fae3ed129233599808edae1d50.jpeg']",0,0
139600,Steven,NSW - 2165,NSW,2165,True,2025-11-08,08 November 2025,5.0,,"2025 Update : Very happy with the team as usual, as a returning customer, I just had a new battery and additional panels installed and the team was very helpful sizing the new syetem to work with the current system.Installation team was also very helpful and did an amazing job.2021 Great service and quality install with well know brands , was refereed by a colleague who’s done his system many years ago, I have went with ADS solar as they are an established company with a good feedback from friends and family using ADS, which gives me peace of mind if I ever need anything done within the warranty period.",5.0,5.0,5.0,5.0,15kW,"$15,000 to $20,000",,Sungrow,SAJ,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_saj.png']",0,0
139595,Lazaros,VIC - 3172,VIC,3172,True,2025-11-08,08 November 2025,5.0,,"From the request of getting a quote, the sales team was polite & punctual.Once the decision on what sort of battery capacity was required and that the price was reasonable, the Installation happened within 2-3 weeks of me giving the deposit.This was a pleasant surprise, because the other quotes i got said that upon the deposit being paid, there would be at least a 2 month wait.Since Installation, I have received 2 phone calls from ADS Solar, asking me if the battery is performing well. This is what customer service is all about.Excellent follow up on their customers.",5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Anker Solix,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_anker-solix.png'],0,0
139575,Geoff,VIC - 3033,VIC,3033,True,2025-11-07,07 November 2025,5.0,,"I found ADS Solar to be very competitive during the sales process. Ankit, (the sales person,) explained the process and was very helpful answering my many questions. I selected the Anker Solix X1, 25 kwh 3 phase battery. The installation went very well. The two guys were Mahdi and Favid. They did a great job on what was a difficult installation, due to the design of my house. The cable runs were twice as long as a conventional installation. There were also 3 additional meter / circuit breaker boxes installed, as there was not enough room left in my switchboard. The installation was done on Saturday 20th October and the guys left everything clean and tidy. The inspection was done first thing on Monday 22nd October and the battery activated. The Anker app is fantastic, you can see what the battery is doing at anytime. Since the battery has been activated, I have not used any power from the grid. All my power comes from my 10kw solar panels, backed up by the battery. In conclusion, I would recommend ADS Solar to anyone contemplating solar power.",5.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,Anker Solix,,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_anker-solix.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/90b95a2e50340615660464ff65f782b80.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/f5fec0ad78f1fab7cdd02954b26f18361.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1bc245c540c2cb5f17ee63ae23798e032.jpg']",0,0
139462,Pravinesh,QLD - 4156,QLD,4156,True,2025-11-05,05 November 2025,5.0,,Very good easy to deal with the whole team insulated very nicely,5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",,I don't know,,,5.0,,False,[],0,0
