review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
121713,Julian,VIC - 3931,VIC,3931,True,2024-05-01,01 May 2024,5.0,,I have a contact with agl and i got a good deal,5.0,5.0,5.0,5.0,6.6kW,,Canadian Solar Inc,Fimer,Tesla Powerwall 2,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
111879,Glenn,NSW - 2221,NSW,2221,True,2023-06-27,27 June 2023,5.0,,Quote was quick and team were polite and well organised. Connection to grid not necessary as this was to replace an older system .,5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",SolarEdge,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
44356,Michael,VIC - 3149,VIC,3149,True,2018-10-25,25 October 2018,4.25,,"I think that the system is fantastic value given it was less the $6k compared to Energy Matters which was more than double; although the system has been installed and is operational we are still to gain the benefit of the power being generated - awaiting the meter to be calibrated by the Distributor (hence my rating of N/A for Quality of the System) and a 3 rating for Customer Service, as it is a painful exercise trying to contact AGL via phone or email due to the time delay and follow up required!!",5.0,4.0,5.0,3.0,4kW,"$3,000 to $6,000",AGL Energy,Solis,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png'],0,0
41721,David,NSW - 2768,NSW,2768,True,2018-08-14,14 August 2018,4.25,,Due to approvals and cooling off periods the installation and commissioning took a long time.,4.0,4.0,5.0,4.0,5kW,"$6,000 to $10,000",AGL Energy,Fronius,,5.0,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
51042,Richard,NSW - 2795,NSW,2795,True,2018-08-08,08 August 2018,4.75,,,5.0,5.0,5.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
47905,Alex,SA - 5107,SA,5107,True,2018-05-16,16 May 2018,5.0,,,5.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
47801,Anon,NSW - 2154,NSW,2154,True,2018-05-14,14 May 2018,4.25,,,4.0,4.0,4.0,5.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
45216,Mark,VIC - 3977,VIC,3977,True,2018-03-13,13 March 2018,1.0,,"I purchased solar panels through AGL quite some time ago and had it financed through them as well.Roughly a year later i was contacted because parts of the solar system were faulty and i have to turn my system off until the issue can be resolved.After no contact for 3 months i contacted AGL to see why it wasn't fixed. I was met with a reply ""They will be in your area in Febuary"" (4 months would have past by this point)Mid February i got a call saying that there is someone in your area to fix your panels however they would not be able to come outside ""normal hours"" I told them that i work 6 days a week and i was met with a reply ""what cant you take a day off""My livelihood is depended on working as many days i can work and i WILL NOT take a day off to fix a problem that AGL has stuffed up by using inferior/faulty parts on.I have disconnected everything i have from AGL and will not be returning",1.0,1.0,1.0,1.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
41961,Anon,NSW - 2519,NSW,2519,True,2017-12-18,18 December 2017,4.0,,,5.0,4.0,3.0,4.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
41751,P,QLD - 4017,QLD,4017,True,2017-12-12,12 December 2017,3.33,,Main Installation prompt but ridiculous delay in getting digital meter installed to finalise the job. Panels etc installed 27/11/17 but meter delayed till 22/01/18.,4.0,,4.0,2.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
