review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140517,Peter,NSW - 2147,NSW,2147,True,2025-11-25,25 November 2025,5.0,,"Six years ago with had AHE group install out 10 Kilowatt Solar panels and Inverter.  Now with energy prices still rising we opted to get a Solar Battery installed.  We were very happy last time with Andrew and is crew when they installed our Solar system so we had no hesitation in going back to them for the battery installation. Andrew personally discussed with us our requirements and provided us with a battery solution (24kWh Sigenery battery and 10kW inverter) and quote.On the day Andrew came with his crew and personally installed the system to our existing Solar Panels. They discussed with us the best location to install the Battery and Gateway and we were very happy with the final outcome.  Andrew outlined the display features of the battery and helped us with the App setup and capabilities.  Overall with a very happy with AHE group as they are a family company and pride themselves on their work, customer service and getting it right the first time.  We would not hesitate recommending them to anyone looking for Solar installations.",5.0,5.0,5.0,5.0,,"$15,000 to $20,000",,,Sigenergy,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
140079,Lachlan,NSW - 2093,NSW,2093,True,2025-11-18,18 November 2025,5.0,,"The entire process was seamless. From the initial review, quote process and installation, it was very smooth and met the expectations provided by AHE. They arrived on time, everything was well installed, and they provided an in-depth training on the various apps required. I would recommend them to anyone.",5.0,5.0,5.0,5.0,15kW,"$15,000 to $20,000",I don't know,Sigenergy,Sigenergy,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
139984,Phillip,NSW - 2759,NSW,2759,True,2025-11-16,16 November 2025,5.0,,AHE Group suppliedand fitted our first solar panel systemin 2011. We have just had them upgrade our system to an 11.88kw with battery and its brilliant. Their sales and install team are excellent to deal with and I would definitely recommend them.,5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",,,Sigenergy,,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d09f048ea1b52fabdb2aed2b6dafe4640.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/fb834d15920b001fc181fd1d7e1fdb8a1.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/31e379c513363d08ecd54b00d135d3e32.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/2f18dca4093307eade5538d192c08baf3.jpg']",0,0
139894,Patrick,NSW - 2213,NSW,2213,True,2025-11-13,13 November 2025,5.0,,"10 years ago I got the team from AHE to do a solar PV install for me on my new house build.10.5 KW Of LG solar Panels and a 10kw 3 Phase SMA inverter. Couldn’t have been any happier and the system has operated absolutely flawlessly since then.So when the battery rebate kicked in. I called AHE again and asked them to quote me on an appropriate system. I must say the whole process from design, to quoting to install was deadset flawless. Not only does Andrew and the team know their products inside out but they apply real world use for their installs.Ended up with the Sigenergy Sigenstor 48kw system, an increase of 11 kw of panels and the accompanying Sig EV charger.Install was flawless and efficient. Completed in a day with a full rundown of the product along with answering a plethora of my questions. Not to mention the little added extra surprise of the included automation of some external power devices which I had no clue was even possible!I am deadset wrapped with the install and my new shiny battery!Thanks again to Andrew and the team at AHE!",5.0,5.0,5.0,5.0,20kW,"More than $20,000",Jinko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_sigenergy.png']",0,0
139764,OP,NSW - 2147,NSW,2147,True,2025-11-11,11 November 2025,5.0,,Andrew and the team at AHE have been great right from the quoting stage to installation. I took a while to decide on the installer and AHE were very responsive and helpful throughout the process.They even assisted with my switchboard upgrades for a great price. Showed up time on the day of the install and completed the job without any issues.They explained to me in detail about the installed system and helped me setup the app on my phone.I would highly recommend AHE to anyone looking to install solar and batteries!!,5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Jinko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
139763,David,NSW - 2132,NSW,2132,True,2025-11-11,11 November 2025,5.0,,"Andrew Hanna gave very detailed advice about where we could install a solar battery in our terrace, and recommended Sigenergy as the best option for the space we had.The install was completed cleanly and effeciently, with attention to detail that everything was working as expected.I used AHE previously to install our solar system years ago, and they have always been flexible and ready to help. I think their longetivity speaks to the quality of the work and the customer service they provide.",5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Sigenergy,,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/6274a9b69121b2aceaac53ff0ad7dabb0.jpg']",0,0
139663,Mark,NSW - 2156,NSW,2156,True,2025-11-10,10 November 2025,5.0,,"Andrew installed my first solar system around 13 years ago. I had no hesitation in asking Andrew to provide a quote for a battery and solar system to replace the original. I found Andrew, Leanne, Donna and team a pleasure to deal with. From requesting a quote to installation was a breeze. Andrew was always available to provide more information when I had questions. On installation day the team arrived around 8 and I was up and running around 3 including a handover before they left. Even though Andrew wasn't able to be on site for the installation he followed up with a phone call to ensure everything was OK.",5.0,5.0,5.0,5.0,20kW,"More than $20,000",Jinko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
139063,Ivan,NSW - 2155,NSW,2155,True,2025-10-28,28 October 2025,5.0,,Altogether professional good communications and could not ask for better service.,5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",,,Sigenergy,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
138777,Patrick,NSW - 2256,NSW,2256,True,2025-10-21,21 October 2025,5.0,,"Wow…… what a great experience. Andrew, Leanne and their crew knew their stuff. From the initial call through to install, I knew I was in good hands. They gave a very competitive quote and answered all my numerous questions throughout the entire process without any hesitation, annoyance or eye rolling. On the day of install, Andrew and Sam (Andrew’s son)  were able to redistribute the solar panels on the roof to optimise a greater solar yield and even threw in an extra panel free of charge.After the installation was completed, Andrew showed me how to use the app and also went through a blackout scenario to ensure the system was working properly.I live on the NSW Central Coast and was originally going to go with a local installer however, I would not hesitate in recommending AHE group for any solar and battery installation. Their professionalism was next to none. Thank you",5.0,5.0,5.0,5.0,10kW,"More than $20,000",Jinko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
138752,Sam,NSW - 2099,NSW,2099,True,2025-10-21,21 October 2025,5.0,,"Andrew and team installed our first small system in 2011. It's still going strong. Last Thursday they commissioned our 13kW Jinko array with 48kWh Sigen battery. They arrived at 8am, as promised, and it was up and running by 1pm. The guys take great pride in their work and managed to hide all cables (panels to battery, battery to gateway, gateway to board). The panels from 2011 were cleaned off and the old inverter was plugged into the AC input of the gateway and now provides about 1/7 of total generation. I did get another 3 quotes from Solar Quotes but Andrew was given the job not just because we had worked with him before, he was also the cheapest and did not oversell. (In fact he suggested I get a new car before getting a charger.)  Also, great to work with the same person all the way through (avoiding miscommunication). Better clean up than most tradies we've used. Helpful advice too. For example, I plan to move to Amber (without Smartshift) and he suggested playing with the gateway's various ""modes"" and get to know these before moving. I have since discovered I can also create my own modes!",5.0,5.0,5.0,5.0,13kW,"More than $20,000",Jinko Solar,Sigenergy,Sigenergy,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
