review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139794,James,QLD - 4556,QLD,4556,True,2025-11-12,12 November 2025,5.0,,"The sales and quoting process was painless with visits from representatives to explain options and explain the installation process. Installation occurred on the two days nominated (unfortunately, they arrived four panels short but were back within a week to install the shortfall). Installers were polite, friendly and worked unobtrusively and fast. After a short period with the power turned off, everything was brought online and reconnected with a fully operational system. Email arrived almost immediately to advise how to download the app required to monitor the solar panels, battery and link with grid.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e0015dfee0e6276a33f239d24464a9760.jpg']",0,0
137087,Ole,QLD - 4550,QLD,4550,True,2025-09-10,10 September 2025,5.0,,"Pain free installation. friendly, efficient. on time and very helpful on all fronts. Internet connection to the app and how it worked.",5.0,5.0,5.0,5.0,6kW,"$8,000 to $10,000",,Sigenergy,Sigenergy,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
135683,Andrew,QLD - 4551,QLD,4551,True,2025-07-29,29 July 2025,5.0,,"The installation was quick, friendly and professional, The installers were polite and kept me informed about times all through. Nothing was too much trouble.",5.0,5.0,5.0,5.0,20kW,"$15,000 to $20,000",I don't know,Sigenergy,Sigenergy,,,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d4440227d19c665a716e1c1b8d51d91c0.jpeg']",0,0
135260,David,QLD - 4557,QLD,4557,True,2025-07-12,12 July 2025,5.0,,"Austin was the salesperson from Ahlec I dealt with in April/May 2025 when I began exploring solar battery options. He was prompt in responding, never pushy but always provided options for my consideration. In the end, I decided to go ahead and selected Ahlec as my installer based on my positive dealing with Austin who had always responded promptly and courteously to my various questions.On 10 July my battery installation was carried out by Elliot and Bailey who were also courteous in their responses to many questions during the process. I was impressed by the thoroughness of their workmanship and the many testing procedures that were needed to commission the product.They left my garage area spotless.If these employees are representative of the staff quality at Ahlec, the company is indeed fortunate to have such capable staff.I would have no hesitation in recommending Ahlec for anyone else considering the installation of a solar battery,",5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Sungrow,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png'],0,0
135213,David,QLD - 4557,QLD,4557,True,2025-07-10,10 July 2025,5.0,,"A couple of months ago Austin, the sales rep from Ahlec visited my townhouse as part of the quoting process. He was very professional,  balanced and provided prompt follow up responses.Today Elliott and Bailey installed my 5Kw Sungrow hybrid inverter and a Sungrow 9.6Kw battery.They were punctual, courteous in answering my many questions, thorough with the installation and left the garage area spotless.I would have no hesitation recommending Ahlec based on my experience over the past couple of months.",5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_abb.png']",0,0
134755,Liam,QLD - 4551,QLD,4551,True,2025-06-30,30 June 2025,4.5,,Followed up very quickly and able to install the next week. SAE took 3 weeks to give me a quote.,4.0,4.0,5.0,5.0,20kW,"$15,000 to $20,000",,Sungrow,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
134481,Toni,QLD - 4551,QLD,4551,True,2025-06-19,19 June 2025,5.0,,"The guys were punctual, friendly, helpful and efficient. All paperwork was organised for me and grid connection worked seamlessly. Very happy with the outcome. Thank you",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,,,,,,False,[],0,0
133434,Jamie,QLD - 4055,QLD,4055,True,2025-05-14,14 May 2025,5.0,,"All aspects of the the site visit, quote and install went well",5.0,5.0,5.0,5.0,20kW,"More than $20,000",Jinko Solar,Sigenergy,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png']",0,0
132562,Matthew,QLD - 4551,QLD,4551,True,2025-04-14,14 April 2025,5.0,,"From the quote to the installation Ahlec has provided an excellent service, cannot recommended them highly enough.  Extremely professional tradesmen on site backed up by great communication.",5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",,Fronius,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
132559,Kevin,QLD - 4570,QLD,4570,True,2025-04-14,14 April 2025,4.75,,"The Lads arrived on time, introduced themselves and got straight into it.Their work was exceptional, clean and tidy and kept me informed during the installation of the system. After the work was done Sam showed me exactly how things worked.I highly recommend Ahlec for any of your solar system installations and any other electrical work for that you need.Thanks fellas.",4.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
132558,Sandra,QLD - 4514,QLD,4514,True,2025-04-14,14 April 2025,4.75,,"Ahlec is a very professional company that have made the process of installing a solar system simple. The sales rep came to our property and explained the specifications and performance of a system which would be most suitable for our needs. He gave us an obligation free quote. We found their quote to be competitive with other companies and were satisfied with the quality of the products they suggested.We decided to install 15 Jinko 420  watt panels, a 5kw Sungrow hybrid inverter and a Sungrow 6.4kw lithium battery.The installation team arrived promptly on the agreed date and worked tirelessly and cheerfully to complete a very neat job. Nothing was too much trouble and even though they detected existing  faults in our wiring they were able to offer solutions. Upon completion, we were shown how  to read the inverter and shut down the system if ever required.All applications to council and our  energy provider were completed by the company.The system exceeds our expectations in its output and performance and we have no hesitation in recommending this company to anyone thinking of installing solar panels.We are even thinking of increasing the size of our battery!",4.0,5.0,5.0,5.0,6kW,"$12,500 to $15,000",Jinko Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
131749,Zsolt,QLD - 4504,QLD,4504,True,2025-03-20,20 March 2025,5.0,,The sales person was great. He explained the options clearly with all the benefits and drawbacks.The communication of the company was clear and the installation process was quick and easy.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
131255,Rohan,QLD - 4557,QLD,4557,True,2025-03-04,04 March 2025,5.0,,Excellent service from initial contact to final install.I have no hesitation in recommending Ahlec,5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
130713,Stewart,QLD - 4556,QLD,4556,True,2025-02-13,13 February 2025,5.0,,"An excellent job - from the salesperson; Austin to the installation team led by Alex the work was performed quickly, efficiently and without a hitch.I would no hesitation recommending Ahlec to any of my friends or near Neighbour's.Well done guys!!Stewart",5.0,5.0,5.0,5.0,9kW,"$15,000 to $20,000",,Sungrow,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
130643,Rob,QLD - 4573,QLD,4573,True,2025-02-11,11 February 2025,4.75,,"Austin was awesome during the quote finalisation process, always happy to answer questions and find out extra info as I narrowed down preferred PV system specs. Alex and the Team did a fantastic install in 2023 - everything went smoothly. They were even happy to do (for an extra charge) a few other related sparky jobs on the day - eg connecting my new Induction cooktop and Heat Pump HWS (as I removed gas at the same time). Overall the PV system continues to perform excellently. We went with 18x 440W Jinko Tiger Neo panels (good salt water IP rating) and a Goodwe hybrid inverter with Catch Control consumption monitoring. Catch has exceeded expectations, as we now have SolarAnalytics bundled free!",4.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Jinko Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/32663aa0cdf31b239ce7434ce753b7a40.jpeg']",0,0
130295,David,QLD - 4556,QLD,4556,True,2025-01-30,30 January 2025,5.0,,"Explain everything well; took care of the paperwork, and made for an easy project.",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
129733,Trevor,QLD - 4570,QLD,4570,True,2025-01-13,13 January 2025,5.0,,"Turned up on stated day, polite and efficient with all questions answered",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
