review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
121887,Justin,SA - 5158,SA,5158,True,2024-05-06,06 May 2024,5.0,,"Rikky was very concise when attending for the initial quote and was able to accomodate the options I asked about.The install itself took a little longer than planned, through no fault of the installer, and the finished product was installed cleanly and works perfectly. We requested an additional external PowerPoint and this was no trouble at all.I would highly recommend AESA.",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Jinko Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
116693,Kenneth,SA - 5066,SA,5066,True,2023-11-17,17 November 2023,5.0,,"Great personalised quoting and high service level at a compretitive price. Rikky and team knows their stuff and is a refreshing experience in a busy industry with off the cuff guidance and quoting.Will ude them again when getting hot water heat pump, ev charger and battery no doubt.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Jinko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
115812,Alisa and Lysandra,SA - 5044,SA,5044,True,2023-10-23,23 October 2023,5.0,,"AESA is not just a solar and battery system provider; they are the champions of clean energy in South Australia. As a SA-owned, family-run business, their passion for sustainability is evident in every installation. The AESA team's expertise has empowered us to harness the sun's energy, significantly reducing our electricity bills. Their commitment to delivering top-notch solar solutions and personalized service is truly remarkable. With AESA, we've not only made our home more eco-friendly but also made a smart investment in our future.",5.0,5.0,5.0,5.0,6.6kW,,SolarEdge,SolarEdge,Sonnen,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sonnen.png']",0,0
115810,Greg,SA - 5158,SA,5158,True,2023-10-23,23 October 2023,5.0,,"All Energy Systems recommended a high quality system that was not expensive and offered excellent value for money. The process from start, to the finished installation, was fast, easy and professional. Rikki and his team went over and above great service when installing the system and even repaired several roof tiles for us (that were already broken).Now that the system has been up and running for a few months now, it's saving us heaps of money on our power bill. I wouldn't hesitate to recommend All Energy Systems Australia.",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",Jinko Solar,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
115674,Steven,SA - 5159,SA,5159,True,2023-10-18,18 October 2023,4.75,,"Rickky is really helpful and easy to contact and talk with. The installation looks great and was painless. After sales service is excellent. So I can recommend them without any reservations at all. It is extremely rare that I get to say that.Our system includes a 7kw EV charger. The price I indicated is the approximate price without the EV charger.Be careful when looking at the estimated savings that the software used by solar installers use. The numbers can be tweaked and make saving that are unrealistic. Rickky didn't tweak the numbers so his numbers were rather pessimistic, so the projected bills on his quote didn't look as attractive as some other solar installers. It is difficult to properly compare quotes between *different installers* from a ""smallest estimated bill"" perspective when they don't use *all* the same numbers. Something to be careful off when considering quotes.EG: My quotes projected quarterly bill was $550. In reality my bill was around $140. That is amazing considering that this includes charging my EV (I average up to 15km per day).",4.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",Jinko Solar,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
115188,Marie,SA - 5075,SA,5075,True,2023-10-04,04 October 2023,5.0,,"Quality advice, workmanship and honesty. If you want trustworthy advice, on time and quality installation and after sales service then use this company.  They are a breath of fresh air in a crowded market and I received a professional instal and will happily recommend Ricky and his company AESA if you demand a quality instal, truthful info and no hassles.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",REC,SolarEdge,Tesla Powerwall 2,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
115097,Di and Mick,SA - 5211,SA,5211,True,2023-10-02,02 October 2023,5.0,,We have been more than happy with your service and quote and would thoroughly recommend your business for Solar installation. Cheers Mick & Di Mc Lachlan,5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",SolarEdge,SolarEdge,SolarEdge,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solaredge.png']",0,0
114012,Dane,SA - 5049,SA,5049,True,2023-09-01,01 September 2023,5.0,,"Good communication, great service and overall a very high quality install. Could not be happier with AESA.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",,,,,,,False,[],0,0
113599,Clive,SA - 5051,SA,5051,True,2023-08-21,21 August 2023,5.0,,"When I went in search of quotations for solar panels and battery I received a lot of mixed advice, so I got some recommendations from the wonderful SolarQuotes website (thanks Finn Peacock!) and spoke to several installers from their recommendations. They were all pretty helpful, but in each case I was speaking to a knowledgeable sales person, not an expert, and in each case they didn't want to come out to the property unless they thought I was really serious – a bit condescending really.The exception was AESA. Rikky is the Director and the guy with the technical knowledge. He came round quickly, was very knowledgeable and direct, and didn't go for the big sales pitch. Then to put the icing on the cake, his quote was very competitive. The installation has just been finished, all went well, Rikky's team were great (no palming things off to subbies here), it's all running nicely and we're very happy. I highly recommend AESA!",5.0,5.0,5.0,5.0,10kW,"More than $20,000",Jinko Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
112187,Ian,SA - 5067,SA,5067,True,2023-07-10,10 July 2023,4.75,,"Rikky was the only one of our quote options who did a home visit with us, was knowledgeable and answered our questions. He was also flexible with moving installation dates and has provided great follow up. The installation went smoothly, was quick and efficient and they took the trouble to organise the panels so they were as hidden as possible. We are looking firward to summer when we can maximise the output of our system",4.0,5.0,5.0,5.0,7kW,"$8,000 to $10,000",Jinko Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
112115,Rick,SA - 5051,SA,5051,True,2023-07-06,06 July 2023,4.75,,"All Energy Systems Australia was on the short list for our solar installation. We were impressed when Rikky made the time to visit us, and he clearly explained the differences in the products that he could offer. Rikky sized our installation well, meeting all of our requirements. His team did a great job installing the panels and inverter. We now have solar energy when the  sun is out (autumn was nearly over when we had the job done). We can’t wait for spring, now!",4.0,5.0,5.0,5.0,8kW,"$12,500 to $15,000",REC,SolarEdge,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
112041,Malcolm,SA - 5061,SA,5061,True,2023-07-04,04 July 2023,5.0,,"We have very difficult roof with no really large areas all in one place. AESA came up with a solid proposal and were happy to continue to answer questions about it. Eventually landed on a 13.2kW system of high quality panels, 2 x 5kW inverters and a Powerwall2. Price was competitive based against a couple of others.Installation included a change from single phase to three phase which AESA organised with SAPN which went smoothly. Panels, inverters, Tesla Gateway and Powerwall2 were all installed with a minimum of fuss, and safely (we have a 30deg pitched roof with multiple dormer windows), despite the fact that the inverters and Powerwall2 were under the carport area, somewhat remote from the main switchboard. Layout is very tidy and looks professional. System is now working well, although we are in the middle of winter of course.Would definitely recommend AESA for a solar install.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",REC,SolarEdge,Tesla Powerwall 2,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/3eebe7b83a6280f15668656e8f91777e0.jpeg']",0,0
