review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
138370,Kevin,NSW - 2285,NSW,2285,True,2025-10-09,09 October 2025,4.75,,Sales people very helpful and knowledgeable advice on cell placement gives us good supply from sunrise till sun set.Instillation and trades excellent.,4.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",SunPower,,Tesla Powerwall 3,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
137567,David,NSW - 2759,NSW,2759,True,2025-09-22,22 September 2025,5.0,,"EVNex Charger Installation. Flat roof, so wiring had to go through the under-floor space, up a wall, across under a carport roof, through a wall, down inside the garage, and back through the wall. All done very tidily and professionally. Charger is working perfectly, set up to only use surplus feed to grid (after home battery has charged). No more selling my surplus solar for peanuts!",5.0,5.0,5.0,5.0,,"$2,000 to $4,000",,,,,,,True,"['https://www.solarquotes.com.au/img/evchargermanufacturers/I_evnex.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/46918775c3f59b85e29d6d7de92f371f0.jpg']",0,0
136833,Arthur,NSW - 2076,NSW,2076,True,2025-09-05,05 September 2025,4.75,,From quoting to cleaning up All Green where professional throughout the process to supply and install a Tesla Powerwall 3 and a Powerwall 3 Expansion unit.,4.0,5.0,5.0,5.0,10kW,"More than $20,000",,,Tesla Powerwall 3,,,,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/774a4bda0391ffb09b3800e5b2b437260.jpeg']",0,0
135878,Graham,NSW - 2264,NSW,2264,True,2025-08-06,06 August 2025,5.0,,Mark and the team at All Green Environmental Solutions were amazing to deal with and that's why I got them back to install a 2nd battery. Price was very competitive and Bryce and the boys who installed it were very professional and cleaned up everything afterwards like you wouldn't have known they were here.  Highly recommend them for your solar and battery installations.,5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Tesla Powerwall 2,,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c3e60a36c4ab4b20652d7bbaab9f835f0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/417523c15459d7b43bfae2ee3da3afd01.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5ddec350aa85af063cdc4f034bd86aff2.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/247eda198a34c99e6b1f2518a2ed05ef3.jpg']",0,0
135812,Matt,NSW - 2112,NSW,2112,True,2025-08-04,04 August 2025,5.0,,Quoting process was effortless. Installation undertaken on the day and time as promised with no fuss from installer.,5.0,5.0,5.0,5.0,,"$2,000 to $4,000",,,Evnex (Other),,,,True,['https://www.solarquotes.com.au/img/evchargermanufacturers/I_evnex.png'],0,0
135471,Kevin,NSW - 2261,NSW,2261,True,2025-07-21,21 July 2025,5.0,,"The quoting was no preasure with 3 options offered to cover battery with blackout, off-grid solar blackout and an alternative to Tesla. They kept us informed about rebate changes between quote and install.  We also asked for an EV charger.  We went with Alpha ESS.  Installer was polite, tidy and punctual.  Installer provided training on App.",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",,,Alpha-ESS,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png'],0,0
135248,Amy,NSW - 2122,NSW,2122,True,2025-07-11,11 July 2025,5.0,,"Must say dealing with Mark has been a delight. He is knowledgeable and helpful in suggesting what should be purchased without being pushy. Excellent customer service.Timely reminders for day of installation and installers were punctual. Very efficient and tidy.A bit remiss was installer did not advise us that according to government requirements for battery installations, they are required to also put in a smoke detector. We had to ask if it was battery operated and how often should the batteries be replaced.A suggestion that might increase customer service satisfaction - perhaps installers be familiar with apps clients will use with their new installation. Installer apps are not available to the clients so it is not much use showing this to the customer. Just because they are not familiar with the product app, they shouldn't be dismissive should the client wishes to ask a few questions as more and more customers are now quite tech savvy.Overall, happy with what was purchased.Can recommend All Green Environmental Solutions.",5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Tesla Powerwall 2,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
134971,Robert,NSW - 2121,NSW,2121,True,2025-07-04,04 July 2025,5.0,,Very happy with All Green Environmental Solutions from the initial onsite quotation (Gary) through the pre-installation scheduling/communications (Chloe) and solar system installation (team led by Bryce).,5.0,5.0,5.0,5.0,15kW,"$15,000 to $20,000",Trina,,Tesla Powerwall 3,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1db9678fc5f2c7bbe50dfbc07bf0c8780.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/244a9224ccfa9f780aeb41b1df79d7ae1.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/6c23d70203fcccb7e11e70c56a5e46732.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a40a3e3f5681174232505fa3bdc524cf3.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b849f60941db49616cd427ace44c3a464.jpg']",0,0
134447,Jeff,NSW - 2256,NSW,2256,True,2025-06-18,18 June 2025,5.0,,"Top job by Luke and his crew. Typical Central Coast tradies - polite, honest, careful and hard working, communicated with me throughout the day. The company is very easy to deal with and also communicates really well with the installation dates, quotes and payments. The system and online app started working the same day and is generating very close to the hourly predictions from Solcast",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Trina,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/546f8365ce4beca03ca4442c610261bd0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9b71ced66eb57df5360b6cf6bebc14481.jpg']",0,0
133059,Rod,NSW - 2068,NSW,2068,True,2025-05-04,04 May 2025,5.0,,I needed assistance with my Enphase PV system after Ausgrid disconnected it or turned it off when working on the power pole outside my house.  I was unaware of this until I received an automated message that my system was down.  I contacted All Green and the techie took me through the step by step process to restart the system over the phone.  Without this help I would have been useless.  Great after sales service from this company.,5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Jinko Solar,Enphase,Alpha-ESS,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png']",0,0
