review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
132319,Steve,NSW - 2067,NSW,2067,True,2025-04-08,08 April 2025,4.75,,From the first interaction Tim was responsive and thorough. He walked through my options and his recommendations based on my needs. From doing more research what I realised I needed changed and he seamlessly was able to recommend a better solution.  We ended up with 10.5kW of panels and a 16kW Sigenergy battery to meet our need for 3 phase backup. The install happened quickly and smoothly.  Everything was working immediately and so far the whole system has been a winner for us.,4.0,5.0,5.0,5.0,10kW,"More than $20,000",Winaico,Sigenergy,Sigenergy,4.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
125822,Warren,NSW - 2537,NSW,2537,True,2024-09-09,09 September 2024,4.25,,"Local company that has a strong customer focus and quoted Sungrow equipment at a reasonable price. We got 10 quotes and have a good idea of our needs and whats on offer. This is the best deal we could find for a 12.8 kW battery, 9.24 kW solar array and 10 kW hybrid inverter. Ben took us through the system after an easy install and is available to make sure we understand how to use it well. We think weve bought well. Can't wait to see how it turns out in the years to come.",4.0,4.0,4.0,5.0,10kW,"More than $20,000",TW Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_tw-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
118980,James,NSW - 2536,NSW,2536,True,2024-02-06,06 February 2024,5.0,,"A very impressive customer experience. We were especially fortunate in that Allphase Electrical had another of their jobs delayed so we ended up having a fully operating system in four days from accepting their quote - maybe a record! The team was prompt and courteous, the work professional, and we were informed at every step of the way. Ben, the MD, checked progress throughout and went out of his way to make sure we were getting what we needed, advising on any alternative, less-costly, options along the way. Grid connection and associated paperwork was all done seamlessly. I would highly recommend this company.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Seraphim,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
117558,Lin,NSW - 2536,NSW,2536,True,2023-12-14,14 December 2023,4.5,,"Local recommendations for AllPhase Electrical and Solar has been our positive experience too. Although not the cheapest quote, they were responsive in communication, were fast and efficient in doing the installation and are now monitoring how it is all working.We have confidence that it is a quality solar and battery system that will benefit us and our planet.",4.0,4.0,5.0,5.0,15kW,"More than $20,000",Trina,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
116239,Allan,NSW - 2536,NSW,2536,True,2023-11-04,04 November 2023,5.0,,Ben from AllPhase Solar provided great communication and service. He explained the differenct types of systems and recommended the best quality system for our needs and also for future expansion into battery systems. Ben organised the grid connection and his team installed the whole system which was up and running the same day. Ben and his team were very professional. The old solar panels were taken away to be recycled and the site was left very c;ean and tidy.,5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",Trina,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
115760,Zoran,NSW - 2536,NSW,2536,True,2023-10-20,20 October 2023,5.0,,Ben and the team were great. Installation was quick and professional. I was up and running in 2 days and immediately started saving money.I'd highly recommend if you're in Bateman's Bay or surrounds.,5.0,5.0,5.0,5.0,20kW,"$15,000 to $20,000",Seraphim,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
115122,John,NSW - 2537,NSW,2537,True,2023-10-02,02 October 2023,4.0,,We were very happy with the quality of service. Installer was well qualified and was able to explain many issues. He was friendly and took the trouble to communicate as the installation progressed. He adapted the design after our feedback. he won our confidence and we would recommend his company.,4.0,4.0,4.0,4.0,6.6kW,"$8,000 to $10,000",Trina,Sungrow,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
103158,Mark,NSW - 2537,NSW,2537,True,2023-06-28,28 June 2023,5.0,,"Everything went very well from the quoting process through to the actual works, and support from AllPhase staff. My questions, no matter how trivial, were always answered clearly and respectfully.  Love the quality of the product, and the ethos of service which AllPhase brought to everything they did. I absolutely recommend this company to others.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Trina,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
109508,David,NSW - 2536,NSW,2536,True,2023-04-08,08 April 2023,5.0,,"Very happy with the personal service from both office and the installers. Good product , competitive price and all systems go. Happy to recommend this company.",5.0,5.0,5.0,5.0,6.6kW,"More than $20,000",I don't know,I don't know,,,,,False,[],0,0
103636,Karin,NSW - 2537,NSW,2537,True,2022-09-15,15 September 2022,4.75,,The sales/quoting system was very quick and extremely professional.The installation was fast and tidy. The installers were respectful and friendly.We are in the process of the grid connection. Paper work being sorted as I write this review.,4.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",,,,,,,False,[],0,0
