review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139222,Les,NSW - 2430,NSW,2430,True,2025-10-31,31 October 2025,5.0,,"Never had any problems. The entire process was flawless. Great staff. Friendly, help, professional, and knowledgeable. I highly recommend.",5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Sigenergy,,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/187857067fc7461c761706f4e1156e390.jpg']",0,0
135159,Chez,NSW - 2447,NSW,2447,True,2025-07-09,09 July 2025,4.25,,"Apex were On spec patient and obliging with our set upA quick tidy installQuick to respond to requests post set up.PS we  are still wiring up.the house, so have yet to see (sunny) working.Cheers",4.0,4.0,5.0,4.0,7kW,,Jinko Solar,Selectronic,PowerPlus Energy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_selectronic.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_powerplus-energy.png']",0,0
133517,Mark,NSW - 2427,NSW,2427,True,2025-05-17,17 May 2025,5.0,,sales person researched before providing factual answers. Discussed alternate options available. Sales process was punctual turnaround. Arranged relevant grid certificates and battery manufacturer test certificates. Installation was methodical backed by photos. System tested on completion. Installers paid attention to detail and wewre very tidy and neat.,5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",,,Tesla Powerwall 3,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
133365,Ian,NSW - 2446,NSW,2446,True,2025-05-13,13 May 2025,5.0,,"Professional,  efficient and personable installers. Unit I chose was not what they offered but were happy to supply .",5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/07bbaf6dcd127d490798e0ef628f911e0.jpg']",0,0
133308,Alan,NSW - 2430,NSW,2430,True,2025-05-10,10 May 2025,5.0,,"Apex Solar was not the cheapest but we’re on time and explained all the options and when it came to installing the battery and solar system they were on time and very polite. The system was installed as quoted and has been providing solar power at the moment. Looking forward to turning on the battery on 1st July so we can get the government rebate’s, then we will be able to really see the investment that we have made.This was a investment in our future, not just for the ease of having our own power supplies but a investment in the environment and hopefully a better world for our next generationThanks Apex solar and team.",5.0,5.0,5.0,5.0,9kW,"$12,500 to $15,000",Jinko Solar,Sungrow,Sungrow,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/14911eb4985a6397c9f3c9b62954aed70.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/7f6fb3886a533d53203ec6878137aa4b1.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a8a44022ec57f09538bb3bcf644cf8d22.jpeg']",0,0
132881,Ian,NSW - 2446,NSW,2446,True,2025-04-28,28 April 2025,5.0,,All aspects of this quote and purchase have been conducted in a very professional manner.,5.0,5.0,5.0,5.0,5kW,,Jinko Solar,Deye,Dyness,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_deye.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_dyness.png']",0,0
131726,Jeremy,NSW - 2441,NSW,2441,True,2025-03-20,20 March 2025,5.0,,"Apex recommended and gave a very competitive quote for a Sungrow inverter system and battery with enough Jinko panels to ensure we'll never buy electrical power again. They installed it when they said they would,  did a good job and were always pleasant and easy to deal with. We're delighted with the system and getting it up and running was not just painless, it was real fun. A month on and we are still checking the app two or three times a day to see what's happening. Inevitably,  the battery is fully charged by mid morning and we are contributing our miserable limit of 3kwh into the grid. Even on the dullest day we easily charged the battery ensuring power for the night. It's the right system for us and we're very grateful to Apex for suggesting it and putting it in.",5.0,5.0,5.0,5.0,15kW,"More than $20,000",Jinko Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
131429,Mick,NSW - 2444,NSW,2444,True,2025-03-10,10 March 2025,4.5,,"Installation was good. Customer service is good. Apart from a few teething issues, I'm happy with the system. It's Fronius Primo Gen 24 inverter with 5 X BYD HVM batteries. (13.8kw). It's neat and tidy and fits in the available space without any issues.",4.0,5.0,4.0,5.0,,"$10,000 to $12,500",,,BYD,,,4.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png'],0,0
128386,Joe,NSW - 2444,NSW,2444,True,2024-11-26,26 November 2024,4.5,,Apex was quick to get me a ballpark quote over the phone and then after a site inspection we locked in details.Installation day was a breeze. They were able to get started even though I wasn't able to be at home.Customer service was great throughout the whole process. They got me set up with my online portal,4.0,5.0,4.0,5.0,13kW,"$12,500 to $15,000",Jinko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_fronius.png']",0,0
124369,Peter,NSW - 2439,NSW,2439,True,2024-07-28,28 July 2024,3.0,,"Installation was timely. Quoting was average as got 3 quotes 2 much the same and 1 over and above the average. They helped organise grid connections,  but the fromulius inverter is by passing battery  and leaking out of battery to grid,  therefore less use of battery for use.Inquiries about leakages the answer was not to worry about it. I there for would not recommend.",3.0,3.0,3.0,3.0,13kW,"More than $20,000",Jinko Solar,Fronius,BYD,,1.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png']",0,0
