review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
130147,Phillip,NSW - 2283,NSW,2283,True,2025-11-21,21 November 2025,5.0,,This review is for the battery system only. My solar panels have been on the roof for 7 years.The guy that quoted turned up on time and left me few questions to ask as he was very thorough with the process.Installation crew came on a day that we received torrential rain in that afternoon and did as much as they could inside the garage but were unable to complete the job at the meter box. They cam back on an agreed day and finished it off leaving the worksite clean and tidy.My 3 phase 16kW Sigenergy battery system has been working for 3 days now and I'm just getting my head around the Sigenergy app on my phone.We had a huge storm aver the weekend and about 300 people down the road were without power for 3 days.If you are looking for a home battery system in the Lake Macquarie/Newcastle/Maitland area i can totally recommend Apollo Energy Solutions.I'm now in the market for an EV charger.,5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",REC,Ingeteam,Sigenergy,5.0,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_ingeteam-power-technolty-sa---energy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/aa5a0817ded8fb9ea1aa8caf8aafc6fb1.jpg']",0,0
140193,Peter,NSW - 2324,NSW,2324,True,2025-11-19,19 November 2025,5.0,,Despite a small issue with not arriving with the correct footing for the solar panels. The quote process and the install team were great. Happy to recommend Apollo.,5.0,5.0,5.0,5.0,more than 30kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
140122,Peter,NSW - 2330,NSW,2330,True,2025-11-18,18 November 2025,5.0,,"Quoting process was easy with Tom visiting to check suitable location for battery and inverter then providing a quote in a timely manner.Installation was delayed due to high demand and low stock availability. This was communicated clearly and an alternate install date was arranged and adhered to.Installation was neat, no mess left behind. Tom paid me another visit to run me through the system and answer any questions I had.Overall, I'm very happy with Apollo Energy Solutions.",5.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,Alpha-ESS,,,,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5c40067c8c45c43a4bf38f0c65e7963a0.jpg']",0,0
139255,Kathryn,NSW - 2304,NSW,2304,True,2025-11-01,01 November 2025,5.0,,"I finally decided to try Apollo Energy Solutions from the three solar battery suppliers recommended by Finn Peacock and very quickly Lewis arranged to visit to assess my needs and assist with what I wanted.  He was informed, helpful and not pushy, so very good experience.  The total price was under what I had estimated. Apollo Energy Solutions is based at Beresfield, just north of Newcastle, so fairly local to me.They can see my system operating and will take steps to resolve any issues. The fact they are only 17 kms away is excellent.I signed up and was given a date for the install. A team of three arrived on time on the given date.They said it would take about 6 hours. It took just under and the site was left immaculately. They were well presented, answered all questions, were polite, kept me informed as to what was happening.  Asked permission to enter the house each time and were in no way intrusive.The supervisor set up my digital monitoring system and ran me through it. He showed me the system operating and ran through safety checks carefully and repeated them. They made a slight alteration, at my request, in the case of blackouts which means I will have hot water if a blackout occurs - brilliant!I am very pleased with the whole process from initial contact to switching on. I watched my digital display this morning and my battery is now 100% charged and exporting to the grid.",5.0,5.0,5.0,5.0,2kW,"$10,000 to $12,500",LONGi Solar,ESY Sunhome 6000 watt (Other),ESY Sunhome,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_esy-sunhome-batteries.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c433105d3cc6732c4982f9aeab2969040.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/113d2b5cde711cf5d17fccb69d2449e51.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/0441e19221892c6b6090543cf105841b2.png']",0,0
128633,Bruce,NSW - 2299,NSW,2299,True,2025-10-27,27 October 2025,5.0,,"Sales process was professional.  They recommended not going ahead with battery, despite it being a loss of potential profit.Installers were friendly, hard working, punctual and tidy.  Gave sound advice re use of analytics from inverter.Grid connection was organised for me, I only had to confirm the installation with energy retailer.",5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",Anhui Titan PV,Fronius,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
135115,Sean,NSW - 2250,NSW,2250,True,2025-07-08,08 July 2025,5.0,,A really great experience with the team at apollo. Jake talked me through the process and was available to help.out. got both a sigenergy battery and extra panels. Worked flawlessly so far. Installers were professional and took their time making everything neat and system is well installed. Ended up getting a geatpump installed as well and the whole team explained all stcs available and talked through the government rebates. Gave options for different battery types and install configurations. Would recommend.,5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",LONGi Solar,Sungrow,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
133035,Alexander,NSW - 2425,NSW,2425,True,2025-05-02,02 May 2025,4.75,,"Apollo is a great company to deal with! Lewis answered all my questions when he did the quote and answered all my phone calls a week later for all the info I forgot to ask.Installation was on time , very tidy and when finished they took me through the whole app and helped me with my password.They shut down power to go off grid and made sure everything is workingSigned app is fantastic , you can see the whole system working on your mobile screen and if something is happening it sends you a ms straight away…. Like power it, for instanceThanks for your recommendation and pointing me in the right direction ???",4.0,5.0,5.0,5.0,15kW,"$15,000 to $20,000",,Sigenergy,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png'],0,0
130939,Scott,NSW - 2282,NSW,2282,True,2025-02-21,21 February 2025,4.75,,"Tom was excellent, both my wife and I had all our question answered and all our concerns were considered. Once we decided to go ahead everything went smoothly, a date and time was arranged and the whole install was excellent by Thomas and Finn. Everything from the setting up and registering of the system was completed before they left, we only had to log on and set our password.",4.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",,Alpha ESS SMILE5 (Other),Enphase Energy,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_enphase-energy.png'],0,0
130690,David,NSW - 2298,NSW,2298,True,2025-02-12,12 February 2025,5.0,,Installing a battery through Apollo was quick and easy. They were prompt with their quote and the install was simple too. We have hardly bought any electricity since the install.,5.0,5.0,5.0,5.0,20kW,"$12,500 to $15,000",,Alpha Technologies,Alpha-ESS,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_alpha-technologies.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png']",0,0
129694,Glen,NSW - 2303,NSW,2303,True,2025-01-11,11 January 2025,5.0,,"The installer came to my property and assessed my bespoke situation (including whole home backup) and came of with some non-standard options with regards to the to size and configuration of the solar and battery system for my home. The final agreed system configuration has turned out to operate in excess of expectations. Very happy with the installation of the equipment and the performance of the system.Ended up with new a Sungrow 10kW Hybrid Inverter, Sungrow 16kWh Battery, and 6.6kW of Longi Solar Panels. This is in addition to the existing 7.4kW of Enphase solar that I already have.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",LONGi Solar,Sungrow,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/6c2ec961ea0d75073e58766dc1e7b94b0.JPG']",0,0
129452,Noel,NSW - 2322,NSW,2322,True,2025-01-01,01 January 2025,4.25,,"The installer was prompt with making contact and making an appointment, they provided alternatives and fully quoted those options.The  installation crew were punctual and the installation looks good.The system is working well and to date has met my expectations.",4.0,4.0,5.0,4.0,13kW,"$10,000 to $12,500",,Alpha Technologies,Alpha-ESS,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_alpha-technologies.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png']",0,0
