review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
64867,Barry,NSW - 2567,NSW,2567,True,2019-06-06,06 June 2019,4.25,,,4.0,4.0,4.0,5.0,6.6kW,"$3,000 to $6,000",,,,,,False,[],0,0
4916,Zita,QLD - 4272,QLD,4272,True,2012-09-24,24 September 2012,3.75,,,5.0,4.0,2.0,4.0,1.5kW,Under $3000,jt panels (Other),KLNE,,3.0,3.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_klne.png'],0,0
6202,Philip,QLD - 4211,QLD,4211,True,2012-09-11,11 September 2012,3.75,,,4.0,4.0,3.0,4.0,3kW,"$3,000 to $6,000",I Cant remember (Other),Xantrex / Enerdrive Pty Ltd,,4.0,4.0,False,[],0,0
4485,Wayne,QLD - 4124,QLD,4124,True,2012-09-05,05 September 2012,5.0,,Apple solar was a pleasure to deal with and they turned up when they said they would.  I'm very happy with my system and I have recommended them to several of my friends.  You can't beat them for value for money and great service.,5.0,5.0,5.0,5.0,1.5kW,Under $3000,NESL,Aerosharp,,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_nesl.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_aerosharp.png']",0,0
9657,Colleen,QLD - 4014,QLD,4014,True,2011-08-02,02 August 2011,4.0,,"They came for quote when arranged, organised install quickly (so beat the 1 July price changes) and supplied warrantys and paperwork soon after. Its pretty hard to know whether the systems and installation is great or otherwise at this early stage BUT the guys certainly seemed to know what they were doing and the meter now runs backwards so thats a good start!",5.0,3.0,4.0,4.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
9041,Keely,QLD - 4160,QLD,4160,True,2011-07-04,04 July 2011,4.75,,Sales person and owner Ian was really informative and very helpful. Everyone we dealt with was great.,4.0,5.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
8939,Hedy,QLD - 4163,QLD,4163,True,2011-06-30,30 June 2011,5.0,,"A great, no nonsense approach, very nice salesman, prompt service and ... great value for money!!!System is not yet connected to the grid.",5.0,,5.0,5.0,1.5kW,Under $3000,,,,,,False,[],0,0
8853,Brad,QLD - 4037,QLD,4037,True,2011-06-28,28 June 2011,4.0,,,4.0,4.0,4.0,4.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
8076,Anon,QLD - 4054,QLD,4054,True,2011-06-03,03 June 2011,3.75,,,4.0,3.0,4.0,4.0,1.5kW,Under $3000,,,,,,False,[],0,0
7984,James,QLD - 4211,QLD,4211,True,2011-05-31,31 May 2011,4.25,,,4.0,4.0,5.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
7680,Adrian,QLD - 4209,QLD,4209,True,2011-05-25,25 May 2011,4.75,,Company contacted me as advised within the time frame. Electrician attended when stated and when there was a delay the next day he telephoned me and advised the reason for the delay.  Attended when stated and completed the job in a professional manner.,5.0,4.0,5.0,5.0,1.5kW,Under $3000,,,,,,False,[],0,0
6992,Graeme,QLD - 4207,QLD,4207,True,2011-05-07,07 May 2011,4.5,,"The rep was very efficient with his response to my requests. He explained and informed me of all aspects of installation procedures. What he said he would do, he did. Two out of three companies replied to me.Very pleased with the results!",5.0,4.0,4.0,5.0,1.5kW,Under $3000,,,,,,False,[],0,0
6942,Garry,QLD - 4207,QLD,4207,True,2011-05-05,05 May 2011,4.75,,,5.0,4.0,5.0,5.0,1.5kW,Under $3000,,,,,,False,[],0,0
6136,Peter,QLD - 4217,QLD,4217,True,2011-04-11,11 April 2011,4.5,,"In an industry where there is so much confusion on different products,size,quality&price!!,I was extremely happy with the service provided by Apple Solar and would recommend them to anyone.",4.0,4.0,5.0,5.0,1.5kW,Under $3000,,,,,,False,[],0,0
5174,STEVE,QLD - 4307,QLD,4307,True,2011-02-11,11 February 2011,4.5,,"Small issue with subcontract installer. He did not have everything with him to finish off on first trip, but was quickly rectified. Up and running 5 weeks after quote, not bad considering problems everywhere with floods etc.",5.0,4.0,4.0,5.0,1.5kW,Under $3000,,,,,,False,[],0,0
5094,Anon,QLD - 4306,QLD,4306,True,2011-02-06,06 February 2011,3.5,,it is not installed yet,4.0,3.0,0,0,1.5kW,Under $3000,,,,,,False,[],0,0
4814,Gary,QLD - 4132,QLD,4132,True,2011-01-15,15 January 2011,4.0,,,4.0,4.0,0,0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
4796,Ron,QLD - 4114,QLD,4114,True,2011-01-13,13 January 2011,4.25,,now a wait for the digital meter because of the flood,3.0,4.0,5.0,5.0,1.5kW,Under $3000,,,,,,False,[],0,0
4665,T,QLD - 4285,QLD,4285,True,2011-01-05,05 January 2011,4.0,,"We had to wait a while because of wet weather here in Queensland,but when they moved it was all great.!!",4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
