review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140191,Lorraine,NSW - 2315,NSW,2315,True,2025-11-19,19 November 2025,5.0,,"First contact was with Jordan.  We supplied some initial information regarding our electricity usage and then he came to our home and clearly explained our options.Within a few days he supplied a quote for solar and battery with three options for us to choose from.We also obtained two other quotes, however neither person, although helpful, visited our home.We had some questions and Jordan provided immediate assistance, including provision of another quote that better suited our needs.Jordan advised us that Audra did all their own work onsite and that he would be there on the day of installation.On the day of installation, Jordan and his partner Matt arrived with another person.  They commenced on time and worked to complete the job without any issues.  From a previous roof inspection, we knew we may have some broken/chipped tiles and they identified those sealed them and advised us, so we could obtain replacements.Upon completing the solar and battery installation, Matt explained how to install the app on our phones so we could have access to the system and the basic operation.They packed up their tools etc and left.  Later that day we had a question about  the operation of the system and Matt returned the next day to check it out.  All was resolved.We would thoroughly recommend Audra Energy.",5.0,5.0,5.0,5.0,8kW,"$12,500 to $15,000",Trina,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
128765,Brian,NSW - 2280,NSW,2280,True,2025-10-05,05 October 2025,5.0,,"Great business to deal with. Installation went well and the lads cleaned up and left the place tidy.Matt was the only one to go up onto the roof when quoting .Matt prepared all the paperwork for grid connection, all I had to do was enter my details.The  Sungrow system is generating more power than we need even with the ac running. And the battery powers the house at night with plenty in reserve.Over all very happy I used both Solar Quotes and Audra energy.",5.0,5.0,5.0,5.0,6.6kW,"$12,500 to $15,000",Jinko Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
137937,Andrew,NSW - 2305,NSW,2305,True,2025-09-30,30 September 2025,5.0,,"Recently had Audra energy install a solar and battery system. Matt was fantastic to deal with throughout the whole process.He promptly come round to provide a quote and spent the time getting to understand our needs and recommend a system that had us covered, even getting up on the roof to make sure what we settled on was going to fit.Install was completed over two days, with no hassles at all. Highly recommend Matt it anyone looking for a stress-free process tha don’t cost an arm and a leg!",5.0,5.0,5.0,5.0,20kW,"More than $20,000",Jinko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
137849,Chris,NSW - 2284,NSW,2284,True,2025-09-28,28 September 2025,5.0,,"We've just had our 32kWh Sig battery installed, along with some additional solar, and very happy with the result. It was all very smooth and everything is working as expected. We highly recommend Matt and his team.",5.0,5.0,5.0,5.0,4kW,"$15,000 to $20,000",,Sigenergy,Sigenergy,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
129624,Evan,NSW - 2289,NSW,2289,True,2025-01-09,09 January 2025,5.0,,"What set Audra apart from the competitors during the sales/quoting process (and the reason I sought them out after a referral from a colleague), is that the owner Matt, physically inspected and measured our roof layout with me. This allowed us to consider the design solution together and discuss its optimisation, which I greatly appreciated.Matt is highly knowledgeable, honest and practical - very happy to answer all of my questions and guide me through the various panel/inverter options, the installation, grid connection and feed-in tariff interactions.We opted for the 8.2kW system (18x 455W Aiko panels) and the 8kW Sungrow 3-phase inverter. Audra's price was the most competitive from the 6-7 quotes we received from the market, offering the best $ per kW - which I attribute to the physical 'measure + quote' approach (more panels installed per m2) and the use of 455W panels.Audra's customer service was everything I had expected, Matt was always punctual as my point of contact and at time of installation, the Audra team were on-time, safe and tidy. Audra even included the shortening of my roof flus to alleviate potential shading on the panels to the quotation and identified a broken tile baton that needed my attention.A month on, I'm extremely happy with the service I received, the slick all-black panels and the system's overall performance - made easy by the live tracking of the home's energy usage.I have no problem recommending Audra (Matt) to others in the Newcastle/Hunter region.",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Aiko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/99255c7c2579fb8380f7764a348bb4f60.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/f5e03ed3d64595cd5b9d67f8fc66fbd11.jpg']",0,0
129010,SCOTT,NSW - 2291,NSW,2291,True,2024-12-13,13 December 2024,5.0,,"Matt and installation team at Audra were very professional.  Matt came to site to discuss my requirements, which included providing a design that could take a battery in the future.  I felt that Matt asked all the right questions and then made good recommendations on the type of equipment, the location for the inverter and the roof panels.  I decided on a 12.76kW system (29 x 440 watt panels) and 10kW Micro Inverter. At installation time, the Audra team arrived on-time, and were careful, safe and neat.  A month on and I am very happy with the way the system is performing.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
127525,Andrew,NSW - 2290,NSW,2290,True,2024-11-01,01 November 2024,5.0,,"Matt and his team are efficient, polite and keen, job was left tidy. Complied with all safety regulations. Neat signage and advisory warnings.  Facilitated the whole process, very easy for me. Great customer service. When meter was upgraded there was a fault, Matt fixed it next day, couldn't be happier with the whole process. Only ones let me choose where i'd like the panels and inverter. Professional install and support afterwards.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
126707,Carole,NSW - 2326,NSW,2326,True,2024-10-08,08 October 2024,5.0,,When they came to our house they explained everything clearly. They were very pleasant and they didn't try to sell us some thing we didn't want,5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Jinko Solar,,,5.0,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png'],0,0
122763,Adam,NSW - 2280,NSW,2280,True,2024-06-04,04 June 2024,5.0,,"Over the years I have had a few solar quotes from door to door salesman that were over priced, focused on pushing a particular product, based on desktop assessment and didn't appreciate the complexity of my roof.I found Audra Energy through the Solar Quotes website and decided to contact them based on the strong customer reviews.I received a response to my request for quote quickly. Matt came out to my house and started by getting on the roof to take measurements, looking in my meter box and having a discussion about what I was trying to achieve and my concerns.  He talked me through the pros and cons of different panels and inverters and wasn't trying to push me towards any particular products.Shortly afterwards Matt sent me a quote with 3 options (low cost, mid range cost and higher cost). Each option had detailed cost breakdowns, warranties, expected performance, proposed panel layouts.I had several questions and Matt was quick to respond.After selecting an option and paying the deposit, Matt arranged installation. While there were some delays due to rain and waiting on parts, Matt kept me informed.Installation took 2 whole days due to my roof being complex and needing to have multiple banks of panels spread across 2 levels of roofing. The team worked hard for the 2 days and delivered a really good install.The system is working better than I expected I would in terms of outputs.I am really glad I went with a local (Lake Mac/Newcastle) company that focuses on quality and the customer. The price is also really competitive.Highly recommended!",5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",Jinko Solar,Enphase,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
121845,Phil And Jann,NSW - 2283,NSW,2283,True,2024-05-05,05 May 2024,5.0,,They were the most professional of the 3 quotes. They visited my home and spent time going through various options and matching a system to my needs. Installation was trouble free and extremely neat. Cleaned up and took away all waste.,5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Jinko Solar,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/515f13fc7b58c94a57e4d707ec0cf3fc0.jpg']",0,0
