review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
114316,Lisa,QLD - 4116,QLD,4116,True,2023-09-10,10 September 2023,5.0,,It was a good deal with Oliver. After signed the install was done within 7 days.Fantastic installers. Thanks for your hardwork,5.0,5.0,5.0,5.0,13kW,"$6,000 to $8,000",,,,,,False,[],0,0
110748,Melba,VIC - 3500,VIC,3500,True,2023-05-20,20 May 2023,1.0,,"Salesman knocked on my door on the 8th of Oct from another company, quoted me for two houses to each have a 6.6kw battery ready systems after speaking to Aus Solar energy group at $11,900 in total out of pocket costs one system was installed on the 15th of October the second on the 16th of October Aus solar energy group accountant then changed the costs to $11,900 for each system ripped off this is after they collected the stc incentive for each house Aus solar energy group dictates the price then overcharged me for absolutely everything supposed to get a growatt ended up with a solis supposed to be battery ready simple plug in, nope their not. Ripped off in contract signed on the 8 th of October was for two installations but improperly filled in lots of lies",1.0,1.0,1.0,1.0,6.6kW,"$10,000 to $12,500",Jinko Solar,Solis,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
109362,Oliver,NSW - 2620,NSW,2620,True,2023-04-01,01 April 2023,5.0,,"I'm very pleased with the installation.The consultant, Brendon, was very helpful and organised the installation and paperwork very quickly.I would highly recommend Aus Solar Energy Group.",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",Jinko Solar,Growatt,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
107547,Gerry,NSW - 2761,NSW,2761,True,2023-01-23,23 January 2023,5.0,,"Brendon of Aus Solar Energy was easy to deal with. He provided the cheapest quote, answered my questions and communicated them very well. The installation was very quick. Vincent and his team were punctual and very efficient, even helped in setting up the wifi monitoring app. Brendon also followed up soon as the job was completed. The team did an excellent job overall. Highly recommended.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
85433,Craig,NSW - 2066,NSW,2066,True,2021-01-09,09 January 2021,4.5,,"Being a two storey A frame type house, my install was always going to be more difficult than most. Aus Solar Energy Group took the time to come to my property to inspect both inside and out and discussed with me at length how the installation would proceed. Because they were so prepared the install went very smoothly and the finished product looks fantastic. The panels have been mounted evenly on both sides, something other supplies said was impossible. The same inverter and wiring is neat and tidy and installed in such a way that it is not conspicuous from the front of the property. Aus Solar Energy prepared and submitted the necessary documents to my retailer to have the smart meter fitted which was fantastic.In all respects they were great to deal with and took time to listen to my requirements and worked to best accomodate them.I am very happy with the price paid and the quality of the install and would not hesitate to recommend them.",4.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,SMA,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
84754,S,NSW - 2000,NSW,2000,True,2020-12-14,14 December 2020,5.0,,Aus solar has installed my solar system. It was a great experience with the company and they fit me in pretty quickly. Communication has been great and the labour staffs seem super handy and experienced with the installation.,5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,,,,,True,"['https://www.solarquotes.com.au/img/installation/thumbnailsx83/2d0cab2ed24dd776f48a4706f8df2b200.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/2d0cab2ed24dd776f48a4706f8df2b200.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5532ef986d7651dc2c77175487bd5b2f1.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5532ef986d7651dc2c77175487bd5b2f1.jpeg']",0,0
80558,Michael,VIC - 3942,VIC,3942,True,2020-08-19,19 August 2020,5.0,,"We had panels installed by AUS Solar Energy Group and were very happy with the job done. The initial contact was with their sales guy, Niall Garrett, who explained everything to us very well. Just as we were about to sign, I happened to ask about the panels and inverter being installed.  Both were mid range products so we upgraded (at not much greater cost) to products from the upper end of the market - Q-cells and an ABB Inverter. We happened to have all the documents available which we had to send to Solar Victoria for rebate approval. From the time we signed the contract, had the panels installed and then the government inspector to check all was good, was no more than three weeks.  The Installers were very nice guys and did a good job.",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Qcells,Fimer,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png']",0,0
76941,Chaudry,WA - 6066,WA,6066,True,2020-05-21,21 May 2020,4.75,,"Non pushy sales with good information provided. Installation was excellent with polite, well organised tradies who left the place clean. Regular check ins post installation as well to make sure everything is running as it should. Overall extremely happy with the cost and service.",5.0,4.0,5.0,5.0,6.6kW,"$2,000 to $4,000",EGing,Growatt,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_eging.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
71824,Prue,NSW - 2064,NSW,2064,True,2019-12-23,23 December 2019,4.75,,"Just had my new solar installed. The whole process went very well, from Michael's quote to the installation by Alan. All went smoothly! I am impressed by the service and especially the follow up by Michael. The last solar I had did not give me the follow up service that I am getting now. Follow up is so very important.",5.0,4.0,5.0,5.0,8kW,"$6,000 to $8,000",Jinko Solar,Huawei,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_huawei.png']",0,0
51486,Gary,VIC - 3073,VIC,3073,True,2018-08-20,20 August 2018,4.5,,I was looking for a 50kW system and the salesperson convinced me to go with a 25kW instead as it would be more effective. I was surprised at this as 3 other companies had pushed a 50kW given my electricity usage. The Aus Solar Energy guy took the time to explain the figures and why the 20kw would be the best value for money. I thank them for their honesty and after talking to an electrical engineer friend of mine he wholeheartedly agreed with the suggestion. Great install and good to know I'm dealing with some honest people for a change.,4.0,5.0,5.0,4.0,More than 6kW,"$10,000 to $15,000",,,,,,False,[],0,0
