review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
139820,Paul,QLD - 4216,QLD,4216,True,2025-11-12,12 November 2025,3.5,,"All good until a fault with the inverter 6 years after installation. The installer that sold us the system promised and wrote on the invoice the entire system was covered by a 10 year warranty, but when we recently reached out for help, we discovered they had closed their business and so would not be around to honor any warranty.The manufacturer's warranty we were then learned is 5 years, so officially we were not covered.Thankfully Solax have offered a goodwill gesture to replace the unit for which we are very grateful.",4.0,4.0,5.0,1.0,5kW,"$4,000 to $6,000",,SolaX Power,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png'],0,0
129492,Shane,NSW - 2282,NSW,2282,True,2025-01-05,05 January 2025,4.5,,Install was fine.Goodwe follow up service is bad.,4.0,4.0,5.0,5.0,6kW,"$2,000 to $4,000",,Goodwe,,,1.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
83775,Ted,ACT - 2904,ACT,2904,True,2021-07-20,20 July 2021,4.25,,"The sales process was satisfactory with no pressure applied. I was also offered finance with no up front payment with the amount being repaid over three years.  Installation happened as arranged but was not finalised on the day due to late afternoon rain. It was finished the next morning.  They also were able to upgrade my meter box without charge while some other providers said that this would cost between $1500 and $2000.  It was one of the main points in proceeding with this company.  They made preliminary arrangements for a ""Smart Meter"" to be installed.",4.0,4.0,5.0,4.0,6.6kW,"$4,000 to $6,000",Seraphim,Growatt,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
46598,Irving,NSW - 2323,NSW,2323,True,2018-12-16,16 December 2018,4.0,,"I appreciate the fact that I received info and advice from your site, and personnel, which assisted me greatly in making the choice to use Q-cell panels and Fronius Symo 3 phase inverter from Adrian Johnson at Aussie Solar at Warabrook, Newcastle. There are 23 * 280 panels making 6.4 system.",4.0,4.0,4.0,4.0,5kW,"$6,000 to $10,000",Qcells,Fronius,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
52644,Olivia,QLD - 4865,QLD,4865,True,2018-09-13,13 September 2018,3.25,,ERGON has no connected yet so performance really unknown,3.0,4.0,4.0,2.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
49629,Max,NSW - 2428,NSW,2428,True,2018-07-04,04 July 2018,5.0,,In Dec 2010 arranged for 4 x 1.6kW systems locally here in Forster NSW. Cost on single storey including meter rewire $1290 and recouped within 12 months due then to high FIT. All systems no problems since install and that includes CMS2000 inverter.,5.0,5.0,5.0,0,1.5kW,Under $3000,Suntech,,,5.0,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png'],0,0
47804,Bernie,NSW - 2566,NSW,2566,True,2018-05-14,14 May 2018,5.0,,I had just had a 5.987 system installed on our roof at home the people who installed the system were 1st class I have never seen better .I will see how good the system is in a few weeks as for Aussie solar Iâ€™m happy I went with them .So to any body out there if you need solar get a quote from Aussie solar.Thank you Terry and all your workers.Ps in time to come I will make a further comment on the system when how much it drops my power bill.,5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
29976,Roberto Jr.,NSW - 2360,NSW,2360,True,2016-04-01,01 April 2016,4.25,,"We had this solar system two years ago,I was just thinking of additional 2 or 3kw. My experienced is quite good and no problem for the last two years. Its easy to communicate with them if needed.",4.0,4.0,5.0,4.0,3kW,Under $3000,,,,,,False,[],0,0
24937,Andrew,NSW - 2321,NSW,2321,True,2015-01-13,13 January 2015,2.5,,"I had installed 1.5 KW plus battery back up system.Sounded great but because I have 3 phase power only a third of house utilises  solar. The rest is wasted and sent back to grid for pennies.Have informed Aussie Solar about this and mentioned how I was not told or its not advertised limitations of having 3 phase power. If I had known before I would not have purchased as it is totally worthless to me.On top of this Aussie solar have not answered phone this year, have they closed shop, nothing mentioned on website.",2.0,4.0,3.0,1.0,1.5kW,"$6,000 to $10,000",,,,,,False,[],0,0
21637,Jess,QLD - 4209,QLD,4209,True,2014-02-10,10 February 2014,4.75,,"Salesman told us about lots the others didn't, and didn't try to sell us more than we needed. Very honest. Good references too.",5.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
