review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
137430,Ron,NSW - 2278,NSW,2278,True,2025-09-18,18 September 2025,4.75,,"Like most people I don't often write a review when happy with a product or service. For Aztech I must make an exception. Their quote was one of the more expensive I received, but I'm very pleased we went with Aztech. The purchase of a larger system is a considerable outlay and we needed to be confident the install will stand the test of time. The install was not without its hiccups, as our install was probably more complex than most, but Aztech were very proactive in their communications and approach to the job. Everyone involved in the installation was very professional in their approach, sales, office, installation and management. The finished job is a credit to the installer and team. I would have no hesitation in recommending this company to anyone.",4.0,5.0,5.0,5.0,20kW,"More than $20,000",,Sungrow,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
135076,Craig,NSW - 2421,NSW,2421,True,2025-07-07,07 July 2025,5.0,,After getting 3 quotes I can say I'm glad I went with these guys... from start to finish there was no reason to ask questions everything explained in layman's terms.Deano and the boys done a great job and all pleasant to get along with.Recommend them to anybody looking for solar definitely value for money.,5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",JA Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
125426,Warren,NSW - 2320,NSW,2320,True,2024-08-28,28 August 2024,5.0,,From start to finish Aztech have been great to deal with.  Honest & accommodating to my requirements and never pushy.  I had many companies try to tell me I couldn't do what I wanted with Panel layout and Inverter but Aztech went the extra mile.,5.0,5.0,5.0,5.0,20kW,"$12,500 to $15,000",JA Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
124736,Henry,NSW - 2335,NSW,2335,True,2024-08-07,07 August 2024,5.0,,"Sales and quoting was easy and straight forward. The salesperson came to my home when I was available, explained everything that I could think to ask including how the ""interest free"" green loans from Plenti (and the like) work, as well as how different systems are beneficial for my situation. Transparency on the ""green loans"" by Aztech lended itself to credibility and trust.Sales and installation were by Australians which is a positive in my book. Communication was great including with sales, front office and the gentlemen that did the installation. Five stars!Installation was hindered purely by the weather and the need to work safe on the roofs. Would 100% recommend to anyone wanting solar.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",,,,,,,False,[],0,0
120054,Chris,NSW - 2322,NSW,2322,True,2024-03-09,09 March 2024,5.0,,"Great service. Fantastic installer.I went with 9kw SolarEdge system with Battery, 23 PanelsDecided on keeping everything the same manufacturer, rather than having all different.2 people in the house, with ducted air-conditioning.Couldn't be happier.Only been on a month.Alittle early to tell how much of a difference to the bill it will make.",5.0,5.0,5.0,5.0,9kW,"More than $20,000",SolarEdge,SolarEdge,SolarEdge,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solaredge.png']",0,0
109818,Alison,VIC - 3777,VIC,3777,True,2023-04-19,19 April 2023,5.0,,The quoting process by Aztek Solar was efficient and the price fair and reasonable. The installer arrived on time to the minute and worked efficiently and diligently. He tidied up and left no mess. He showed me how the inverter works and how to read the screen info. And he told me about the next steps to do with inspection for compliance and my retailer’s process to turn it on. He left me with full confidence that all would work well.,5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
107302,David,NSW - 2324,NSW,2324,True,2023-01-13,13 January 2023,2.5,,"Sales person was great and promised the world even the panel’s would charge on a full moon. Bugger all savings and would never recommend to anyone. Work out how long it would take to pay back $12,000 in savings.",1.0,1.0,4.0,4.0,9kW,"$10,000 to $12,500",,,,,,,False,[],0,0
97875,Dan,NSW - 2259,NSW,2259,True,2022-02-16,16 February 2022,3.0,,"Have to admit the sales, quoting and install went well once they had there final payment was taken that was it.We were told they take care of all the paperwork and connection there is nothing else we need to do.4 months later we receive a bill for $830 and find out our solar was never connected, in response we were offered a $200 gift card and told it was our fault cause we didn't answer a call that we never knew we were meant to get.Wold not recommend these guys to anyone.",3.0,3.0,5.0,1.0,10kW,"$8,000 to $10,000",Jinko Solar,Sungrow,,3.0,3.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
95440,Ronald,NSW - 2261,NSW,2261,True,2021-11-19,19 November 2021,5.0,,Good service quick install friendly staff neat and tidy install.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
92329,Paul,NSW - 2324,NSW,2324,True,2021-08-14,14 August 2021,4.0,,"The advice from Solar Quotes was very helpful.  Without it I would have been lost, it gave enough info to ask the right questions.  All of the suggested providers were very helpful, friendly and professional. I the end I went with a local supplier to keep work in the neighbourhood.",4.0,4.0,4.0,4.0,6.6kW,"$6,000 to $8,000",Jinko Solar,SolarEdge,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
79959,Dave,NSW - 2320,NSW,2320,True,2021-03-29,29 March 2021,2.5,,The first installation of the mounting bracket had to be removed and replaced pour workmanship by Aztech I would not recommend this company to anyone.,3.0,3.0,3.0,1.0,8kW,"$8,000 to $10,000",Jinko Solar,Solaredge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
79308,Jeremy,NSW - 2335,NSW,2335,True,2021-03-21,21 March 2021,5.0,,"Great experience all around. Not pushy, plenty of advice and information. A great product, app, friendly installer and great after install assistance. Connected up quickly and no fuss. Love my new Aztech Solar System.",5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",Suntech,Solaredge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c7910cb2522e2d253e5ce901da29743b0.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c7910cb2522e2d253e5ce901da29743b0.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/050b3886e8db217de704b505094e6c581.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/050b3886e8db217de704b505094e6c581.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/eb7eb96872e391d6ed4a1a72d9ba6ad2.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/b538754ec97358f21d40fe6a30ea73c2.jpeg']",0,0
79255,Jason,NSW - 2318,NSW,2318,True,2021-03-20,20 March 2021,5.0,,"I used Aztec Zolar, we had a great install. We had 10kw of panels installed and took less than 6 hrs. They have a good team of guys who work  hard to get the job done.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Q cells (Other),Solaredge,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png'],0,0
86368,Christine,NSW - 2325,NSW,2325,True,2021-02-02,02 February 2021,4.0,,"No after sales service whatsoeverIt is essential to have after sales service written into contract and have minimum 25 years warranty in case anything goes wrong or you need further information etcIt's essential to put solar stay on house insurance against hail damage etc. The Installer informed me to do this which i did.I haven't paid for assessment or repair, maintenance of my solar system. There is no after sales service. The Installer said once system was installed, that's it.",5.0,5.0,5.0,1.0,5kW,"$3,000 to $6,000",,,,,,,False,[],0,0
76598,Alan,NSW - 2280,NSW,2280,True,2021-01-11,11 January 2021,4.0,,"So far we have been impressed with the installation and the system is up and running. We are yet to be connected to the Grid.Everything the two installers did appeared to be first class. They were polite, punctual, and left our home and surrounds as they had found it. I have contacted Aztech in relation to the grid connection and have been assured this will take place shortly.",4.0,4.0,4.0,4.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Solaredge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
66329,Diane,NSW - 2259,NSW,2259,True,2020-12-30,30 December 2020,4.0,,"Looking at installing solar was a daunting task, every company put their own spin on their products & services. Thankfully I was told about Solar quotes & this helped me make a more informed decision. They are impartial & out for the consumer to be informed & for then to get a reliable solar system are a reasonable price. Jonathon from Solar Quotes looked over my quotes & was able to guide me as to which ones were solid quotes & from their it made choosing my system quite easy. I can't recommend this service enough for the information that they provide & for the assistance they provide me with.",4.0,4.0,5.0,3.0,6.6kW,"$6,000 to $10,000",SolarEdge,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/db15dc2a877ad78d0f8359ee13383eef.jpeg']",0,0
83574,Mark,NSW - 2320,NSW,2320,True,2020-11-13,13 November 2020,5.0,,"Freindly Service, Good Deal, Fast Install and seems to be doing what it is supposed to.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",SolarEdge,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
82236,Paul,NSW - 2295,NSW,2295,True,2020-10-06,06 October 2020,4.75,,"The Quote was very straight forward.  I knew what Panels and System I wanted, I just wanted a price.The Installation was fantastic.  The team called the day before the booked date to arrange some preliminary bracket placement that afternoon.  The Installation the next day was all done by 2.30pm, all 32 panels.The grid connection has been arranged by AZTECH but yet to happen, waiting on AGL.",4.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",REC,Solaredge,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
80441,Greg,NSW - 2330,NSW,2330,True,2020-08-16,16 August 2020,4.25,,"Good price for system, quick and easy to deal with.",4.0,5.0,4.0,4.0,6.6kW,"$8,000 to $10,000",Jinko Solar,Enphase,,4.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
75564,Melissa,NSW - 2290,NSW,2290,True,2020-04-14,14 April 2020,5.0,,"We had our 7.9kw system installed last week by Aztech Solar and I'm one happy girl! The process was all very smooth from sales to installation. Bryce in sales visited our home and was quick to get back to me on any questions I had (and I had a few!). I was notified of an install date prior via text message. Kyan and his team of installers were punctual, friendly, tidy, helpful and did an awesome job. Arslan has also been helpful with after sales questions.So happy with the results so far, and with my choice of products and installer.Just I had notification of the smart meter change over from the electricity company that was all organised by Aztech.",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Qcells,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
75525,David,NSW - 2295,NSW,2295,True,2020-04-14,14 April 2020,5.0,,"I chose Aztech Solar for two reasons, the great price offered and their customer service.  Another installer provided a similar price but their customer service was poor.  I was kept informed of installation timeframes and the installer did a great job.  I coupled my system with solar analytics (based on the reviews of solar quotes ) and I couldnâ€™t be happier.  Iâ€™m able to see real time performance and consumption info.  Overall very happy with my system and there is a lot of gratitude to be given to Solar quotes for the informative website and answering a number of questions which I had. Thanks",5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",REC,SMA,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
63366,ROBERT,NSW - 2325,NSW,2325,True,2019-12-28,28 December 2019,4.75,,Local Company,5.0,4.0,5.0,5.0,6kW,"$10,000 to $15,000",Jinko Solar,FRONIER (Other),,5.0,5.0,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png'],0,0
68791,Matt,NSW - 2323,NSW,2323,True,2019-09-27,27 September 2019,4.5,,"Knowledgeable sales person, excellent products.Aztec were the only company at the time I spoke to who were able to offer panels with MWT (metal wrap through). The panels they reccommend are new to the Aussie market, the specs/warranties stack up very well (if not better) against well known premium panels such as LG but with a more affordable price point - currently performing excellently, combined with DC optimisers my majority west orientated array has put out ~30kw each day for the first 5 days running (early spring, slightly overcast) will be interested to see how they go in the long run!Can't fault the install team - all care was taken with my (older) tiled roof, not a single crack or breakage.Very polite, knowledgeable and professional - end product is a clean, tidy and great looking install. 5 star service from them!Only minor gripe is that communication dropped off sharply after deposit was paid and could've been given more notice for the installation date.Was sent an initial message that I'd be contacted within 21 days to arrange a suitable install date - on day 21 I recieved a follow up message stating I was booked and someone would be on site in 3 days to commence the installation - lucky I was free that day!Overall extremely happy, would reccommend.",4.0,5.0,5.0,4.0,6.6kW,"$6,000 to $8,000",Sunport 330MWT (Other),Solaredge,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png'],0,0
65574,Andrea,NSW - 2290,NSW,2290,True,2019-06-27,27 June 2019,4.0,,"Almost bought a system through one quoted by SolarQuotes.com.au. However, the Flex panels they were selling me were not recommended by you so I decided to go with another provider with panels recommended by you (externally quoted). Advice from SolarQuotes was helpful, thank you.Slightly disappointed with the provider I went with - they said that analytic software was included as standard as part of the cost. However, later when they were trying to (almost) price match against the company I was deciding between, they did not include the analytic software on the quote and I didn't realise it needed to be itemised because it hadn't been previously either. They later told me, after I questioned, that they pulled it out so they could price match. I didn't realise and the system had already been installed.",4.0,4.0,4.0,4.0,6.6kW,"$6,000 to $10,000",,,,,,,False,[],0,0
65421,Anon,NSW - 2321,NSW,2321,True,2019-06-23,23 June 2019,4.75,,Thank you solar quotes for your excellent advice and assistance however our selected supplier were much quicker to giver personal onsite advice and installation with equivalent or better quality than the others.Thank you again.,4.0,5.0,5.0,5.0,6kW,"$3,000 to $6,000",,,,,,,False,[],0,0
54197,Bradley,NSW - 2295,NSW,2295,True,2019-06-19,19 June 2019,3.5,,A couple of weeks starting after they told us but this was due to rainy days.  They did tell us before hand that they would be late but started work when they said they would.,3.0,3.0,4.0,4.0,6kW,"$6,000 to $10,000",JA Solar,Solaredge,,4.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/f4b7e1018461c226dde9c40da95bad30.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/b57643f777aac15dbdd3effbfbaf1821.jpg']",0,0
50218,Colin,NSW - 2324,NSW,2324,True,2019-03-23,23 March 2019,3.5,,System is 6 x Jinko Eagle PERC 60 290 - 300 watt panels connected to a Solar Edge Inverter. The installation was carried out in a professional manner and the site left in clean condition.I am now waiting for the electricity supplier to install the require meter to make the system operational.  This is the most frustrating part of the whole process,4.0,4.0,3.0,3.0,5kW,"$6,000 to $10,000",Jinko Solar,Solaredge,,3.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
59939,Scott,NSW - 2334,NSW,2334,True,2019-02-14,14 February 2019,5.0,,"Aztech Solar did a great job from the quoting right through to the installation.The salesman was very knowledgeable and made every effort to ensure the system was sized to my requirements and all of my queries answered.The installation actually started within the estimated 2 to 3 week wait period that I was made aware of from the start.The installation team did a fantastic job, paying attention to detail and ensuring everything installed to a high standard and was neat and tidy.I would recommend Aztech Solar to anyone seeking to install a system",5.0,5.0,5.0,5.0,More than 6kW,"$10,000 to $15,000",,,,,,,False,[],0,0
58317,Debra,NSW - 2286,NSW,2286,True,2019-01-10,10 January 2019,5.0,,Very good service and reliable. Highly recommended.,5.0,5.0,5.0,5.0,More than 6kW,"$10,000 to $15,000",,,,,,,False,[],0,0
57434,Mark,NSW - 2327,NSW,2327,True,2018-12-20,20 December 2018,4.75,,,5.0,4.0,5.0,5.0,6kW,"$6,000 to $10,000",,,,,,,False,[],0,0
