review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
125925,John,VIC - 3350,VIC,3350,True,2024-09-12,12 September 2024,4.75,,"Bailey Technologies recently installed my solar panels, and I'm thoroughly impressed with their service. From the outset, Scott Bailey, the lead electrician, and Susan Bailey, who manages the office, were outstanding.Their team, comprising both apprentices and qualified electricians, worked with diligence and professionalism. The installation was completed swiftly and without disruption, and the site was left clean and tidy.Scott's expertise shone through when sourcing custom panels that met our stringent criteria for performance, aesthetics, and manufacturer support. One month post-installation, the system functions flawlessly,and Bailey Tech's responsiveness to queries is commendable, with a turnaround time of less than 24 hours.Susan's candidness about their pricing being a reflection of their quality was appreciated, and indeed, their reputation as one of the best in the business is well-deserved.Opting for a local installer with a solid track record paid off, as the entire process from start to finish exceeded my expectations.I wholeheartedly endorse Bailey Technologies; they are a testament to the adage that quality outlives the memory of cost.",4.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",LONGi Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/7bd3fa216fcf94f1026eb82cb659da930.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/06ad4753fdf95fb4407c1c716ddf3ce61.jpg']",0,0
78908,Jamie,VIC - 3442,VIC,3442,True,2020-07-10,10 July 2020,5.0,,Very impressed with the system that they recommended and have installed.   They were professional throughout entire process. The owner of company was also onsite and part of the installation team which worked in seamless union.  We had a small issue outside of their control and Scott made several trips to ensure this was fixed asap even on the weekend.  Couldn't be happier to recommend and support a solar installer that provides this kind of service.,5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Qcells,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
76479,Susan,VIC - 3350,VIC,3350,True,2020-05-07,07 May 2020,4.0,,I havenâ€™t got it installed yet but all ready to go next week so Iâ€™m very pleased,4.0,4.0,4.0,4.0,1.5kW,"$2,000 to $4,000",,,,,,,False,[],0,0
68020,Ajay,VIC - 3024,VIC,3024,True,2020-05-04,04 May 2020,3.25,,"The quoting process and the service so far has been top-notch. While I have agreed to the terms and conditions and signed a letter of purchase, the installation is yet to complete as I am still waiting on the VIC rebate. I will provide additional updates once the installation is complete.",2.0,3.0,4.0,4.0,6.6kW,"$10,000 to $12,500",Jinko Solar,Fronius,,4.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
67958,Geoff,VIC - 3023,VIC,3023,True,2020-04-29,29 April 2020,5.0,,"They came when they said they would to give us the quote and answered all questions in a manner that we could understand. when we went ahead they set the date quickly for intallation and on the day turned up on time, all staff were polite and friendly and they cleaned up completely before leaving.  They then called the next day to check all was working well. They are certainly a company I would recommend to anyone,",5.0,5.0,5.0,5.0,5kW,"$8,000 to $10,000",Jinko Solar,SolaX Power,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png']",0,0
69142,Paul,VIC - 3215,VIC,3215,True,2019-10-09,09 October 2019,5.0,,"The fact they came out and actually measured the roof and didnâ€™t just use a satellite photo to quote the job had me impressed from the start , the installation was painless and their team were fast , efficient and courteous.I was impressed by the cleanliness of the work and respect they had for our property .Their office staff were very helpful and knowledgeable with regards to getting the solar rebate and throughout the entire process , I have already referred several friends to Bailey technologies who are currently getting their systems installed .",5.0,5.0,5.0,5.0,6kW,"$2,000 to $4,000",Canadian Solar Inc,SolaX Power,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png']",0,0
68743,David,VIC - 3340,VIC,3340,True,2019-09-25,25 September 2019,5.0,,"Quoting was very detailed, explained in a way that we understood. They were very helpful with the application processes as well. Installation was hassle free. The team turned up early morning and were very polite and went about their individual jobs in a very orderly fashion, always cleaning up any mess and making sure of  minimal disruption to the household.",5.0,5.0,5.0,5.0,6kW,"$10,000 to $12,500",Qcells,Fronius,Fronius,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_fronius.png']",0,0
68719,Eric,VIC - 3352,VIC,3352,True,2019-09-25,25 September 2019,5.0,,"The Quote was good, the advice was very good, the service was very professional, the work was done on the day and in the time allotted I am very happy with what was done. Cheers Eric.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/844679f753ea7d67407dc3aac45d7f300.jpg']",0,0
67269,Ravi Kumar,VIC - 3028,VIC,3028,True,2019-08-12,12 August 2019,5.0,,Solar quotes made the process very easy with upfront information and checklist for a solar system. The recommended suppliers provided quotes of similar quality and specifications which made comparison easier. The entire process has been excellent s far and I am now waiting for solar installation inspection to be completed. Thanks!,5.0,5.0,5.0,5.0,6.6kW,"$3,000 to $6,000",Jinko Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
66716,Peter,VIC - 3352,VIC,3352,True,2019-07-29,29 July 2019,5.0,,They were able to offer solutions i hadn't thought of and saved me some money. Arrived when they said they would very happy.,5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,Fronius,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
63621,Adrian,VIC - 3334,VIC,3334,True,2019-05-03,03 May 2019,4.75,,Device from installer was great and quick had no problems at all,4.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,,False,[],0,0
63619,Brandon,VIC - 3342,VIC,3342,True,2019-05-03,03 May 2019,5.0,,"Excellent professional team. They know their business and freely provide excellent advice, Highly recommend Bailey Technologies. fast and reliable service.",5.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,,False,[],0,0
62964,Nate,VIC - 3215,VIC,3215,True,2019-04-18,18 April 2019,5.0,,"The solar installation quote completed by Scott was excellent.No pushy sales pitch, just honest discussion, advice and a clear agreement on exactly what I wanted. Once the solar system was chosen, installation occurred exactly as agree upon. Installation on the day was excellent. Scott's team of 4 arrived at 7am (set up the safety rails), and stayed until 3pm. They worked non-stop except for a short midday break. Tiles were grinded expertly so as no tiles were raised above others. They cleaned up after the job was completed.System was turned on that afternoon and has been producing at expected rates.Very impressed with the whole process.",5.0,5.0,5.0,5.0,More than 6kW,"$3,000 to $6,000",,,,,,,False,[],0,0
61483,Scott,VIC - 3340,VIC,3340,True,2019-03-21,21 March 2019,4.5,,,4.0,4.0,5.0,5.0,6kW,"$3,000 to $6,000",,,,,,,False,[],0,0
61123,Anon,VIC - 3551,VIC,3551,True,2019-03-14,14 March 2019,5.0,,,5.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,,False,[],0,0
48282,Robert,VIC - 3340,VIC,3340,True,2018-05-28,28 May 2018,5.0,,,5.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,,False,[],0,0
