review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
134969,Mark,NSW - 2204,NSW,2204,True,2025-07-04,04 July 2025,5.0,,Easy process and good communication throughout. Experienced team of people both in specifying the right system and also the installation.About to install batteries and very happy to use the Bare team again.,5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Aiko Solar,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
133580,Martyn,NSW - 2065,NSW,2065,True,2025-05-20,20 May 2025,5.0,,No issues. All went well. Pleasant tradesman and a professional job done,5.0,5.0,5.0,5.0,7kW,"$6,000 to $8,000",Aiko Solar,SolarEdge,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
133516,Robert,NSW - 2229,NSW,2229,True,2025-05-17,17 May 2025,5.0,,"10 out of 10 for everything. Bare Energy may not have been our cheapest quote but in every aspect from quoting, to explanations, installation and customer service they were excellent. They looked after everything. Very hard to say where they could improve. Would definitely recommend them.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Trina,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
131767,Andrew,NSW - 2156,NSW,2156,True,2025-03-21,21 March 2025,4.75,,"We have been very happy with the service from Bare Energy.Our installation was complicated. It involved decommisssioning and removing an old solar system and old pool solar system. Also our roof was very difficult, steep with terracotta tiles and lots of small areas. Many other installers put it in the too hard basket.Bare energy guided us through the process, and gave us many options to consider. Once we settled on a solution and agreed on a quote, we received frequent updates as we headed towards installation. The installation went very smoothly, the crew were very polite, neat and tidy, and kept us ifnormed of the progress.We are very happy with the final result, and looking forward to smaller power bills!",4.0,5.0,5.0,5.0,15kW,"More than $20,000",,SolarEdge,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png'],0,0
131760,Chris,NSW - 2077,NSW,2077,True,2025-03-21,21 March 2025,5.0,,Bare Energy has been a pleasure to deal with from the first contact to the completion of the project.We are extremely pleased with the quality of the system and looking forward to enjoying its benefits for years to come.The whole team has been amazing to work with.We will certainly recommend Bare Energy to anyone considering solar solutions.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
130505,Matthew,NSW - 2019,NSW,2019,True,2025-02-07,07 February 2025,1.0,,"Great sales process, except after being assured they don't need to view the site, they reviewed a photo and satellite of our home. Told the salesperson, and he was good with the site and said to go ahead.Come a little while later, after paying and declining other quotes, on *installation day* they said the house is too tall to do the work safely and cancelled!!Super unprofessional, super disgusting the way they've handled this process.Do not use, do not trust. If they get this basic wrong, what else will they stuff up?!",1.0,,0,1.0,7kW,"$8,000 to $10,000",,,,,,,False,[],0,0
129373,Paul,NSW - 2567,NSW,2567,True,2024-12-28,28 December 2024,4.75,,"They made a lot of effort to design a system that suited my requirements, utilising and supplementing my existing solar panels with additional ones and a new inverter and battery. We went through many possible combinations and possibilities. Ashlee was very helpful and made excellent suggestions.The installation went smoothly. The guys arrived at the expected time (8.30 am) and worked hard all day. They were polite, friendly and patient when showing me how it all worked. They cleaned up at the end, leaving no mess behind.I have heard from my electricity provider that they will need to update the meter. As the battery was installed just before Christmas, they anticipate getting it done in a few weeks.",4.0,5.0,5.0,5.0,3kW,"$12,500 to $15,000",Jinko Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/3eced781bbf61c632cb89e22bc3e5dc80.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/44c503c49cecd30c38402de5f8e344271.jpeg']",0,0
129361,Enrique,NSW - 2207,NSW,2207,True,2024-12-27,27 December 2024,4.75,,Josh was very patient explaining the quote and how everything would work. The installers did a great job and everything works as designed. I went with Bare Energy because they gave me the confidence they’ll stick around to support the system. No regrets.,4.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
129340,Ralph,NSW - 2146,NSW,2146,True,2024-12-27,27 December 2024,4.75,,"Bare energy were excellent during quote, planning and installation.Got SolarEdge inverter, 21 panels, 9.7KW battery and heat pump water system all installed over 2 days.Some changing of placement of panels and battery on the day, but all well communicated and discussed on the day.Excellent crew for installation, very polite and left site tidy at the end of install.Love the Solar Edge app to keep an eye on production and consumption.Team very responsive to a few queries post installation.",5.0,5.0,4.0,5.0,10kW,"More than $20,000",Aiko Solar,SolarEdge,SolarEdge,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solaredge.png']",0,0
129243,Greg,NSW - 2069,NSW,2069,True,2024-12-22,22 December 2024,3.75,,The sales person was great to deal with and it really helped he was an electrician so knew what he was talking about. The only hiccup was I have two existing SoleEdge inverters and was told the older one would be eligible for an upgrade. This was incorrect and in fact it was the newer inverter which was upgraded. This could have been checked and confirmed during the quoting process.I was also disappointed when I had booked in the install so worked out a day off work for this only to be told on the day there was a mistake and they couldn’t make it out so had to rebook another day.Some wiring was incorrectly done on the install day so someone had to come out two more times for it to get up and all running correctly but got there in the end.,4.0,5.0,2.0,4.0,,"$8,000 to $10,000",,,SolarEdge,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_solaredge.png'],0,0
