review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,inverter_rating,has_images,image_urls,overall_rating,quality_rating
80855,Brian,QLD - 4551,QLD,4551,True,2020-08-27,27 August 2020,1.0,,Dud.,1.0,1.0,1.0,1.0,6kW,"$6,000 to $10,000",,Zeversolar,,1.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_zeversolar.png'],0,0
68639,Karren,QLD - 4209,QLD,4209,True,2019-09-23,23 September 2019,1.0,,Installer was great to get the business once this was done nothing but rude and arrogant.   Had installation in May and he still has not sent the paperwork into Energex.  DO NOT PAY the man until he has done this.  I wished I had never done business with him.,1.0,1.0,1.0,1.0,1.5kW,"$2,000 to $4,000",,,,3.0,False,[],0,0
61861,BOB,NSW - 2471,NSW,2471,True,2019-03-28,28 March 2019,2.75,,"One year ago the system was installed by Baseline Energy was inspected by Aus. Govt. clean energy regulator , I received a four page report with an overall assessment of : SUB STANDARD . WATER INGRESS PREVENTION WAS NOT CARRIED OUT ON THE iSOLATOR / JUNCTION BOX  ; AND THEY ARE INSTALLED ON COMBUSTIBLE MATERIAL ; AND MANY MORE PROBLEMS EIGHTEEN IN ALL AND MOST CREATE DANGER TO OUR HOME OR INJURY TO PERSONNEL. All efforts to contact Baseline Energy to have the system faults corrected have failed . Yep and I paid cash . FLY BY NIGHTERS??",3.0,3.0,2.0,3.0,5kW,"$3,000 to $6,000",,,,,False,[],0,0
56853,Danisl,QLD - 4306,QLD,4306,True,2018-12-08,08 December 2018,1.0,,"Everything was going well when Brendan Eldridge installed our solar panels then we found out a week later that heâ€™d not sent the paperwork through to Energex so our system wasnâ€™t connected to the grid. Fast forward 2 months and Brendan has gone to ground (again from the research Iâ€™ve now done). He doesnâ€™t answer calls or messages or emails. We got another electrician in to see if we can get it hooked up and paperwork in to Energex only to find out that Brendan hadn't earthed the system which we are told is a massive safety issue. Weâ€™re now in the process of lodging complaints to ESO and consumer affairs. When I did receive a response from Brendan Eldridge, it was a personal threat in text - a warning to all, do not use this man or any company heâ€™s attached to.",1.0,1.0,1.0,1.0,6kW,"$6,000 to $10,000",,,,,False,[],0,0
53017,Roz,NSW - 2481,NSW,2481,True,2018-09-20,20 September 2018,2.0,,We thought our solar was all hooked up only to find 3 months later when we received the bill our electricity company had not completed to paperwork. Many phone calls later to Brendan both by myself and husband with the promise the paper work had been done and sent we had no resolve. Brendan ignored our calls and requests. We paid another electrician to complete the paperwork 5 months later after back and forth the electricity company. Now 9 months down the track and 3 visits by Origin we MAY get this completed next week. A complete balls up by Baseline and Origin!!,3.0,3.0,1.0,1.0,4kW,"$6,000 to $10,000",,,,,False,[],0,0
52573,Brownie,QLD - 4165,QLD,4165,True,2018-09-12,12 September 2018,1.0,,"There is no after sales service from Brendon, i say this, because he left a hole in my roof, that i discovered by accident,When i rang him, he said he would comeback the next day and sort it, the next day and a lot of days after that he did not answer or return my calls, i fixed the hole myself in the end, his workers also screwed through the valley of the corrugated iron ,to the layman, this is the low point in the iron where the water runs, the screw hole will eventually rust and leak, ask any plumber, they will confirm,  we had the smart meter fitted the other day, energex told us that he should have fitted a seperate set of fuses on the switchboard as part of the job, this was not done, i will be talking to energex tomorrow about this.  Like Anon we were promised a certificate of guarantee and a booklet on the inverter once payment was made, no sign of this, even after texting him, and receiving no reply.  It is also funny that the sales rep was going to send me some info/specs on the panels and inverter, but also never arrived, ( i had forgotten about that )  he also leaves no card or contact number, dodgy, now i think about it.BUYERS BEWARE, THE SUPPLIER OF THE SOLAX INVERTERS IN MELBOURNE WAS CONTACTED BY MYSELF, AND SENT ME AN OPERATIONS MANUAL OF SORT, ONLINE, BUT WHEN ASKED WEATHER HE WOULD HONOUR A WARRANTY CLAIM, HE WOULD NOT REPLY BACK,  SO IF THIS UNIT FAILS WHICH IT PROBABLY WILL CONSIDERING THE LACK OF AFTER SALES SERVICE CULTURE THAT EXISTS IN THE ELECTRICIANS  COMPANY , I WILL BE SCRATCHING MY HEAD AS TO WHAT TO DO.If you happen to read this review Brendon, i am happy to meet and defend the factual statement above,  be a man and get in touch.",0,,1.0,1.0,More than 6kW,"$3,000 to $6,000",,,,,False,[],0,0
50968,Anon,QLD - 4113,QLD,4113,True,2018-08-07,07 August 2018,1.5,,"Baseline took two months to complete the application to Energex. I also didn't get any certificate of warranty. The boss Brendan doesn't reply to calls, emails nor text message when I ask for my certificate of warranty. Very BAD BAD BAD after sale service!!!!!!!!!!!",1.0,2.0,2.0,1.0,1kW,Under $3000,,,,,False,[],0,0
47963,Karen,QLD - 4216,QLD,4216,True,2018-05-18,18 May 2018,5.0,,"They were so helpful explaining everything so I could understand. It looks very nice and best of all, I don't have an electricity bill to pay anymore!!I'm so happy I chose Baseline Energy",5.0,5.0,5.0,5.0,6kW,"$3,000 to $6,000",,,,,False,[],0,0
47926,Jarrod,QLD - 4216,QLD,4216,True,2018-05-17,17 May 2018,5.0,,"No more surprise bills!Great quality install, products and customer service. It looks great, I couldn't be happier!",5.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,False,[],0,0
46912,Graham,NSW - 2456,NSW,2456,True,2018-04-23,23 April 2018,2.0,,After installation my inverter started to malfunction and after 5 weeks of my completes it still not fixed bad after sales service,2.0,2.0,3.0,1.0,5kW,"$3,000 to $6,000",,,,,False,[],0,0
