review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
129348,Steve,SA - 5095,SA,5095,True,2025-10-23,23 October 2025,5.0,,Battery Solar Solutions provided an excellent combination of components and advice at a good price. The install was straight forward and completed in the agreed time frame. Everything works as expected.,5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",LONGi Solar,Alpha Technologies,Alpha-ESS,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_alpha-technologies.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png']",0,0
132287,Antony,SA - 5084,SA,5084,True,2025-04-08,08 April 2025,5.0,,"Sales & quoting was spot onInstall was quick, polite & tidy.They organised the flexible feed in tariffs & other paperwork with my electricity supplier.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Jinko Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/62cb2b5b3e68ef1052500396243a2c610.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9ae6fe14deed657a6f377060a024221a1.jpeg']",0,0
119431,Geoffrey,SA - 5127,SA,5127,True,2024-02-20,20 February 2024,3.5,,"Solar panels worked OK on installation, then inverter panel connections burn out, now having to wait months for another panel from the Battery Solar Solutions supplier (most probably from China) meanwhile nothing is working, would be great if there was more communication from Solar Solutions",3.0,3.0,5.0,3.0,8kW,"$4,000 to $6,000",,,,,,,False,[],0,0
117921,David,SA - 5109,SA,5109,True,2023-12-26,26 December 2023,5.0,,"Everyone associated with Battery Solar Solutions that we dealt with, was really good. The boss, admin, and installers were all very punctual and helpful.Pretty happy so far with the unit. Just completed our first quarter of bill with Origin. 3 months (Spring), one house, and now a new PHEV = $41.Only thing I wish we'd done was go for a slightly larger battery. But since planning we added the PHEV to the household, so that's on us.",5.0,5.0,5.0,5.0,7kW,,Risen,Alpha Technologies,Alpha-ESS,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_alpha-technologies.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/02f064bba249f77d4b5136c05886a5520.jpg']",0,0
92591,Stephen,SA - 5113,SA,5113,True,2022-04-30,30 April 2022,5.0,,Quote was and started  great install great arrived ontime and started producing straight away,5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Trina,Goodwe,Alpha-ESS,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
97970,Casie,SA - 5412,SA,5412,True,2022-02-20,20 February 2022,5.0,,"We have used Craig at Battery Solar Solution for 2 of our houses and we cannot recommend them enough, all the workers and Craig go above and beyond. The price and workmanship is fantasticSupport small business",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",,,,,,,False,[],0,0
77937,Rudyard,SA - 5114,SA,5114,True,2020-06-19,19 June 2020,5.0,,"Battery Solar Solutuons is one of the best companies we ever had to deal with.From our first enquiry, the communication is very prompt and professional. Sonia responded very quickly and answered all our questions without having to follow them up. We wanted a different inverter from the system they offered to us and they changed the work order with no issues. They provided us the most economical quote for a system without sacrificing quality.They called us to inform us of the installation date and the installation crew arrived on the day within the time frame I was told. The crew are no different from the sales team,  very professional and cleaned up after the job is completed. The lead installer took the time to explain everything to us and answered all our questions before leaving.Right after the crew left,  paperwork and relevant documentations are already in my email inbox waiting for us to go through them.We are very happy with the service and the products they have provided. Now we are just waiting for our  meter to be changed over so we can start reaping the benefits of our solar system. Battery Solar Solutions give us the confidence that we can rely on their team if ever any issue arise in the future. We have recommended them to a friend who already signed up and will definitely recommend them to family and friends.  Thank you and keep up the good work.",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Seraphim,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
77888,Dimsy,SA - 5074,SA,5074,True,2020-06-18,18 June 2020,4.25,,Best quotation and for a CEC Approved retailer. Installation was done 2 Weeks after we sign the contract. The installer arrive 8am and finish the job by 2pm. So far so good and i have not encounter any problem yet.,5.0,4.0,4.0,4.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
68745,Jayne,SA - 5041,SA,5041,True,2020-05-25,25 May 2020,4.75,,So far the company has been excellent to deal with and have organised and kept me informed of the whole process. My selection of company was based on their excellent reviews and they were able to meet our budget with products that fell on the budget end of your recommendations. For example we chose a Greenwe inverter when we would have chosen a Fronius if it came within the amount that we had allowed. This was based on the fact we may only be in this house for a few more years. Thanks for your helpful site- it gave me a lot of useful information when I was researching what was still a big investment for us.,5.0,4.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Canadian Solar Inc,Power Master Technology,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_power-master-technology.png']",0,0
74063,Mike,SA - 5251,SA,5251,True,2020-03-04,04 March 2020,5.0,,"They beat all other quotes for the same product. 5kw Fronius inverter 6.6kw tier 1 panels. Jason was great. Arrived on site on time, was great throughout the install. Clean, neat and tidy. Was instantly producing 5kw as soon as the system was turned on. I followed up with them to get a password for the smart meter setup and they replied within minutes. Only had the system in for a week but great all round so far.",5.0,5.0,5.0,5.0,6.6kW,,Seraphim,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
