review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
105637,Michael,SA - 5041,SA,5041,True,2022-11-23,23 November 2022,5.0,,"From quote to install was around a week, amazing customer service, very thorough and efficient, cannot recommend Tony highly enough.The installers were very professional,  cleaned and tidied afterwards, no fuss, just worked hard to get the job done.Very happy with the entire process, glad I chose this company, it could not have gone any better! A big thank you to Tony and his team!",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Risen,Goodwe,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d8a3f230fe911632628e207e7185b5aa0.jpg']",0,0
32751,Anon,SA - 5066,SA,5066,True,2017-08-18,18 August 2017,4.0,,This company had installed our neighbours solar only about 6 weeks before.   The salesperson is a close friend of our neighbour. We had 15 monocrystalline panels and a Sunnyboy inverter. $5000.00,4.0,4.0,4.0,0,4kW,"$3,000 to $6,000",CSUN,SMA,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_csun.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
23199,Tony,SA - 5031,SA,5031,True,2014-07-22,22 July 2014,2.0,,"Installed in Nov 2012. The installers were very rough (damaged the roof and guttering and left components behind), unreliable and the communication with Blu Sky and, ultimately, to me was appalling. As I write this (July 2014) the inverter is showing an error message and I may have to replace it for the fifth time.This would have to rate as the worst, most sustained, consumer experience I've had. I cannot explain why the company has such a good reputation here. I hope I can get warranty work through a different installer/supplier.",3.0,3.0,1.0,1.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
12074,Margaret,SA - 5171,SA,5171,True,2014-05-21,21 May 2014,4.5,,"Nick was very helpful - explained everything thoroughly. Couldn't have asked for better service.We are very pleased to have the Solar Panels and Inverter installed and see it working - our electrical meter is now going backwards!! Now all we need is for ETSA to install the import/export meter and we are in business!We were very pleased with the efficient manner in which the two young men, Wayne & Dmitry, from RTC Electrical, carried out the installation.We are very happy so far - just waiting for ETSA.",4.0,4.0,5.0,5.0,1.5kW,Under $3000,ET Solar,Samil Power,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_et-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_samil-power.png']",0,0
12422,Peter,SA - 5169,SA,5169,True,2014-05-21,21 May 2014,4.5,,"It was ""pain free"" with all applications etc. handled for us. The process from acceptance of quote to change of meter by ETSA was very quick. The sales rep, installers etc. were very obliging and kept us informed in a most professional way. We are glad we used the Solar Quotes site.",4.0,4.0,5.0,5.0,1.5kW,Under $3000,ET Solar,Samil Power,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_et-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_samil-power.png']",0,0
12398,Max,SA - 5010,SA,5010,True,2014-05-20,20 May 2014,4.33,,"I was very happy with their representative, answered all my questions and spent quiet a time doing so. He inspected the roof, took photos of the ETSA power meter. because my roof is not that big he suggested 250 watt monocrystalline panels (6) and I was able to change the inverter to a Sunny Boy.BLU SKY Make all the necessary arrangements, certificates change of ETSA meter etc. they also spent the most time making sure I was comfortable with the purchase.",4.0,4.0,0,5.0,1.5kW,Under $3000,ET Solar,SMA,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_et-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
11338,Janos,SA - 5038,SA,5038,True,2014-05-14,14 May 2014,5.0,,"Nick from BluskySolar was fantastic all the way through, no question and no system information change or configuration was too hard, and what impressed me the most was the fact I received a change confirmation and price adjustment in writing each time..And this was even before I made a commitment to purchase!!!With the decision made I contacted Nick and made a time to call and finalise the paperwork. At the time I was told that RTC electrical will contact me directly after they come back to work in the new year on or about Jan 9. I thought to myself sure !!!!  more like end Jan !!  Happy to say I was very wrong.On January 10th  I receive a call from RTC  stating they can come and  install the system on the 13th , after pressing a few panic buttons we agreed on the day and the install crew arrived early morning. They install crew were fantastic !!   Nothing was too hard !! They were quick, clean, and very efficient. I was given a full run down on the system and its operation before they left. As the inverter was going in the laundry next to my meter I was concerned about the looks etc, I had nothing to worry about !!! The install is a work of artÃ¢â‚¬Â¦The same afternoon I received an email from BluskySolar advising the approval numbers and meter change over booking date with ETSA, no more to do just sit wait for the day.A 3kw system mounted on a purpose built platform with 10 ET 300W panels a Samilpower 3480 inverter has so far been producing far in excess of its stated average.Thank you, Solar Quotes, BluskySolar and RTC Electrical for a hassle and pain free experience..I have no hesitation in recommending Bluskysolar to anyone who is considering a solar power system purchase.",5.0,5.0,5.0,5.0,3kW,"$6,000 to $10,000",ET Solar,Samil Power,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_et-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_samil-power.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/p18nt4uvglrfs1kj41mfe5po147r1.JPG']",0,0
22598,Nathan,SA - 5343,SA,5343,True,2014-04-28,28 April 2014,5.0,,We found Paul from Blu Sky Solar very genuine with his advice & follow up service.  He was a real gentleman & a man who stuck by his word.  We would highly recommend this solar company above all others because of their high standards not only in their installation but also their business ethics.,5.0,5.0,5.0,5.0,More than 6kW,"More than $20,000",,,,,,False,[],0,0
22534,Phil,SA - 5110,SA,5110,True,2014-04-23,23 April 2014,5.0,,Great service!Easy to talk to!Gave you options and they didn't talk you in to anything!Did all the work for you!Very quick!Great work :) !!!!,5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
22377,Sarah,SA - 5097,SA,5097,True,2014-04-10,10 April 2014,5.0,,"Would highly recommend anyone to go through this company. Had no hassles from the word go, everything was organised and ran on time and fitted right into the budget. Excellent company.",5.0,5.0,5.0,5.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
