review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
120676,Gabriel,NSW - 2777,NSW,2777,True,2024-03-26,26 March 2024,4.75,,Great professional service with high quality components. Came out to inspect the house prior to installation and happy to answer any questions before and during installation.,4.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",SunPower,SMA,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
102144,Grahame,NSW - 2782,NSW,2782,True,2022-08-04,04 August 2022,5.0,,"Blue Mountains Solar provided a very informative seminar detailing everything you needed to know to make an informed choice. They carried out an on-site visit and discussed options. They gave a very detailed and informative quote in a booklet. Their pricing was comparable to other companies that were consulted. They were not the cheapest, nor the most expensive. The quotes provided through Solar Quotes were helpful.The installation was carried out promptly, tidily, and professionally. The after sales service has been excellent. Blue Mountains Solar has been trading locally for over 12 years and have a great reputation. The quality of their work and after sales service is their best advertising.I recommend them very highly and I also recommend Solar Quotes very highly.",5.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",SunPower,SMA,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b1d009bef237625fa34e59ca5b4e216c0.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/31c5b9b80f6741d8fdcf6b3ad9af36421.jpeg']",0,0
88023,Roberta,NSW - 2780,NSW,2780,True,2021-11-21,21 November 2021,5.0,,"Visited site, listened to my questions and answered in a friendly fashion.System was installed efficiently and on timed neatly.The small problem I had with system reporting was attended to promptly.",5.0,5.0,5.0,5.0,6kW,"$8,000 to $10,000",SunPower,SMA,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
86342,Jeff,NSW - 2795,NSW,2795,True,2021-02-02,02 February 2021,5.0,,"I was very impressed with the level of service from first point of contact through to answering questions during  waiting for the install.On the day of Install, Damien and his crew were punctual , friendly and remained professional during the install .I was also impressed with the high quality of their work.Damien also assisted me with setting up the phone  app and explained how to use the app as well as well .I showed Damien my recent power bill and and asked him a few questions  about approximate projected savings  estimates  for future bills , which he explained in great detail.Damien was very patient in answering my questions.I would highly recommend the team from Blue Mountains Solar for your install.JeffWindradyne",5.0,5.0,5.0,5.0,6.6kW,"$10,000 to $12,500",SunPower,SMA,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/bc70608f1408be986bed774de4c1a6890.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/ac2beea8c1eadf2e271dca45cbf832a31.jpeg']",0,0
66568,Diane,NSW - 2795,NSW,2795,True,2020-03-17,17 March 2020,4.75,,Damian and his team did an excellent job.I am well satisfied.Now I just have to wait for Origin Energy to change the meter so I can be credited for the power I'm exporting to the grid!,4.0,5.0,5.0,5.0,6.6kW,"$6,000 to $10,000",SunPower,SMA,,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
74529,Frank,NSW - 2782,NSW,2782,True,2020-03-16,16 March 2020,5.0,,Another company  and Blue Mountains Solar presented clear and precise information about their quotes. They took time to answer all my questions. I chose Blue Mountains Solar because they offered the Sunpower panels. The installation began on time. The installers were extremely polite and tidy. After the install they organised the grid connection. They explained how the the monitoring system works and ensured it was operational before they left. Very impressed.,5.0,5.0,5.0,5.0,3kW,"$6,000 to $8,000",SunPower,SMA,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
56099,Margaret,NSW - 2774,NSW,2774,True,2018-11-22,22 November 2018,4.75,,"Great service, didnâ€™t try to upsell in fact  talked me out of a battery ( 5 years ago). Had done homework prior to visit and could discuss my personal needs looking at electricity bill and asking questions about lifestyle",4.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
41203,Renee,NSW - 2779,NSW,2779,True,2018-08-05,05 August 2018,4.75,,We are getting the solar on the 13/12/2017.,5.0,4.0,5.0,5.0,More than 6kW,"$15,000 to $20,000",SunPower,SMA,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/b3f649cf5efb7c848de89b48e63e21f4.png']",0,0
47991,Michael,NSW - 2780,NSW,2780,True,2018-05-19,19 May 2018,4.75,,"Blue Mountains Solar, 4 kW solar install in September 2017 in Katoomba NSW. Damian and his 2 co-workers/installers arrived on time, early morning, and completed the whole solar installation before noon, with minimal noise, no disruption to us (apart from turning power off and on a few times), and placement of panels on 2 different areas of our roof. Damian made sure everything was working AOK. He returned a number of times, without us asking, as he monitors our system via his workplace, to tweak the system. The inverter was turning on and off in the mornings and a fault in the earth/ground somewhere was showing up, Damian traced the fault to a rusty earth/ground rod connection we had installed about 10 years earlier, he cleaned and repaired it, and have had no problems since. Excellent service, excellent install, we highly recommend Blue Mountains Solar.",4.0,5.0,5.0,5.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
37022,Edward,NSW - 2782,NSW,2782,True,2018-03-31,31 March 2018,4.67,,"Good, no nonsense advice.",4.0,5.0,0,5.0,5kW,"$10,000 to $15,000",SunPower,SMA,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
