review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
23113,Ian,NSW - 2830,NSW,2830,True,2014-07-07,07 July 2014,4.75,,,5.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
11567,Marion,NSW - 2580,NSW,2580,True,2014-05-18,18 May 2014,5.0,,"The sales person contacted me very quickly after I made an on-line inquiry. He sent details and a quote the same day via email. He was available by phone and email promptly even on weekends and public holidays. Used Google Earth to verify suitable roof aspect and space. Very knowledgeable, gave good advice without being pushy at all. From accepting the quote and paying a deposit to fully installed and operational was only 10 days, a real feat considering this took place over New Year and early January.The installers were a team of 3 qualified electricians/solar installers, did a very good job and left no mess at all. They tested the installation and were done in less than 4 hours. The level 4 electrician returned 3 days later (once they received our new meter) to install the meter and hook us up to the grid.",5.0,5.0,5.0,5.0,5kW,"$10,000 to $15,000",SOLON BLUE 220/16-220Wp (Other),Fimer,,5.0,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
8663,Ramon,ACT - 2605,ACT,2605,True,2012-12-15,15 December 2012,4.25,,We are very happy with the way the process developed from beginning to end.We appreciated the fact that CBD warned us that the final connection to the grid has to be approved and done by the ACT government and ACTEW/AGL and that at the moment that process was taking 6 weeks or more.,4.0,4.0,4.0,5.0,1.5kW,"$6,000 to $10,000",SOLON Energy GmbH,Fimer,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png'],0,0
15766,Dave,QLD - 4051,QLD,4051,True,2012-09-18,18 September 2012,5.0,,"We had a fantastic run with CBD Solar. They gave us a very competitive price of $3999 for a 3kW system. They lodged all the paperwork correctly in a timely manner. They gave us one install date and stuck to it. Their installation contractor was polite, competent and performed a great installation. The system performs as advertised and we are currently waiting on Energex to install the smart meter. They invoiced us fairly and did not expect, (unlike some others) most of the money up front. In fact we only have to pay the last $400 once the meter has been installed. I have recommended CBD Solar to others and would go straight to them again for our next solar installation job. For reference I am an Electrical/Instrument Technician by trade and currently work as a Strategic Procurement Manager.",5.0,5.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
9566,Wendi,ACT - 2617,ACT,2617,True,2012-09-12,12 September 2012,3.25,,The solar panels are made in Germany and the inverter is made in Italy and these are the reasons I purchased via CBD Solar.  I did not want to buy anthing that was made in China due to quality control issues in this country. The panels were installed within 3 weeks of paying a deposit and the system was connected to the electricity grid within 7 weeks of the solar panels being installed.  The installation did not pass the initial inspection that is undertaken by the ACT government and CBD Solar failed to follow up service on the installation issues being resolved by the installer.  The customer had to repeatedly follow up with CBD about the outstanding issues that needed to be resolved with how the system was installed so that it could be connected to the elecrticity grid.,4.0,5.0,2.0,2.0,1.5kW,"$3,000 to $6,000",SOLON Energy GmbH,Don't know (Other),,5.0,4.0,False,[],0,0
14945,Peter,NSW - 2200,NSW,2200,True,2012-07-25,25 July 2012,2.5,,"I would never use CBD Solar again, nor would I recommend them to anyone.They did not reveal to me that they would be using a 3rd party installer.The 3rd Party installer they used was absolutely shocking...was rude and did not offer any assistance whatsoever.I contacted CBD Solar with my concerns, but once I had paid the money, I never heard anything back from them.This has been a very bad and disappointing experience for me, and has left a very bad taste in my mouth.As I said, I will absolutely never, under any circumstances, ever use, or recommend, CBD Solar again.",3.0,4.0,2.0,1.0,2kW,Under $3000,,,,,,False,[],0,0
14938,Anon,NSW - 2540,NSW,2540,True,2012-07-25,25 July 2012,5.0,,Only one person replied from your website and that was 2 weeks after I requested a quote. Never heard from anyone else. We went with CBD Solar as they called us back the next morning and had the system installed in a week.,5.0,5.0,5.0,5.0,6kW,"$3,000 to $6,000",,,,,,False,[],0,0
11637,Anon,VIC - 3178,VIC,3178,True,2012-03-02,02 March 2012,4.5,,,4.0,5.0,5.0,4.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
7449,Anon,ACT - 2612,ACT,2612,True,2011-05-20,20 May 2011,3.33,,Our system is not yet installed despite being told it would be supplied and installed in 4 weeks. They had no contact with us for 5 weeks since we placed the order and paid the deposit. After we followed up we received an email for the Project officer saying that the panels would arrive that week he would contact us this week to make arrangement for delivery and installation.  This has not happened.  It is so disappointing as they had started off with excellent help and service and the engineer who made the site inspection and explained the equipment and where it would be installed was excellent. He told us he had 2 of the inverters we wanted in stock and he would put one aside for us and assured us that the system would be installed before winter.  The way things are going this will not happen.,4.0,4.0,0,2.0,5kW,"$15,000 to $20,000",,,,,,False,[],0,0
4265,Philip,NSW - 2020,NSW,2020,True,2010-12-11,11 December 2010,4.75,,"Supplier was very personable, installation extremely efficient and the products are excellent!",4.0,5.0,5.0,5.0,3kW,"$10,000 to $15,000",,,,,,False,[],0,0
2780,Trevor,NSW - 2530,NSW,2530,True,2010-09-21,21 September 2010,,,"The system I purchased is a 2KW system, comprising 9 German made SOLON blue 230/07 panels.Also 1xSMA 2500 German made inverter. There is a 10 year product warranty. CBD Energy will also give a good discount for 6 or more clients which can be quite a saving depending on system chosen.This system cost $8,800 dollars plus the discount for other clients involved.",0,,0,0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
1724,David,NSW - 2550,NSW,2550,True,2010-07-15,15 July 2010,4.25,,,4.0,5.0,4.0,4.0,3kW,"$10,000 to $15,000",,,,,,False,[],0,0
