review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
126662,Helen,VIC - 3103,VIC,3103,True,2025-08-04,04 August 2025,4.25,,"CBR Solar & Electrical were very professional from the quoting to the installation.  The team arrived on time and the installation went smoothly. They were efficient, considerate and polite. Communication at all times was thorough, including organisation of the connection to the grid.I would have no hesitation in recommending them.",4.0,3.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Fronius,,4.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
128214,Mhairi,VIC - 3085,VIC,3085,True,2024-11-21,21 November 2024,5.0,,"We had a great experience from start to finish. They were responsive and had great communication. The quote was detailed and clear, and the whole process was very smooth. The team doing the installation were polite and professional, and did a really neat and tidy job. They showed me exactly how to operate the system and helped organise the grid connection very promptly. Very happy with the solar product and the installation.",5.0,5.0,5.0,5.0,9kW,"More than $20,000",,SolarEdge,SolarEdge,,5.0,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solaredge.png']",0,0
127627,Russell,VIC - 3032,VIC,3032,True,2024-11-04,04 November 2024,4.5,,"Installation scheduled for two weeks time so I'm commenting on contact to date.CBR were quick to make contact, were not at all pushy, explained the system patiently.Other companies (not part of Solar Quotes help) were too aggressive over the phone and had worryingly low battery prices.I'm hoping the Installation will be as positive as experience so far. Cannot rate installation yet.",4.0,5.0,4.0,5.0,6.6kW,"$15,000 to $20,000",Jinko Solar,SolarEdge,SolarEdge,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solaredge.png']",0,0
127476,Jo,VIC - 3121,VIC,3121,True,2024-10-31,31 October 2024,4.5,,CBR were fantastic. Honest and clear in their explanation of the process. Not at all pushy like some of the other companies we received quotes from. Very responsive and quick turn around from when we decided to use them and them installing our system. Highly recommend,4.0,4.0,5.0,5.0,10kW,"$8,000 to $10,000",,I don't know,,,,,False,[],0,0
126294,Geoff,VIC - 3757,VIC,3757,True,2024-09-25,25 September 2024,4.75,,"I felt Clint from CBR Solar was more matter-of-fact and straightforward than almost all the other solar sales people I spoke to, many of whom were very pushy and did not instill confidence in me. CBR's workers who installed the system were all exceptionally polite, patient with my questions, and helpful. CBR's customer service is excellent in all respects.",4.0,5.0,5.0,5.0,8kW,"$15,000 to $20,000",,SolarEdge,SolarEdge,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solaredge.png']",0,0
106272,Anthony,VIC - 3040,VIC,3040,True,2022-12-12,12 December 2022,4.75,,"Couldn't speak more highly of Clint and the team at CBR Solar & Electrical. Nothing was too much trouble - arrived on time, installed without fuss, and great service overall.",4.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",Canadian Solar Inc,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
105237,Brenton,VIC - 3225,VIC,3225,True,2022-11-09,09 November 2022,5.0,,"From the moment we engaged CBR Solar, we had nothing but a pleasant experience.The quality of the install exceeded all of our expectations.Such a professional and helpful company.Thanks CBR Solar.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4849136af397e5abcea52e0719fcada80.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/08ba5b98791a5ec114049385fbaa6b201.jpeg']",0,0
105146,Robyn,VIC - 3130,VIC,3130,True,2022-11-07,07 November 2022,5.0,,The team were professional from the onset of the process by providing a very comprehensive quote to completing the job within the timeframe specified. Everything was explained to me and nothing was too much trouble.Great customer service that included organising the grid connection after install.I would recommend them based on their price and  quality of workmanship.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
104733,Rick,VIC - 3040,VIC,3040,True,2022-10-24,24 October 2022,5.0,,Great service and advice and prompt and efficient instal process.,5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",Canadian Solar Inc,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
104620,David,VIC - 3037,VIC,3037,True,2022-10-19,19 October 2022,5.0,,Sales and quoting was excellent all issues clearly explained.Installation process was of a very high order all tradies very good to deal with any queries or matters raised were dealt with straight away. Job was started & finished within contractors timelinesCustomer service first class very helpful in dealing with grid connection and other matters which made it very easy for me.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
104546,Garry,VIC - 3037,VIC,3037,True,2022-10-18,18 October 2022,5.0,,"CBR Solar and Electrical Solutions were happy to talk us through the process and cost of installing solar. Their knowledge of the product was terrific, they answered  questions we had and provided us with all the necessary information in writing.The installation process was seamless. A  friendly, professional team who attended on time, were organized and proficiently completed the solar system. They walked us through the job they had completed, facilitated the network connection and the the projected savings they said we would get have been spot on. We are really pleased we chose to go with this company.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
104521,Wendy,VIC - 3730,VIC,3730,True,2022-10-17,17 October 2022,5.0,,Quote was given quickly.  The installation was completed promptly and site was tidied when finished.  Workers friendly and polite.  Any problems solved immediately.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,Fronius,Not applicable (Other),5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
104498,Allan,VIC - 3741,VIC,3741,True,2022-10-15,15 October 2022,5.0,,"Sales quoting process was good and preciseInstallation took a while but was neat, tidy and works wellThe company arranged all the required documentation with all the relevant authorities  - made life easy for us",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
103905,Claye,VIC - 3730,VIC,3730,True,2022-09-24,24 September 2022,5.0,,"Fantastic installer and quality product. The boys went above and beyond what was required to ensure we received a great product. Everything was done for us, all we had to do was watch how much money we saved on the app. Highly recommend them. Will definitely be using them again for future projects.Thanks, CBR!",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,Goodwe,I don't know,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/91eeb80fdc7f0edb0cca63ecce4dce1b0.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/bfb84eff83ddc562274e45e13572b7dd1.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c92e150cc1bc80ac05d96b883f58cdb22.jpeg']",0,0
103712,Kellie,VIC - 3737,VIC,3737,True,2022-09-18,18 September 2022,5.0,,"CBR supported me throughout the whole process from initial enquiry to installation.The install team on the day were on time, very knowledgeable answering all my questions and left the job clean and tidy.The team arranged all paperwork and submissions, it was a seamless process.",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Canadian Solar Inc,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/69a619786ad0e118956618f63ca4a1f90.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9d2668969a56f857a18454457a4268961.png']",0,0
103614,Leigh,VIC - 3749,VIC,3749,True,2022-09-14,14 September 2022,5.0,,"CBR work with you from the very start to the end of the project.  They quote, design, install and provide ongoing support.  They are incredibly knowledgeable and were able to provide a number of clever solutions to the install at our distillery.",5.0,5.0,5.0,5.0,30kW,"More than $20,000",Canadian Solar Inc,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
