review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
22470,SYLVIA,QLD - 4878,QLD,4878,True,2014-12-20,20 December 2014,3.5,,Michael and his crew did a great job and worked long and hard to get the job done.  Very nice people.,4.0,5.0,4.0,1.0,5kW,"$6,000 to $10,000",Jinko Solar,Goodwe,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
12414,Willem,QLD - 4878,QLD,4878,True,2014-05-25,25 May 2014,5.0,,The company used local tradies which was great and very efficient. Despite bad weather they got stuck in and did a good job.Would happily use the same company again.,5.0,5.0,5.0,5.0,1.5kW,Under $3000,German Solar,SMA,,5.0,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png'],0,0
22274,Steve,QLD - 4880,QLD,4880,True,2014-04-05,05 April 2014,4.0,,"Lots of jargon, need to sort the crap from the truth, overall happy with the purchase, install and performance.  Lack of instruction on the operation of the system, particularly a potentially serious system if things go wrong.  All new owners need to be instructed on how to isolate the system if need be!  I speak from experience.Don't know why a proper contract isn't used, i.e., Building Services Contract, like any other job around the house when value is above $3300.00.  Standard building services contract should apply.",4.0,4.0,4.0,4.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
19243,Anon,QLD - 4869,QLD,4869,True,2013-07-05,05 July 2013,4.25,,"Had to get a bit cranky to get the company to answer calls but after that they were very attentive, just waiting for them to come back and fit a couple of small problems and Ergon to connect then I am sure everything will be great.",5.0,4.0,4.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
18611,Jeanette,QLD - 4856,QLD,4856,True,2013-05-12,12 May 2013,4.0,,Installer was very efficient and did a very neat work.,4.0,,4.0,4.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
15411,Paul,QLD - 4854,QLD,4854,True,2012-08-22,22 August 2012,3.5,,,4.0,4.0,3.0,3.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
14558,John,QLD - 4870,QLD,4870,True,2012-07-07,07 July 2012,4.25,,,4.0,4.0,5.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
14267,Barry,QLD - 4865,QLD,4865,True,2012-06-26,26 June 2012,4.0,,"Dear Sir,One of the electricians who is employed with Cairns and Cape Electrical climbed into the atticto run some cabling put his foot or knee through the ceiling causing us to locate a Plastererto give us a quote to repair the damaged ceiling being $198.Cairns Value Solar were good enough to stand the cost of the repairs to the damaged ceiling.",4.0,4.0,4.0,4.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
13757,Duncan,QLD - 4877,QLD,4877,True,2012-06-12,12 June 2012,4.0,,"The Installer confirmed the sales pitch, that the gear was good quality. The system, in hindsight, could have been a bit better but so could many and I am only referring to a switch here or an isolator there. I am very happy with the product its price and the installation. Cairns Value Solar are not flashy but deliver what they say. Good Gear that was professionally installed by local-well regarded-installer.",4.0,4.0,5.0,3.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
12828,John,QLD - 4873,QLD,4873,True,2012-05-08,08 May 2012,3.75,,,4.0,4.0,3.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
