review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
137439,Kim,VIC - 3174,VIC,3174,True,2025-09-18,18 September 2025,1.0,,"Sound like a good deal, once you agreed with the quotation they ask for the deposit. Once the deposit done you will never heard from them again. I think the number they gave is fake as this was never sorted, save your money and never put down a deposit.",1.0,1.0,1.0,1.0,8kW,"$10,000 to $12,500",,,,,,,False,[],0,0
135737,Owen,NSW - 2151,NSW,2151,True,2025-07-31,31 July 2025,5.0,,Quotation was promptJohn- my principal contact was courteous and efficientQuestions were answered promptlyInstallation was ahead of the promised timeInstaller installed the App on my phone to allow me to check on how it was working,5.0,5.0,5.0,5.0,,"$2,000 to $4,000",,,,,,,False,[],0,0
135690,David,NSW - 2125,NSW,2125,True,2025-07-29,29 July 2025,4.5,,"Sales process - OK. Install - very tidy and well done, but took more than one day as also involved removal of old system.",5.0,4.0,5.0,4.0,6.6kW,"$4,000 to $6,000",Astronergy,Solis,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_astronergy.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
135638,Paul,NSW - 2234,NSW,2234,True,2025-07-27,27 July 2025,5.0,,Made contact with John at Captain Green Solar again after using their services 8 years ago when they installed my original 6.5kw solar panels which has performed without any issues. I made contact with John Smith at Captain Green Solar to see if they could add another 6.5kw solar array on the roof. John went above and beyond in providing me detailed and calculated outcomes on how the new system would work. The quote was structured and detailed on parts and explained all conditions with warranty. The 6.5kw solar panels were installed by a great team in a timely manner all certificate's signed all apps set up before leaving. As per Johns calculations my electricity production has increased my batteries are filling to 100% in winter all in all a great company to deal with. thanks John again for a terrific job,5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Jinko Solar,Growatt,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
135553,Richard,NSW - 2234,NSW,2234,True,2025-07-23,23 July 2025,5.0,,"From my initial contact with Daniel and his willingness to discuss what I wanted throughout the process and to ensure that it would work for me was first rate.Luke, who installed the batteries was a few minutes early, took the time to explain what he was doing and left the site exactly the same as he had found it.All the necessary work was done to ensure everything worked as soon as connected by Daniel and Luke got me onto the app so that I could see what was going on before he left.After the installation, Daniel contacted me again to ensure that everything went smoothly, very impressed alround.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",,,Bytewatt Neovolt,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_bytewatt.png'],0,0
135401,Tony,NSW - 2148,NSW,2148,True,2025-07-17,17 July 2025,5.0,,"Fantastic service from start to finish, would 100% recommend captain green for both solar and thank you for your great service ...5 stars thank you John for all your help with getting both my solar and batteries organised your help - it was much appreciated, keep up the good work.",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Astronergy,Solis,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_astronergy.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a776ac9a492de28625b09fd13b605a090.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d4b5293c98decc88db4ec69978536e161.jpeg']",0,0
135251,Stephen,NSW - 2745,NSW,2745,True,2025-07-11,11 July 2025,5.0,,"Great communication from John in sales, he arranged time and date for install. Tradesman turned up on time - fast install and very tidy when job completed. Very happy with process from start to finish, a very professional company.",5.0,5.0,5.0,5.0,,"$8,000 to $10,000",,,Bytewatt Neovolt,,,,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_bytewatt.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4abe37ba2c4458e318d0043a0b61e41b0.JPG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c9bae3d447fdc7f397ce6d29923ce4bc1.JPG']",0,0
134602,Tony,NSW - 2753,NSW,2753,True,2025-06-24,24 June 2025,2.5,,The installation process went well all things considered given a little more complicated with micro-inverters.System worked well with reporting - until it didn't.  No reporting for *3 years now*.  Initially Captain Green provided support but mainly referred me to Enphase. That support has gone no where and my e-mails are ignored.I'm *hoping* the system is still working. As I have a second solar system I'm not even sure of this.Time to chase up Enphase again as CG have been no help.,3.0,3.0,3.0,1.0,5kW,"$8,000 to $10,000",LG,Enphase,,5.0,3.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
133424,Christopher,NSW - 2745,NSW,2745,True,2025-05-14,14 May 2025,5.0,,"John from the sales Team was most helpful throughout the process. Installation went like clockwork, turned up on time, pleasure to deal with and left the area tidy as found.",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Jinko Solar,Growatt,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png']",0,0
132141,David,NSW - 2229,NSW,2229,True,2025-04-03,03 April 2025,5.0,,Got 3 quotes for our solar system and install and Captain Green were the cheapest quote. Daniel was very thorough on the phone and sent out our quote straight away. Very fast service.We had an existing old 1.5Kw system on the roof which needed to be removed. They came to install one week after I accepted the quote for the new 13Kw system.Install was easy and they had it all installed and connected within 5 hours.Great job and excellent customer service.,5.0,5.0,5.0,5.0,13kW,"$6,000 to $8,000",Jinko Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
130142,Jane,SA - 5159,SA,5159,True,2025-01-24,24 January 2025,5.0,,The customer service was really good. Daniel was very prompt to reply to my queries and updated me prior to installation and during stages of installation. It was very easy to reach him and get quick answers to my questions.,5.0,5.0,5.0,5.0,10kW,"$4,000 to $6,000",,,,,,,False,[],0,0
129250,Andrew,NSW - 2750,NSW,2750,True,2024-12-22,22 December 2024,5.0,,Harry from Captain Green set up an excellent installation and the new panels are three times more effective compared to the old ones.,5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",,,,,,,False,[],0,0
128476,Philip,NSW - 2701,NSW,2701,True,2024-11-28,28 November 2024,5.0,,"The Captain Green Solar salesman, Harry, made the process easy for our PV solar panels & batteries installation on our farm homestead roof 500km west of Sydney. Others companies were not interested.The process was seamless from start to finish. Highly recommended.",5.0,5.0,5.0,5.0,10kW,"More than $20,000",,,Alpha-ESS,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png'],0,0
127472,Sambo,VIC - 3043,VIC,3043,True,2024-10-31,31 October 2024,4.75,,Zack is very good. Organised the whole system to go through.  Very professional and good workmanship solar system. installers. Would recommend it for anyone wish to install the solar system.,5.0,5.0,4.0,5.0,13kW,"$6,000 to $8,000",Seraphim,Solis,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
124749,Bruce,WA - 6150,WA,6150,True,2024-08-07,07 August 2024,5.0,,"Great follow-up by Daniel, very professional and technically aware of my installation.",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",I don't know,SMA,Tesla Powerwall 2,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
124120,Roslyn,NSW - 2326,NSW,2326,True,2024-07-20,20 July 2024,5.0,,The quoting service was very good. Daniel Murphy was very helpful in all aspects. The customer service between Daniel and Mark was excellent and the installation went well except we had a hard time sourcing the right profile of tiles which was a bit of a pain but they were both very helpful and tried to do the right thing and installers seem to be pleasant and know their job.,5.0,5.0,5.0,5.0,8kW,"$4,000 to $6,000",Jinko Solar,I don't know,,,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png'],0,0
