review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
67593,Tony,WA - 6210,WA,6210,True,2019-08-20,20 August 2019,3.25,,"The first time the JFY inverter failed they fixed it quickly BUT now they are KAPUT, probably sunk by the cost of warranty replacements.",4.0,1.0,4.0,4.0,1.5kW,Under $3000,,JFY,,,1.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_jfy.png'],0,0
66499,Roseanne,WA - 6022,WA,6022,True,2019-07-24,24 July 2019,2.0,,DO NOT DEAL WITH THIS COMPANY,3.0,1.0,3.0,1.0,3kW,Under $3000,,JFY,,,1.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_jfy.png'],0,0
64384,Lawrie,WA - 6111,WA,6111,True,2019-05-24,24 May 2019,3.0,,Carbon Footie are no longer in business.,3.0,2.0,4.0,3.0,2kW,Under $3000,,JFY,,,2.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_jfy.png'],0,0
41997,Bill,WA - 6022,WA,6022,True,2017-12-19,19 December 2017,1.25,,I don't know how they are still in businessI had to pay another company to fix their poor workman ship and low quality equipmentThere are better company's in Perth,1.0,2.0,1.0,1.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
37730,Stephen,WA - 6030,WA,6030,True,2017-08-25,25 August 2017,2.0,,"I was informed by the reception (rude) that the sun will move and hit my panels??? been sunlight already for 3 hours no sun on panels my upper story covers the panels???. Spoke to Mr XXXX and informed me that it's down to the installer at the end of the day for best optimization of the system NOT JUST AN EASY FIT AND GO.So i am missing 50 hrs plus of sunlight each month because the installer deemed fitting them in the shade was the better option, because splitting the panels was basically not the way to optimize the system it better to have all the panels in the shade apparently so when the sun comes around for the next 7 hours its all good because the panels work together, I have loads of roof space on my second story were they should have been placed lazy installer.I informed the manager i had managed to generate a whole 900wts in 3 hours he replied ""SO WHAT"". Speaking to them and they try and talk you down all the time and unwilling to help the situation. I am having an independent company come in and re position the panels for optimization of my system. Shockingly poor customer care.FYI it's the earth that moves around the sun not the sun around the earth.(BASICS) LOOK at other customer reviews they are the same as mine good system just installed badly and inefficiently .",1.0,4.0,2.0,1.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
37287,Bradley,WA - 6064,WA,6064,True,2017-08-10,10 August 2017,4.0,,,4.0,4.0,4.0,4.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
35738,Mary,WA - 6152,WA,6152,True,2017-05-22,22 May 2017,2.0,,"I had the system installed in March 2016.  By April 2017 I was on my 7th inverter.  To be fair to Carbon Footie, they did keep replacing the inverters but it became obvious that they were unable to solve the issue.  They were clutching at straws in thinking it was voltage surges and offered to put in a surge protector for $900, then they reduced that price to $600, but I was not prepared to give them any more money.  Because I needed to get independent assessments (including Western Power) to check all the voltages, this has added another $450 to the cost of the system, plus I have lost money on power rebates due to the amount of time over the twelve months without a working system.  I feel I should have twigged when they said they could install it the next day, but sadly I did not trust my gut feeling.  I finally gave up in disgust and have employed Infinite Energy to rip out Carbon Footie's system and reinstall a better quality one for the same price.  They did not know what I had paid to Carbon Footie, so it was a genuine quote with higher quality components.",1.0,1.0,2.0,4.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
31544,Richard,WA - 6024,WA,6024,True,2017-05-02,02 May 2017,4.0,,"The experience with Carbon Footi was very good. Their representative was patient with us, listening to what we wanted and after going through the product, our past bills and our lifestyle, offered us a system that was smaller than what we wantedbut would fill our needs adequately.The installation was carried out by their electrical contractor. They went about their work with no disruptions. They took time to explain the system to us and how to switch the system on as soon as our new meter was installed.The system is working well piling up the kilowatts. I can't wait till summer when with the clear skies.",4.0,4.0,4.0,4.0,3kW,Under $3000,GCL-Poly Suzhou Energy Limited,Sungrow,,3.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
34210,Jim,WA - 6021,WA,6021,True,2017-03-09,09 March 2017,1.0,,"Do not, I repeat, do not use this company! They have zero care for customer problems. We have had nothing but issues with the system since we had it installed. And, now again the system has stopped working. When the company was contacted, we told, rather rudely, that the part that needs to be fixed would have to come from Queensland, and they don't know how long it would take to get to Perth. I didn't realise that we are still in the time of horse and buggy. Then we were informed we would have to pay a call out fee, even though the system is still under warranty. Finally, the day came that the inverter could be changed over, and the guy just informed us that it isn't the part they thought is wrong with it, and now we have to wait another week until someone can tell us what is wrong with this system. Please, just find another company.",1.0,1.0,1.0,1.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
33961,Anon,WA - 6064,WA,6064,True,2017-02-25,25 February 2017,1.0,,"1.  We have not been receiving much, if any value for the large system purchased from Carbon Footie as far as our electric bills are concerned - it has been over 3 years.2.  Shortly after installation of the Panels we were informed that some roof tiles were damaged.  Does not seem like a proper Roof Inspection was done by Carbon Footie prior to installation of their Panels, which is meant to be part of the process.3.  Carbon Footie quoted over $3,500 for their electrician to remove & refit the Solar Panels so repairs could be undertaken to the Roof Tiles, otherwise if we used anyone else they said their Warranty would be void.  Other licensed electricians quote between $500 - $1,000 to remove & refit the Panels!4.  Recently we saw a Fault reading on the Inverter (Suntree 5000TL), which is interpreted by the Manual that the Inverter is damaged.5.  Unable to get in Contact with anyone at Carbon Footie or their initial ""licensed"" Electrician - Jason.6.  How do we recover costs?  Where do we go for Warranty & after sales service?7.  Our conclusion - the Carbon Footie & its Affiliates were/are not helpful.",1.0,1.0,1.0,1.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
