review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139362,Bronwyn,QLD - 4817,QLD,4817,True,2025-11-04,04 November 2025,5.0,,Central Solar Service offer quality at a reasonable price. They answered all of my questions regarding the system promptly. They took all our old panels away and left the place clean and tidy. They organised all the connections and showed us how to use the app. I definitely recommend them.,5.0,5.0,5.0,5.0,15kW,"More than $20,000",Canadian Solar Inc,Sungrow,Sungrow,5.0,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
135093,Jamie,QLD - 4817,QLD,4817,True,2025-07-08,08 July 2025,5.0,,"Everything went smoothly from quoting to install, did what they said they would do and was a neat & tidy installation.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Canadian Solar Inc,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
129738,Deb,QLD - 4818,QLD,4818,True,2025-01-13,13 January 2025,5.0,,Central solar services were a great team. Worked under very hot conditions. Always on time and tidy.The after customer service was amazing nothing was a problem. Would highly recommend Brenton and his team.,5.0,5.0,5.0,5.0,13kW,,Phono,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_phono.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
126892,Narelle,QLD - 4811,QLD,4811,True,2024-10-14,14 October 2024,5.0,,"Very prompt quoting, answered any questions I had, punctual on the day of installation and explained  everything that I needed to know",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Canadian Solar Inc,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
125245,Mary,QLD - 4807,QLD,4807,True,2024-08-22,22 August 2024,5.0,,Such an easy process from quotes to final install. Contractors were responsive to our requests and everything is working better than expected so far.,5.0,5.0,5.0,5.0,6.6kW,"$15,000 to $20,000",Canadian Solar Inc,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
123785,Clive,QLD - 4819,QLD,4819,True,2024-07-09,09 July 2024,4.5,,The whole process with central solar was professional and efficient.,4.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
123150,Matthew,QLD - 4817,QLD,4817,True,2024-06-18,18 June 2024,5.0,,"Brentin was very responsive, helpful, knowledgeable and good to deal with. Central solar provided a good quality system at a better price than the other providers. Installation happened quickly. The company was well organised, the installers were knowledgeable, efficient, and approachable. Brentin was there at the beginning of the installation to ensure it all went smoothly. Installation took about 1.5 days. Output has been as expected.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Canadian Solar Inc,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/036c62a0c65c20c2ba321d16f1155d9d0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/453a83d27c2430889876ff25ca8da48e1.jpg']",0,0
120608,Jeremy,QLD - 4814,QLD,4814,True,2024-03-25,25 March 2024,5.0,,Quoting was easy. Installation was booked within 2 weeks after acceptance of the quote. No complaint.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
117674,Peter,QLD - 4812,QLD,4812,True,2023-12-17,17 December 2023,4.75,,The quoting process was factual and realistic. Installation went smoothly. Staff were more than helpful.,5.0,4.0,5.0,5.0,13kW,"$10,000 to $12,500",Canadian Solar Inc,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
117594,Tom,QLD - 4818,QLD,4818,True,2023-12-15,15 December 2023,5.0,,Brentin and his team were fantastic. He understood we just wanted something that suited our needs without the ridiculous sales pitch. His team rocked up on time and did a great job. Nothing was too hard for them and they took care of everything and even offered to get rid of our satellite dish. The panels and system look really good and we can clearly see what’s going on in the app.,5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Canadian Solar Inc,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/99f4da634567a97075a50cf98ff01a010.jpeg']",0,0
