review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
136958,Tim,VIC - 3162,VIC,3162,True,2025-09-08,08 September 2025,5.0,,I had these guys install a Sigenergy battery system for me. Good price and great service. We’re very responsive to my needs. They even did a great job cleaning up a messy solar install I had a few years ago from another provider. Great bunch.,5.0,5.0,5.0,5.0,,"$12,500 to $15,000",,,Sigenergy,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
135930,Roshan,VIC - 3134,VIC,3134,True,2025-08-07,07 August 2025,5.0,,"Michael and the team installed a 10kw solar system and battery at our home. Throughout the whole process, Michael was very supportive and helped weigh up our options - no pushy sales tactics. Highly recommend for anyone looking for a solid company to install their solar.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Jinko Solar,Sungrow,Sungrow,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
124148,Jared,VIC - 3116,VIC,3116,True,2024-07-22,22 July 2024,5.0,,"The process with Cerium was very straight forward with all queries answered without any pushy sales. Michael was excellent to deal with and his service was what ultimately pushed me to utilise Cerium over other providers.The installation team were punctual and polite, getting to work straight away with no issues. The installation as a whole was impeccable, although a second visit was required to adjust some protruding tiles and rectify an issue with a faulty smart meter.The grid connection was also organised via Cerium and my energy provide, making the whole process very smooth.Overall I am very happy with the service and quality of product by Michael and the team at Cerium and would highly recommend them to anyone else looking for energy upgrades.",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Jinko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
118543,Uzair,VIC - 3059,VIC,3059,True,2024-01-21,21 January 2024,5.0,,"Just want to say thanks to Michael at Cerium Energy, the bloke is extremely knowledgeable and knows his stuff. There were no pushy sales tactics just relevant information. They answered all the questions and took their time explaining things.The gents installing were excellent as well, Zack and his crew worked tirelessly on a cold wet day with a smile. Really happy with how the Job turned out.Inspector came in a few days and things are up and running.Would highly recommend Cerium Energy to anyone looking for quality installs and friendly advice and brilliant customer service.",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
117342,Ryan,VIC - 3023,VIC,3023,True,2023-12-08,08 December 2023,5.0,,"The guys at Cerium Energy did an awesome job installing a 13.2kW solar setup at my place. Michael was great to deal with throughout the whole process, he answered all of the questions and concerns I had, was very transparent and offered lots helpful advice.We eventually settled on the following setup, Sungrow SG10RS inverter, 30x Jinko 440w Tiger Neo panels and a Sungrow S100 Energy Meter. Peter did a fantastic job come install time, everything is neat/tidy and to a very high standard. They cleaned up when they were done and explained everything to me when testing out the system. The solar inspector that came out a few days even commented on the nice setup and how he never has any problems with Peter's work.I was a bit overwhelmed with solar business options going into this, but I'm very glad I went with Cerium. They were excellent to deal with and streamlined the whole process. We're very happy and look forward to many years of solar generation.",5.0,5.0,5.0,5.0,13kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8e5124ab08c57965acb17727ca73a4a70.JPG', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/0d2c23b4918107c11548c51573ea41361.jpg']",0,0
116066,Hyeon,VIC - 3136,VIC,3136,True,2023-10-30,30 October 2023,5.0,,"Solar panels were installed on 26/Oct/2023.Great installation experience.For after sales service, it is something to find out.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
110991,Rohit,VIC - 3754,VIC,3754,True,2023-05-28,28 May 2023,5.0,,I had a 10.25Kw solar panel system installed through Cerium Energy and let me just say that from start to finish it was the most easy/smooth/painless experience. I got connected to Matt who not only was knowledgeable about what system i should be going for but also suggested the REC panels which as we know are the best in the market. The installation was smooth and the work done was squeaky clean. I would whole-heartily recommend them.,5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",REC,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
107587,Elizabeth,VIC - 3015,VIC,3015,True,2023-01-24,24 January 2023,5.0,,"I was put onto Cerium by a relative after a discussion over dinner about installation of solar panels. I thought it was all too hard to install Solar panels with a busy busy life but it was easy. I got a quote, provided the info they requested and they submitted my information to check my eligibility. Whilst there was a delay with approval as I had provided the wrong rates document once that was rectified it was quick. The email updates, phone calls - every aspect of communication was spot on. The delivery, installation etc was smooth and I am loving adjusting my life based on using power when I am generating power. I wish I had done it earlier and Cerium made the process so easy.",5.0,5.0,5.0,5.0,5kW,"$2,000 to $4,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
94093,Robert,VIC - 3163,VIC,3163,True,2021-10-06,06 October 2021,4.5,,"The quoting process was very good. I asked for a quote and received it quickly however I wanted a larger system than the one quoted. Michael was very helpful in suggesting the best way to use the available roof space and choice of equipment.The installation was as scheduled, we had 4 team members to remove the old 1kW system and install the new 10kW system. It was all done in a day and all abided by the Covid rules.Customer service was excellent, we did have an issue with the system not passing inspection and Cerium were out to rectify matters the same day as the inspector came so great service there. The system was subsequently switched on and we have been very happy with the system performance. We have only been going a bit over a week but we are exceeding the estimated output even with mostly overcast weather.I would recommend Cerium to anyone looking for a custome focussed installation. Prices were excellent as well.",5.0,4.0,4.0,5.0,10kW,"$2,000 to $4,000",Seraphim,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
92246,Elie,VIC - 3058,VIC,3058,True,2021-08-11,11 August 2021,5.0,,"Michael and his team were great.Quoting was easy, advised me on the best system to suit my budget, gave me his best price from the beginning.Install was scheduled but he called me prior with an earlier install date as another date became available.Install was clean, neat and professional. They fitted a canopy over the inverter and replaced a few roof tiles that they broke, they also left a few spare tiles behind for me at no extra cost.I had trouble connecting to the app, Michael returned to help with connection.The process went without any issues, communication was great, always answered my calls, all of my requests were met without any hassle whatsoever.I would definitely recommend this installer.",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",LONGi Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
