review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140254,Kenneth,QLD - 4551,QLD,4551,True,2025-11-20,20 November 2025,5.0,,"From the moment we walked into the office we knew that we would be purchasing our Solar system through Circuit Alert. Martin ensured we were comfortable with the product choices and he talked to us, not at us as some do. Truly putting us at ease.It was never about our budget, it was abaout what we wanted to achieve by having solar, and how we could protect ourselves from loss of power. Circuit Alert had the options, they had the products, and with that, we could make an educated decision.Installation was truly quick and easy, and you would not have known they had come and gone. One moment we were on Mains power, the next we were on Solar. Even the conversion of the meter was taken care of Circuit Alert, and they ensured they were with you the entire step of the way. Great people, great customer service.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",LONGi Solar,SolaX Power,SolaX Power,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solax.png']",0,0
138110,Andrew,QLD - 4519,QLD,4519,True,2025-10-03,03 October 2025,5.0,,"Very happy with the whole process, from going out of their way to discuss options and quotes, through to final installation and follow up. Being for a rental property, the process was a little different to the norm, but Circuit Alert navigated everything for me, with no issues.The price of the whole system was exceptional as well!",5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",LONGi Solar,SolaX Power,SolaX Power,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solax.png']",0,0
138076,Wal,QLD - 4506,QLD,4506,True,2025-10-02,02 October 2025,5.0,,"From start to finish, my experience with Circuit Alert was nothing short of excellent. I am extremely happy with the choice we made. The entire team made everything incredibly easy, straightforward and seamless.Right from the first contact, the communication was clear, transparent, and professional. The team took the time to explain everything in detail—from the system that would best suit my requirements to handling all of the admin requirements with our energy supplier. They were always quick to respond to any questions and kept me updated throughout the entire process, making sure I felt informed every step of the way.The installation was smooth, efficient, and well-executed. The technicians were punctual, friendly, and clearly knowledgeable. They completed the entire installation within the timeframe promised, with no delays or issues. The system works flawlessly, and the setup looks neat and professional and makes best use of the space available.Value for money was also a key consideration. I received several quotes from other companies, but Circuit Alert offered the most competitive price without compromising on quality. They also provided excellent after-installation support, which really showed their commitment to customer satisfaction.The entire process was stress-free and has fully delivered all the benefits we were expecting. I highly recommend them to anyone considering solar PV or battery storage solution and would not hesitate to work with Circuit Alert again in the future.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",,,,,,,False,[],0,0
136969,Jeremy,QLD - 4122,QLD,4122,True,2025-09-08,08 September 2025,5.0,,"The circuit alert team have installed our solar panels, then more recently (with the subsidy) a battery. Mark and Lisa were always helpful in answering questions (before and after the job) and preparing multiple quotes while we decided on battery size. Installers were polite and gave plenty of information. Panels and battery have worked fine to date (touch wood). Very happy to recommend them.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",Axitec,SolaX Power,SolaX Power,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_axitec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solax.png']",0,0
135682,John,QLD - 4553,QLD,4553,True,2025-07-29,29 July 2025,5.0,,"The whole experience from the initial quote to commissioning of the system has been hassle free and throughly enjoyable. This is solely due to the totally professional manner of everyone we came in contact with. The level of communication and flow of information has been wonderful.Lisa and Martin were our first points of contact and were able to design and supply a system which best suited our needs while staying within our budget.The installation team of Lee and Justin were incredible with a high attention to detail and no shortcuts being taken anywhere. As you can see in the final system install photo a totally neat and clean arrangement, with the many wires and cables out of site within the conduit. The installation team were highly adaptable to address a number of challenges presented to them during the fit out.Additionally the installation team took their time to explain the new wiring and additional switch board configuration due to the three phase system, the shutdown procedure (if required) and the all important system registration and the setup of the system wifi monitoring using the dedicated app.",5.0,5.0,5.0,5.0,15kW,"$0 to $2,000",LONGi Solar,SolaX Power,SolaX Power,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solax.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/68646f7bec053ac080a816f21c47ce0a0.JPG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/0c6eea76edd43dddfd5730c18cdc190f1.JPG', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/888778e6441c4865a5222b66e1247d2f2.JPG']",0,0
118632,Paul,QLD - 4574,QLD,4574,True,2024-01-23,23 January 2024,4.75,,I went to Lisa and Martin with an idea for power independence. Circuit Alert were fantastic. The system I hoped for works exactly as I'd hoped and I'm already looking to expand on the original installation. Thanks Circuit Alert. Martin and Lisa were able to explain clearly what options were available and what the thought would be the most suitable and value for money.The site was challenging with connection between building required. The installation and grid connection went ahead without a hitch. If I had any questions or had to pass on information Martin and Lisa were only a txt/email/phone call/Whatsapp away.Great service.,5.0,4.0,5.0,5.0,6.6kW,"More than $20,000",,,,,,,False,[],0,0
117330,Sergei,QLD - 4551,QLD,4551,True,2023-12-08,08 December 2023,5.0,,"I'm glad that I have chosen this company - Circuit Alert Electrical and Solar: very quick and reliable service overall.And the installation and set up went very smooth, very happy with the Circuit Alert Electrical and Solar!.",5.0,5.0,5.0,5.0,9kW,"$10,000 to $12,500",QS Solar,SolaX Power,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png'],0,0
115169,Sharn,QLD - 4551,QLD,4551,True,2023-10-04,04 October 2023,5.0,,Value for money and service were on point. Great product and very happy :),5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",,SolaX Power,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png'],0,0
114350,Leticia,QLD - 4560,QLD,4560,True,2023-09-11,11 September 2023,5.0,,"Lisa and the team were incredibly knowledgeable, friendly and always available to answer our questions. The solar install was quick and tidy. Would absolutely recommend these guys.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
114032,Scott,QLD - 4452,QLD,4452,True,2023-09-02,02 September 2023,5.0,,"From start to finish we felt looked after. I contacted Circuit Alert months before going ahead with a quote and Lisa gave me lots to think about but with no hard sell. Circuit Alert had been recommended to me by my niece who had already used the company twice already for installing her solar. We went with their cheapest option which I was a little sceptical as to how good a cheaper system would be. Circuit Alert assured me that they have installed plenty of the cheaper systems and that they all come with very similar warranties. We have not looked back. The installers arrived on time , kept us well informed .Walked us through the set up. The Solax system has not missed a beat. Lisa drops us a line now and then to check everything is as we would expect it to be.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,SolaX Power,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png']",0,0
112891,Donovan,QLD - 4570,QLD,4570,True,2023-08-01,01 August 2023,5.0,,"Painless experience from my first contact with the company to the final installation.  The installers were punctual, efficient and left the area spotless.  Loved that they setup the app on my phone as this would have been a challenge for me.",5.0,5.0,5.0,5.0,2kW,"$4,000 to $6,000",Jinko Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
102468,Jon,QLD - 4556,QLD,4556,True,2023-06-13,13 June 2023,4.5,,"Fair to say, sales and quoting was a good experience and the salesperson Chris was excellentInstallation went generally well, but some traffic damage to roof and damage to skylight dome. I am required to arrange the repair/replacement of the dome and present an invoice for reimbursementThe next steps toward grid connection was a matter of tracking down the info myself, somewhat of minefield for the those not skilled in this path. Still no clarity.",5.0,5.0,4.0,4.0,10kW,"$8,000 to $10,000",Q Cells Q.ANTUM Technology (Other),SolaX Power,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png'],0,0
109066,Sharon,QLD - 4507,QLD,4507,True,2023-03-22,22 March 2023,5.0,,"From the first phone call when speaking to Lisa, through the quoting process and then on to the installation it was a well oiled machine. They turned up when they said, did what they said and the system acheived what they said!  I'm so relieved to no great service still exists!",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",QCells MAxx (Other),SolaX Power,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png'],0,0
108778,Maryline,QLD - 4507,QLD,4507,True,2023-03-11,11 March 2023,5.0,,"We are very happy to have chosen Circuit Alert to do our solar install, from the initial contact with Lisa they were no pressure to “do it now” like other company and unlike other they came to our home to look and sit down and explain the whole process , all this without any commitment fromus at this stage. Once we gave them the “go ahead” it was a very smooth operation, the young men who came to do the install where great, friendly, polite and very efficient . Our system works as intended and so far no issue. Would recommend the team at Circuit Alert to anyone",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",Q Cells (Other),SolaX Power,,5.0,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png'],0,0
107109,John,QLD - 4551,QLD,4551,True,2023-01-07,07 January 2023,5.0,,"Another awesome job from Richard, Lisa and team.Very easy to deal with & once we accepted the quote it didn't take long to have our solar up and running.Evan over Christmas holiday period Lisa was able to help us troubleshoot an issue with our hot water unit which was not related to the solar.CheersJon & Nikki",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
105625,Nicolas,QLD - 4053,QLD,4053,True,2022-11-22,22 November 2022,5.0,,"Douglas and his team have been very patient in answering all my questions, and really came up with the best design for my roof. Our roof is south facing, with significant shading, and they came up with realistic estimates of the production, and  just the right amount of panels to provide maximum production while minimizing shading issues.Installation went smoothly. The installer was also the system designer and he was very nice and competent.I am very likely going back to them for my upcoming battery install!",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Hanwha Q CELLS,SMA,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png'],0,0
104719,Rhys,QLD - 4521,QLD,4521,True,2022-10-24,24 October 2022,5.0,,"Really happy to deal with a family operated business. Communication was always prompt and answered all my silly questions. The install team arrived on time, worked hard all day and cleaned up before they left.The office has been great with following up to make sure everything is going well and we are happy.",5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",,SolaX Power,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png'],0,0
103494,Elizabeth,QLD - 4570,QLD,4570,True,2022-09-11,11 September 2022,5.0,,Excellent communication from Circuit Alert throughout the process.  Quick and efficient installation.  The team were friendly and skilled.,5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",,,,,,,False,[],0,0
103449,John,QLD - 4573,QLD,4573,True,2022-09-09,09 September 2022,5.0,,"Couldn't be happier with the team at Circuit Alert Solar. The were very easy to deal with and professional, and did all they could to reschedule the installation when impacted by wet weather. Communication was also very good and timely.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,SMA,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png'],0,0
103428,Aaron,QLD - 4551,QLD,4551,True,2022-09-08,08 September 2022,5.0,,Highly recommend Circuit Alert for Solar installations and electrical work. Very punctual and knowledgeable and most importantly very price competitive.The boys were very tidy and did a great job with the install.After service was great and they are more than happy to help out with any questions you may have. 5 stars.,5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",,SolaX Power,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png'],0,0
103393,Daniel,QLD - 4521,QLD,4521,True,2022-09-07,07 September 2022,4.25,,Insightful and informative quoting process. Great install. Very helpful office staff.,4.0,5.0,4.0,4.0,13kW,"$12,500 to $15,000",,SMA,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png'],0,0
103091,Gayle,QLD - 4551,QLD,4551,True,2022-08-30,30 August 2022,5.0,,"These guys were brilliant… Lisa in the office took time to explain things, nothing was an effort to her. Cameron sent detailed quotes for different systems and was happy to explain pros and cons of the types and sizes of the systems available. Steve and Lachie were absolutely fantastic with the install… extremely nice guys, neat, tidy and knew their stuff! The whole process was seamless and I would highly recommend this team if you are wanting hassle free Solar installation with the peace of mind that they are there to support you if any questions or problems arise in the future. I am an extremely happy customer!",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
103026,John,QLD - 4061,QLD,4061,True,2022-08-28,28 August 2022,4.75,,"Appreciated the on-site visit and personal contact to understand our requirements, explain the panel and inverter options, identify the install location and explain the installation process.The install was completed on the agreed day by an experienced crew - the old system was removed cleanly. The monitoring system and the app were installed and commissioned before leaving site and all arrangements with the supplier managed by the supplier. The only minor issue was that some of the installation waste (cable ties, packers etc) didn't get removed.And the system started generating as soon as it was switched on!",5.0,5.0,4.0,5.0,5kW,"$6,000 to $8,000",,SMA,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png'],0,0
