review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
89184,Charlotte,VIC - 3214,VIC,3214,True,2021-04-27,27 April 2021,1.0,,"Solar panels don’t workI am honestly surprised by all the positive reviews. My experience has been anything but. I have had my panels installed for over a month and they still are not working properly. I had a 4.44kWh system installed and the most it generates (on a sunny day at midday) is 0.9kWh. I’ve asked repeatedly for the company to explain to me why this is the case, but keep getting fobbed off and told “the system is working as expected”. Great customer service until the deposit is paid.",1.0,1.0,1.0,1.0,4kW,"$4,000 to $6,000",,,,,,False,[],0,0
74797,David,VIC - 3220,VIC,3220,True,2020-08-26,26 August 2020,5.0,,CTSS provided a detailed and comprehensive design service and gave a competitive price over others offering identical components.  Lead times were OK and installation took just over 6 hours for a 6.4kW system on a two storey townhouse.  Having a team of 6 meant  that there was plenty of activity throughout the day.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",SunPower,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/ab8d63d927461180db67cb2bc6dd66a8.jpg']",0,0
67273,Gary,VIC - 3212,VIC,3212,True,2019-08-12,12 August 2019,4.75,,Good experience overall - had to be installed over 2 days due to bad weather ( fog )Cleaned up and removed all boxes after installationVery neatly installed inverterGood explanation of the system set upSystem took 3 months before it could be installed due to number of systems being purchased at the timeShame we couldn't claim Vic governments rebate scheme as its means testedGenerating some electricity but now winter so not huge amount,5.0,5.0,5.0,4.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
59518,Daniele,VIC - 3126,VIC,3126,True,2019-02-04,04 February 2019,4.0,,,4.0,4.0,0,4.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
46339,Dennis,VIC - 3226,VIC,3226,True,2018-12-06,06 December 2018,4.75,,,4.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",Trina,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
56062,Michael,VIC - 3321,VIC,3321,True,2018-11-21,21 November 2018,5.0,,"Could not rate City to Surf Solar highly enough. Was choosing between either City to Surf Solar or another in Geelong, and ultimately chose City to Surf Solar due to a slightly better out-of-pocket cost.The information given along the was was very helpful. The installation happened ahead of schedule and was seamless - minimal disturbance and a very clean worksite once they had finished. And finally, the documentation given after installation was perfect for me to apply for the rebate.",5.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
55243,Anon,VIC - 3331,VIC,3331,True,2018-11-05,05 November 2018,4.67,,,4.0,5.0,0,5.0,More than 6kW,"$6,000 to $10,000",,,,,,False,[],0,0
54242,Brendan,VIC - 3211,VIC,3211,True,2018-10-17,17 October 2018,4.0,,Still waiting for installation,4.0,4.0,0,4.0,More than 6kW,"$6,000 to $10,000",,,,,,False,[],0,0
38072,Sandy,VIC - 3216,VIC,3216,True,2018-05-08,08 May 2018,4.5,,We chose city to surf as they are local (ie almost next door) and my research indicated they have an excellent reputation for both domestic and commercial/govt  installations.,4.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",Trina,SMA,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sma.png']",0,0
44811,Anon,VIC - 3216,VIC,3216,True,2018-03-03,03 March 2018,4.0,,,4.0,4.0,0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
41177,Fabian,VIC - 3230,VIC,3230,True,2017-12-02,02 December 2017,4.25,,Your recommendations were good - the Bendigo one was however just too far away (2.5 hours) to provide prompt service.We were always going to go with solar on our new house. Your Facebook posts provided us with valuable information and helped us with our choices.Thank you.,4.0,4.0,4.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
38338,John,VIC - 3215,VIC,3215,True,2017-09-15,15 September 2017,4.5,,Most were happy to quote relatively blindly without even inspecting the property to assess things like shading.City to Surf solar didn't quote until they came to consult with me first. They came to the first meeting with a picture that showed my worst case scenario with a shading issue we had because of the neighbours tree. We spoke about being able to position the panels to the front of the house.What stood them apart from the rest was the attention to detail.,4.0,4.0,5.0,5.0,More than 6kW,"$6,000 to $10,000",,,,,,False,[],0,0
37739,Lorayne,VIC - 3300,VIC,3300,True,2017-08-25,25 August 2017,4.5,,"Nothing was too much trouble for them. Travelled over 3 hours to our place just to install a wifi in our shed, and if it didn't work  was at no cost to us. I recommend them extremely highly to anyone who wants a fantastic product with the  best after service you could possibly get.",3.0,5.0,5.0,5.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
