review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
139829,Sandra,SA - 5523,SA,5523,True,2025-11-12,12 November 2025,5.0,,Can’t fault the whole process from the first phone call to the install was simple. All our questions were answered and in the end we opted for a larger battery and so glad we did. The installation process was excellent the crew were very tidy and thorough. They ensured everything was working and all rubbish was removed before they left.,5.0,5.0,5.0,5.0,6.6kW,,Jinko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/dc0a9d83c35b8668eaf66a2ca7b2dab10.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/6eb7120071b49f1a7d52f86f2439e12f1.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/19c578c2cb458c574139f7a83e1fafcf2.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/29283858318738ce00cfef2bbc95d0783.jpeg']",0,0
139722,Brett,SA - 5235,SA,5235,True,2025-11-11,11 November 2025,5.0,,"Very good package. Informative, good service and great price. Install very well done and no hassle.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Jinko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
139284,Deidre And Kevin,SA - 5255,SA,5255,True,2025-11-02,02 November 2025,5.0,,"Sales quoting process was very thorough and Informative.  The inatallation team waa punctual, Informative, polite and tidied up after installation was complete.The installers then helped us to  with the app after the battery was connected and explained the application of this.",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",,,Sigenergy,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
138805,Richard,SA - 5211,SA,5211,True,2025-10-22,22 October 2025,5.0,,Class A Energy Solutions did a great job from sales through to installation on our new home.Our system is 24kw of Solar mounted on north and west facing roof faces.To keep us power neutral we coupled them to a 20kw Sigenergy inverter on top 32kw battery.We love the wifi app its very intuative and allows us to be informed so we can manage high current loads.Sigenergy Gateway handles the cutover in the event of grid power failure.We are very happy.Regards Richard & Gail.,5.0,5.0,5.0,5.0,20kW,"More than $20,000",Aiko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b0865ee12500b95a0d6f69b2632096e70.jpeg']",0,0
138484,Leonard,SA - 5034,SA,5034,True,2025-10-13,13 October 2025,2.5,,Sales person was excellent and knowledgeable.  A site visit was arranged and he confirmed that it all looked feasible.  They were not the lowest quote but we accepted their quote at the end of August based on the service in the quoting process.After paying a deposit there has been very poor level of communication with the firm and they have not even scheduled an installation date even though I was told that the have the battery in stock,4.0,4.0,1.0,1.0,,"$12,500 to $15,000",,,Sigenergy,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
137899,Mark,SA - 5125,SA,5125,True,2025-09-30,30 September 2025,5.0,,"The sales process was quick and negotiable. The installations was amazing, very polite guys , clean and tidy. They showed me how to use the app but was told I have no need for any other info.",5.0,5.0,5.0,5.0,more than 30kW,,Risen,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4a13e5f338bec1a2e3ccb46818fa57480.jpeg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/444e0498680f13fa9db589c8b3bd9d0f1.jpeg']",0,0
127769,Chris,SA - 5214,SA,5214,True,2025-09-05,05 September 2025,4.75,,"Excellent Tesla battery system at a great price. Installation started well, but a difficult one due to limestone walling (not flat). Installers excellent but unable to complete it due to Tesla battery installation problems not being able to attach  battery directly onto wall. They are coming back to complete installation another day. Soon I hope. Installers punctual.efficient and tidy completing partial installation and cabling. Waiting for communication from Class A Energy Solutions in Adelaide for completion of install.( Battery installed to existing 6kw solar system with Fronius inverter.)",5.0,5.0,5.0,4.0,13kW,"$12,500 to $15,000",Suntech,Fronius,Tesla Powerwall 2,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
126209,Rod,SA - 5211,SA,5211,True,2025-07-20,20 July 2025,5.0,,A most professional company to deal with from start to finish. Very happy to recommend them.,5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",I don't know,Goodwe,,5.0,4.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
133303,Gerry And Paul,SA - 5087,SA,5087,True,2025-05-10,10 May 2025,5.0,,"The sales process was easy. Shane came to our home and talked us through the entire process and quote. Although the installation was delayed at the end we were really impressed with John, our installer. He shared his knowledge which gave us confidence in our decision. John was knowledge, friendly and helpful. He explained the entire process to us from the beginning to installing the app. on our phone.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Jinko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
132795,Deborah,SA - 5098,SA,5098,True,2025-04-23,23 April 2025,5.0,,The installation was fantastic and the installer was even better. He answered all our questions and even researched the more difficult ones. He took the time to explain things in layman terms. We really appreciated this.,5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",,Fronius,Sigenergy,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
127951,Danh,SA - 5065,SA,5065,True,2024-11-15,15 November 2024,5.0,,"Absolutely outstanding solar installation! The team was professional, efficient, and left everything perfectly set up – highly recommended!",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",,Sungrow,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
127950,Bibek,SA - 5064,SA,5064,True,2024-11-15,15 November 2024,5.0,,Sales and quoting process went smoothly. Installers were polite and on time.,5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",,,,,,,False,[],0,0
126546,Andrew,SA - 5007,SA,5007,True,2024-10-02,02 October 2024,4.25,,Had to chase this company up a few times to find out install date. Calls not returned as promised. Installer had to come out 3 times to complete job. Battery didn't work after initial install. Had to chase up again with phone calls and email. Battery finally working now. Customer service needs much improvement,5.0,5.0,3.0,4.0,13kW,"$10,000 to $12,500",Canadian Solar Inc,Fronius,GivEnergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_givenergy.jpg']",0,0
124805,Con,SA - 5340,SA,5340,True,2024-08-08,08 August 2024,4.5,,"Install was neat and tidy, showed me what needs to be done in case of emergency or basically said if you need anything gives us a call .",4.0,4.0,5.0,5.0,13kW,"$10,000 to $12,500",LONGi Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
