review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140373,Vicki,SA - 5045,SA,5045,True,2025-11-24,24 November 2025,5.0,,I contacted Clayton Solar about installation of a solar battery. A quote was provided with explanation of various sizes and which one would be the best for us. The guys who installed the battery were so helpful with battery placement. They were efficient and cleaned up once they finished the work. They installed the app on my phone and explained how the app worked. I could not praise them highly enough. From quote to instillation they were professional and helpful with any questions that i had. Totally recommend Clayton Electrical.,5.0,5.0,5.0,5.0,,"$4,000 to $6,000",,,,,,,False,[],0,0
139187,Kiel,SA - 5162,SA,5162,True,2025-10-30,30 October 2025,5.0,,"We had a 6.6kw panels-only system installed by Clayton Solar in August 2022, and now in October 2025 had them come out to install our Alpha-ESS 13.3kw battery too. There was no issue installing some extra reinforcing as our roof required. We had the same installer both times, he was knowledgeable and friendly. Went over every detail that was required, installed in locations that suited me and didn't even judge me for my embarassing wifi password...I can't rate Clayton Solar highly enough, they were more competitively priced than others and installed to a high standard. We were given a large amount of information on the systems we were debating and it made me feel confident to pick what we did. Communication was reliable and effective.",5.0,5.0,5.0,5.0,,"$4,000 to $6,000",,,Alpha-ESS,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png'],0,0
139120,Steve,SA - 5040,SA,5040,True,2025-10-29,29 October 2025,5.0,,"Clayton Solar Electrical are a great company to deal with.Price was very competitive (I received at least 15 quotes from other companies), but Clayton were the best. Excellent communication from the first contact to the last.Installers were terrific and did a terrific job and also communicated everything they were doing, and were polite and courteous.Quality work, system is working perfectly and looks terrific.Could not fault them in any way. Would not hesitate in using them again and highly recommend them to others.Steve",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Jinko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/bb44ce443fbcd958b5a2f450e03b5fb50.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/2b0b29a5187f9952f06097e2e20d3c8f1.jpeg']",0,0
138887,Ben,SA - 5242,SA,5242,True,2025-10-23,23 October 2025,5.0,,"Easy to deal with from start to finish. Quality install. System has been working well from day 1 with no issues. We had an old 3 phase inverter removed and replaced with Sig gateway, batteries and inverter. We also had a 2nd inverter from shed integrated through the SmartPort.",5.0,5.0,5.0,5.0,more than 30kW,"More than $20,000",,Sigenergy,Sigenergy,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
138733,Richard,SA - 5022,SA,5022,True,2025-10-20,20 October 2025,5.0,,"Initial quoting was very responsive and competitive. Shane provided me multiple options based on the criteria I provided and was clear on timeframes.The install took about a day and a half for 20kw of panels, 32kwh battery, gateway, car charger - and the crew (especially Tim) were very friendly and professional.I had done a lot of research beforehand and all the guys were clearly knowledgable about the products and took pride in their work, with a very clean install and tidy up.Post install I was given a tour of the functions and also a clear explanation on safety and shut down proceedures.My solar, battery, and blackout protection were up and running on the day of install, and flawlessly integrated into my home assistant system.Very happy with the service provided",5.0,5.0,5.0,5.0,20kW,"More than $20,000",Jinko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/df632f7b0f91a3061afaefe6d28b09430.jpeg']",0,0
138702,Darren,SA - 5158,SA,5158,True,2025-10-20,20 October 2025,5.0,,"Right from the first phone call, Stav and the team couldn't be more helpful. They were always willing to answer any of my questions and provide their expert advice about upgrading my solar inverter and installing a new battery.They kept me informed and updated the whole way, and on the day of the install, they did a very professional and neat job.Stav is so friendly and easy to talk to and explained everything to me. He set up the phone app and explained everything.Great businesses, who are professional, friendly, helpful, and good value for money are hard to find, and I highly recommend Stav, and the guys at Clayton Solar & Electrical",5.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,Sungrow,,5.0,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png'],0,0
138486,Laura,SA - 5171,SA,5171,True,2025-10-13,13 October 2025,5.0,,We came back to Clayton solar & electrical after they did our solar install some years ago. We received the same service as last time - absolutely faultless all the way through from quoting to installation and post-sales service. We wouldn’t go anywhere else. Highly  recommend!,5.0,5.0,5.0,5.0,,"$12,500 to $15,000",,,Sigenergy,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
137346,Peter,SA - 5047,SA,5047,True,2025-09-17,17 September 2025,5.0,,A very responsive installer who gave great service throuhhout. Very helpful advice in developing our quote and happy to communicate with me during the installation process. Quote seemed very competitive and the Sigenergy system is performing brilliantly so far. Helped that someone cancelled their order and we were able to get our system installed a couple of months early.,5.0,5.0,5.0,5.0,3kW,,Jinko Solar,Sigenergy,Sigenergy,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/314ff9c2583119a7c1462d9bcaaa914e0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/639b3648322cd63dfc0bb9005332509c1.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/91fd5f049815c65a259ddd1a9f3214d72.jpg']",0,0
137326,Greg,SA - 5024,SA,5024,True,2025-09-16,16 September 2025,5.0,,I was very happy with the way the quoting/planning process was handled. Nothing was too much trouble whenever I had any questions for Shane. Prompt replies were always received.Tim and the installation team did a fantastic job replacing our existing solar system together with the provision of our new battery with backup gateway. The result is a very neat and tidy installation. I am very happy with how it all turned out.I would not hesitate to recommend Clayton Solar to anyone looking for a solar/battery installation.,5.0,5.0,5.0,5.0,15kW,"$15,000 to $20,000",Jinko Solar,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png']",0,0
137072,Belinda,SA - 5032,SA,5032,True,2025-09-10,10 September 2025,5.0,,"Very responsive to any questions I had and changes to the quote. Despite bad weather, installation was quick and the team were punctual, friendly and polite. They organised grid connection and came back to fix the meter installation (installed by my energy retailer). Showed me through the app and what to expect from my system. Nothing was too hard. It’s been a great experience overall thanks to Shane, Jack, Lachlan, Tim, Stavros and the rest of the team.",5.0,5.0,5.0,5.0,7kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
