review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
128540,Kevin,NSW - 2530,NSW,2530,True,2025-09-28,28 September 2025,5.0,,"The quotation and sales process was easy. The company representative was friendly and professional. We were very happy with his advice, recommended products and quote, so gave the go ahead on the same day. The installation was great and completed in one day. The owners do not sub-contract out the work. They do the installation themselves, which was very reassuring. They were a great crew. They completed all of the paperwork and arranged the grid connection. After the installation we were shown how the battery operates and how to use the app to monitor the system. We are very impressed with the system, the professionalism of the company and are very happy with the overall process.",5.0,5.0,5.0,5.0,6.6kW,"More than $20,000",Jinko Solar,Tesla (Other),Tesla Powerwall 3,5.0,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d9409702e56ad47327f471ff3eb28e1c0.jpg']",0,0
128635,Shawn,NSW - 2533,NSW,2533,True,2024-12-04,04 December 2024,4.75,,"We recently installed at 10 kWh system with a 9.6 kWh battery.Tristan was informed and professional as a sales representative and Shane & Nick were professional and collaborative installers. Our house had some challenges because of our architecture and location, but the team worked with us to make the best choices. None of the team were pushy or forced.It was great working with a professional and confident team who worked with us to get the best fit for our needs and circumstances",4.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",Winaico,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
128220,Simon,NSW - 2570,NSW,2570,True,2024-11-21,21 November 2024,4.5,,"Quote was competitiveGuys very quick to answer all questions and were very punctual, polite and tidy.Service has been excellent and straight on top of any issues.",4.0,4.0,5.0,5.0,10kW,"$12,500 to $15,000",,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
127917,Matt,NSW - 2518,NSW,2518,True,2024-11-14,14 November 2024,4.5,,Clean Coast were clear and prompt during the sales process. The install was fast and has worked without issue from the beginning. The customer service was polite and supportive. I would recommend Clean Coast for future installs.,4.0,5.0,4.0,5.0,13kW,"More than $20,000",,,,,,,False,[],0,0
127781,Ben,NSW - 2500,NSW,2500,True,2024-11-10,10 November 2024,5.0,,"Very happy customer. After collecting many quotes the 2 cheapest (very cheap!) were disregarded because of bad reviews, horror stories, aggressive marketing and ongoing investigations into their business model. That left me with 4 contenders of which Clean Coast Solar was the cheapest. When they requested feedback another company was given this information; they immediately dropped their quote $2000. I went with Clean Coast and very glad that I did.They usually install Jinko panels but were happy to comply with my request for REC panels. I was determined to have a Fronius inverter but Aaron suggested I go with the Sungrow inverter because it was both substantially cheaper and more suited to a future Sungrow battery. Aaron knows his stuff.The day of installation went perfectly. Arrived on time, got straight to work, job done well and cleaned up afterwards. The quoted price was set without any extra onsite and installation costs. Aaron even replaced a ancient master switch which was not included in the quote.I highly and without hesitation recommend Clean Coast Solar & Electrical.Several months later and I've just had Clean Coast install a 19Kw battery. Another great price, another great job done and again a very happy and satisfied customer. Thank you to the team at Clean Coast.",5.0,5.0,5.0,5.0,10kW,"More than $20,000",REC,Sungrow,Sungrow,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
126825,Andy,NSW - 2525,NSW,2525,True,2024-10-11,11 October 2024,4.75,,"Highly recommend Clean Coast Solar for solar installations. Professional, knowledgeable and flexible team. They kindly postponed installation after strong winds had damaged the roof, allowing repair work to be carried out. They also wired in a timed circuit for a new boiler.So far so good, panels are covering all our daytime electricity requirements and the equipment installed looks great!",4.0,5.0,5.0,5.0,9kW,"$10,000 to $12,500",Winaico,Sungrow,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_winaico.gif', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
124695,Richard,NSW - 2516,NSW,2516,True,2024-08-06,06 August 2024,4.5,,"Highly professional from the initial site visit to quote, through to the installation, which was completed within about 2 weeks of quote acceptance. Competitive quote. Very flexible attitude to the additional work needed to reconfigure the sub board to ensure optimal backup of house circuits during blackouts. The installation was incredibly neat and tidy. Great team of electricians. Regarding Tesla: the Gateway unit failed after 2 weeks apparently due to a SIM card or Coms problem. Tesla elected to replace the Gateway unit rather than experiment with replacement parts. Still waiting for replacement unit 10 days later. Clean Coast Solar is on top of this, keeping me informed every few days and managing the process as well as anyone could expect. Highly recommended.",4.0,4.0,5.0,5.0,,"$12,500 to $15,000",,,Tesla Powerwall 2,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
123917,Michael,NSW - 2505,NSW,2505,True,2024-07-14,14 July 2024,5.0,,"Very quick to quote, excellent price, great communication and organisation of install. Above and beyond with install and work needed to be done",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",,,Sungrow,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png'],0,0
114273,Mark,NSW - 2518,NSW,2518,True,2024-07-09,09 July 2024,4.75,,They supplied and installed exactly what I asked for in a timely and tradesman like manner.  Very happy with the outcome and they are local.,4.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b7c657f94b5d9c16f32d4c7575c242b62.jpeg']",0,0
114343,Lex,NSW - 2525,NSW,2525,True,2024-07-07,07 July 2024,5.0,,"Aaron provided a quote with the options necessary for us to have either of two battery ready systems, and the crew that did the installation were prompt, tidy, and provided us with information to operate the system, and monitor it on a phone app.",5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
