review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
26385,Steve,VIC - 3126,VIC,3126,True,2016-02-08,08 February 2016,4.75,,,4.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",Jinko Solar,Fimer,,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png']",0,0
28825,Brian,VIC - 3193,VIC,3193,True,2015-12-22,22 December 2015,4.0,,,4.0,4.0,4.0,4.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
25917,Sue,VIC - 3193,VIC,3193,True,2015-12-21,21 December 2015,4.25,,"Michael was great to deal with - no hard sell, came across as honest, reliable and knowledgeable. He Recommended a smaller sized system and it was installed promptly. I would recommend this company to anyone in the Bayside area who is looking for a solar installer.",4.0,4.0,4.0,5.0,2kW,"$3,000 to $6,000",Trina,Fimer,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png']",0,0
28754,Mitch,VIC - 3204,VIC,3204,True,2015-12-16,16 December 2015,4.25,,"I would recommend Clean Energy Works. Michael is a good salesman who catered for my requirements. The installer was top notch, I actually got him to put a tv antenna up while he was there. The system works really well, I'm getting above 3kW output on good days. Overall, I am very happy with the product and service.",4.0,5.0,4.0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
28731,David,VIC - 3186,VIC,3186,True,2015-12-14,14 December 2015,4.0,,,4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
27584,Susan,VIC - 3783,VIC,3783,True,2015-09-16,16 September 2015,5.0,,I cannot fault the service and professional advice I got from Michael.  He explained all my options very clearly and looked after the whole process of purchasing and installation in a professional manner.  At every opportunity he made it easy for me so all I had to do was sit back and enjoy the process. Trevor did the installation tirelessly and obviously was very knowledgeable about the process.  I have no regrets with my purchase and am very excitedly using my own power now.,5.0,5.0,5.0,5.0,4kW,"$6,000 to $10,000",,,,,,False,[],0,0
26648,Michael,VIC - 3058,VIC,3058,True,2015-06-29,29 June 2015,4.0,,We went with Clean Energy Works because they didn't try to sell us a system that had elements we didn't need.  Gordon was also initially the only one to follow up on our discussions regarding the installation of our system.  Price was good and the initial system spec was OK but after some further research we upgraded the panels.,4.0,4.0,0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
26022,Kym,VIC - 3183,VIC,3183,True,2015-04-28,28 April 2015,4.5,,"We were very happy with our decision to go with Michael from Clean Energy Works (we received 2 other quotes).  Michael was straightforward & knowledgeable, we immediately felt we could trust him and the advice he gave us. We got a good quality system at a very reasonable price.  His contractor Bao was excellent.  Our installation was more complicated than usual, Bao went out of his way to satisfy our requests & did an excellent job.  We would highly recommend Clean Energy works.",4.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
25746,Mark,VIC - 3204,VIC,3204,True,2015-04-02,02 April 2015,5.0,,,5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
25196,Phill,VIC - 3204,VIC,3204,True,2015-02-08,08 February 2015,4.25,,"Micheal is a very tuned in representative as has vast industry and product knowledge  He is committed to providing a system that will satisfy your requirements and will perform well within the environmental constraints of the installation site. I have no hesitation in recommending Michael.  I also found Boa who was assigned as the installer to be very cooperate, professional  and accommodating.  Overall it has been a very good relationship.",4.0,5.0,4.0,4.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
24753,Susan,VIC - 3163,VIC,3163,True,2014-12-29,29 December 2014,5.0,,"I only got two quotes;  I chose Clean Energy Works on the basis of friends' recommendation and because I was impressed with Michael's experience. He provided a very good quality system at a competitive price, with good friendly and trustworthy sales approach. My other quote was from Urban Renewables; Adrian's quote was also impressive - very competitive, with a very good quality system and very nice sales approach - I felt I would have been happy to go with that quote as well but decided to go with Clean Energy Works because friends had used them.",5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
24219,Belinda,VIC - 3183,VIC,3183,True,2014-11-03,03 November 2014,4.5,,"Early days still, but the system seems to be running well and I haven't had any problems (not received an electricity bill yet). From ordering to installation all was quick and easy with no problems.",4.0,4.0,5.0,5.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
24085,Alan,VIC - 3204,VIC,3204,True,2014-10-20,20 October 2014,4.25,,"Michael took the time to appreciate my needs and to design the right system and install to my particular requirements of no roof penetrations.  No pressure compared to the other companies, just honest, straightforward advice.",4.0,4.0,4.0,5.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
24075,Paul,VIC - 3166,VIC,3166,True,2014-10-18,18 October 2014,4.5,,So far so good,4.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
23717,Neil,VIC - 3187,VIC,3187,True,2014-09-15,15 September 2014,4.75,,Going with Clean Energy Works was an easy decision. Michael was the exact opposite of previous pushy salesmen I'd seen. He took the time to listen to my situation and design the optimal system and explain it in full. Professional advice with no pressure. Installation was quick and stress free. The installer was very experienced and only concerned with doing a good job regardless of time or complications. Highly recommended.,4.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
