review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
139041,Susan,WA - 6005,WA,6005,True,2025-10-27,27 October 2025,1.0,,"After Clean NRG gave me a quote, and I paid a substantial deposit (>$2000) I was looking forward to getting my battery.  This was in August 2025.  When I did not hear from them, I contacted them twice in the next two and a half months but was told that they were working on my case.  Finally they told me that their installer could not do it.  I have lost a lot of time and may be too late to get the federal and state subsidies.  Although they returned my deposit, I did not get any compensation for the months that they had held my money.  Very dissatisfied with poor communication and poor customer service.",1.0,1.0,1.0,1.0,4kW,"$2,000 to $4,000",,,,,,True,['https://www.solarquotes.com.au/img/evchargermanufacturers/I_tesla.png'],0,0
132681,Mike,WA - 6100,WA,6100,True,2025-04-18,18 April 2025,4.5,,"Clean NRG actually took the time to understand what I wanted, while other quotes felt more like what the vendor wanted to sell.  Other vendors were pushing me towards a tesla charger, but the result would have been disappointing.Installation is reasonable.  Took longer than they estimated and not as tidy as it could have been, but overall ok.System performance is excellent, especially the charger/inverter integration.",4.0,5.0,4.0,5.0,10kW,"$12,500 to $15,000",LONGi Solar,Fronius,,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_fronius.png']",0,0
130516,Mark,WA - 6210,WA,6210,True,2025-02-07,07 February 2025,5.0,,"Clean NRG were one of the three firms recommended by solar quotes to replace an old 1.7kW solar system with a new, battery-ready 6.6kW system. They were a pleasure to work with from start to finish. Prompt, detailed quotes and equipment information followed by a very quick installation turnaround time. This was completed by a very professional installation team. So far, so good. The system is pumping out exactly what it's supposed to. Very highly recommended, 5 stars for every stage of the process.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",LONGi Solar,iStore,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_istore.jpg']",0,0
125739,Tony,WA - 6011,WA,6011,True,2024-09-06,06 September 2024,5.0,,"We installed solar through Clean NRG two years ago. Since then, the system has saved us a lot of money and has been worth it. Craig and Tony have been very helpful with follow up. Recently, our inverter had an issue. Craig came out and found a dead gecko in the fan. I was advised a fee of $180 - $200 would apply for a call out but Craig fixed the issue free of charge. Extremely grateful for this generous and prompt customer service. Thank you so much Craig and Tony!",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,Fronius,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
121703,Michael,WA - 6014,WA,6014,True,2024-05-01,01 May 2024,5.0,,I was recently contacted as my Inverter was overheating and as I was away working Craig from Clean NRG came out free of charge and unblocked the air vents. Great customer service!,5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",Jinko Solar,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
121099,Sue,WA - 6101,WA,6101,True,2024-04-10,10 April 2024,5.0,,I cant recommend Clean NRG Pty Ltd enough for their after installation service. Our Inverter is about 3 years old and an alarm was alerting them of a problem with it and they came out to check to see what the issue was when I wasn't able to successfully test the unit. Cant thankyou enough and thanks for  looking after us cheers Sue,5.0,5.0,5.0,5.0,10kW,"$4,000 to $6,000",,Fronius,,,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
115648,Richard,WA - 6010,WA,6010,True,2023-10-18,18 October 2023,4.0,,"Sales person was prompt and well informedInstaller was punctual, polite, tidy and informativeAll the paper work and approvals with Western power was handled well.",4.0,4.0,4.0,4.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Fronius,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
115411,Alan,WA - 6010,WA,6010,True,2023-10-11,11 October 2023,4.75,,"Yes, we went ahead with solar install.Based on SQ’s great online info and SQ’s recommended solar firms, we’d give SQ max star rating!Found SQ’s online info precise informative useful and very helpful, together with SQ’s quick responses and very good follow up's.SQ suggested three firms … one did not respond to enquiry.Of the other two we chose CleanNRG, and cannot speak highly enough of them - an immediate site visit, and liked the rep’s attitude interest and knowledge.Recvd a 1st quote that covered everything in excellent detail, then two more good site visits by CleanNRG’s proposed installer to check onsite because cable & inverter installation was complex, not straight forward.Various phone conversations subsequently happened with CleanNRG discussing & considering options, always helpful, quote then slightly revised and accepted.CleanNRG wanted to use their top team due to the complexity, so a small time delay before work carried out.The install team (Peter, Zack, Adam of Wise Electrical) were absolutely brilliant - arrived on time, pleasant & polite, all reqd install materials neatly ready in trailer, worked a very long day, willing to discuss anything, considerate of us and house and surrounds, efficient  … work was quality, clean, neat & workmanlike, done with a minimum of disturbance.Finally, at the end of the work day, immediate connection into the PV / grid, and we had a fully functioning solar system, working as hoped!Couldn’t ask for more!",4.0,5.0,5.0,5.0,6.6kW,,Jinko Solar,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/a4b429b9552cf4a9c6ce32ea93742faa0.jpeg']",0,0
111413,Jayden,WA - 6155,WA,6155,True,2023-06-11,11 June 2023,1.75,,"The contractor brought his 11 year old child to the install. The 11 year old child was seen on my roof carrying solar panels.The installers (probably the 11 year old child on my roof) broke approximately 25 roof tiles. Some were replaced but most were glued with silicone. This lead to water damage over the following 15 months.The damaged tiles which were replaced were left for me to clean.The arrays are not straight. The panels have not been levelled.The cut out in our meter box was done incorrectly and was only covered with a sticker after we raised a complaint.No dektites or appropriate flashings have been used, the wires are shoved through a drilled hole in the tile and patched with silicone. It is very likely these will eventually leak. The conduit and wires are hanging and have not been fixed in place.The smart meter was installed incorrectly and had to be reinstalled.The inverter has a proprietary plug (MODBUS) where the smart meter connects, most of those connections have been pushed in too far with a screw driver causing damage.The installers left graffiti on my recycling bin. They wrote ""F*** YOU"" on the top of the bin.The install was over $7k for a 5kw inverter. I have seen advertisements elsewhere for the same system at a lower price, and its highly likely those other installers will not put an 11 year old child on your roof causing water damage.",1.0,3.0,1.0,2.0,5kW,"$6,000 to $8,000",Jinko Solar,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5e27a37a8b725de752ea2f66525191560.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e8d3ed12b526eed4c4cdb01bbb45584c1.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/21917c476fdd7265d80b05931e0f35892.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e0f69499fcbccbf0261a9a60ae6a60e73.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9712e3639475e66a8c482b8fc81f14e24.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/fd5280c58c123b63775de3ab07ef23915.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/307c181c52684287c0262e783457cc0e6.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/dfe65b3e293c8b29cc18ca0725937e907.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5c249a7433c09234b0cc47de7e39668d8.jpg']",0,0
106068,Brad,WA - 6056,WA,6056,True,2022-12-07,07 December 2022,4.25,,"The customer service was great and they really worked with me to get the best result. The quote process was a breeze and much better than other quotes I received, including more detail. Instalation was on time and completed on the day they said it would occur. Very happy and the quote was I felt really competative apart from the slight increase from the original quote to the final quote.",4.0,4.0,4.0,5.0,13kW,"More than $20,000",Seraphim,Sungrow,Sungrow,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_seraphim.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
