review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140190,Glyn,NSW - 2575,NSW,2575,True,2025-11-19,19 November 2025,5.0,,"Clean Power provided an excellent service end-to-end - their sales staff were not pushy, but explained the proposition logically and professionally. Likewise their installers were very good as well - their attention to detail was excellent. I would recommend Clean Power Australia without hesitation. Glyn Davidson.",5.0,5.0,5.0,5.0,15kW,"More than $20,000",,,,,,,False,[],0,0
139934,Jeff,NSW - 2478,NSW,2478,True,2025-11-14,14 November 2025,2.75,,"Call three times with a problem with the system response will pass it on to the technical department, no call back. Paid $16000 for panels and batteries and power keeps dropping out. Numerous calls and expense to get a local electrician to look at problem . Told to switch the by pass switch to stop problem, no such switch in electrical box. Told that the installer would get back to me to fix the problem, no communication. Rang  Clean Power Australia who said the installer could not be contacted.  Sick of being ignored.Initial installation was delayed because installer was three panels short. Should have been a red flag.",3.0,3.0,3.0,2.0,6.6kW,"$15,000 to $20,000",,,,,,,False,[],0,0
129699,Scott,NSW - 2261,NSW,2261,True,2025-11-08,08 November 2025,4.75,,"The installers arrived on time on the day and had the installation done in a few hours.The install is neat and tidy, tidied up after themselves and were friendly and polite.",4.0,5.0,5.0,5.0,15kW,"$15,000 to $20,000",I don't know,Hinen (Other),Hinen,5.0,5.0,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_hinen.png'],0,0
132905,Kylie,NSW - 2795,NSW,2795,True,2025-04-29,29 April 2025,5.0,,Everything went to plan. Great communication and awesome to deal with from start to finish.,5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",,,,,,,False,[],0,0
128260,Stephen,NSW - 2517,NSW,2517,True,2024-11-22,22 November 2024,5.0,,i had clean power Australia install a 15kwh battery on my solar system the rep Elliot was great to work with and the installation was great installers were very informative great company to work with i would defiantly suggest this company to my family and friends they delivered as they said they would,5.0,5.0,5.0,5.0,15kW,"$10,000 to $12,500",,,I don't know,,,5.0,False,[],0,0
127871,Stephen,NSW - 2517,NSW,2517,True,2024-11-13,13 November 2024,5.0,,Elliot was great to work with . Installers did a great job neat and tidy workmanship they set up the app and explained everything very happy with this job .I would recommend this company wanting solar power,5.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,I don't know,,,,False,[],0,0
122696,Philip,NSW - 2090,NSW,2090,True,2024-06-01,01 June 2024,4.25,,"I have just had a Alpha ESS battery installed by Clean Power. I have also joined Amber as my electricity supplier after Clean Power made me aware of Amber. The sales person was easy to talk to and helpful, responding after our face to face meeting to my various email questions. The installation went very well, I interacted with the installation team beforehand and they gave me good advice that helped my prepare for the installation. On the day the installation went very efficiently and the two electricians were helpful and good to interact with.",3.0,4.0,5.0,5.0,,"$12,500 to $15,000",,,Alpha-ESS,,,,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_alpha-ess.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_zappi.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d0f74c867aae080b6fa2cde3f08b98130.jpg']",0,0
113426,Tony,NSW - 2540,NSW,2540,True,2023-08-15,15 August 2023,5.0,,"Very happy so far with Clean Energy. The installers who put the panels up were quick, friendly and efficient. The technician who came out before and after installation of the panels was a pleasure to deal with and answered all my questions.The salesman who came out and met me initially, spent quite a bit of time going through the process nd is always happy to answer my follow-up questions.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",JA Solar,Sungrow,No battery yet. (Other),,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/d844963d88e95a85a621df04914f98370.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/3efe639099cee172a7b63e0d23c29a481.jpg']",0,0
112176,James,ACT - 2606,ACT,2606,True,2023-07-09,09 July 2023,1.0,,"They were pretty keen in signing me up intially (aren't they always?). But immediately after, their initiative and momentum fell right off.After 6 months and multiple phone calls on my part, I was advised that they wouldn't be able to complete the install because my house was too high ( I live in a 3-storey townhouse) and told that it was unlikely that anyone else would be able to: which was complete nonsense, because I was able to get someone to install within a month (shout out to ECG Electrical). Was also told that I'd been overcharged for Clean powers proposal.While the delays weren't entirely Clean Power's fault (sales person eft, delay with body corp approval), they definitely dropped the ball in following up. I suspect their culture is heavily sales-driven to get you to sign up intially, and sorry about the actual install later: I had another friend who was going to go with Clean Power, only for them to pull out because they failed to account for the skylight).Also may be different if you're in Sydney (I'm in Canberra), but I wouldn't be recommending them based on my experience.",1.0,,0,1.0,9kW,"$12,500 to $15,000",Trina,Goodwe,,1.0,1.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
112174,James,ACT - 2606,ACT,2606,True,2023-07-09,09 July 2023,2.0,,"Nothing personal against the company, but I don't think I could recommend Clean Power based on my experience.Initially, salesperson was keen and quite proactive in signing me up for install (aren't they always?). However, the momentum after I signed the contract fell right off- it took multiple calls on my part to get any tradespeople out to have a look at my house. 6 months after I signed the contract, I was advised they wouldn't be able to do the install, because my house was too high (3-storey townhouse). I was also advised that it was unlikely that any other provider would be able to to the install, because of the height: that was completely untrue, because the guys I got to do the job not only managed it, but completed within a month.While there were events beyond Clean Power's control (sales person left, delays with getting body corp approval), they were definitely responsible for the majority of the delay. Probably also worthwhile to keep in mind that I'm not in NSW, so they might do a better job in Syd- but I wouldn't be recommending them.",1.0,,0,3.0,9kW,"$12,500 to $15,000",Suntech,Goodwe,,1.0,1.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
104076,Tim,ACT - 2602,ACT,2602,True,2022-09-30,30 September 2022,5.0,,Efficient friendly no fuss from start to finishReally happyThis relates to the ACT clean power team,5.0,5.0,5.0,5.0,6kW,"$10,000 to $12,500",Hyundai Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
102706,Dennis,ACT - 2902,ACT,2902,True,2022-08-17,17 August 2022,5.0,,"Prompt, communicative and courteous installers.They had the job done in what seemed like no time at all.On completion there was no evidence that they'd even been working there at all.I was assisted with the installation and setup of the iSolarCloud application.They even answered the phone when I called for some further advice on the app.The whole experience was positive and I'd recommend them without hesitation.",5.0,5.0,5.0,5.0,6.6kW,,Hyundai Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
101917,Judi,ACT - 2611,ACT,2611,True,2022-07-30,30 July 2022,3.75,,"Sales was good, not pushy. Took time to explain everythingCommunication prior to installation was very goodInstallation was efficient, no mess left, minimum disruption and intrusionVery politeConnected everything for me and explained the app",3.0,4.0,5.0,3.0,7kW,"$12,500 to $15,000",Hyundai Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
95455,Valerie,NSW - 2540,NSW,2540,True,2021-11-21,21 November 2021,5.0,,"They were very professional, very helpful and on time. They installed the panels and even arranged for my energy provider to come and change something in my meter box to be compatible with my new system. They weren't the cheapest as some of the other companies quote but you get what you pay for.",5.0,5.0,5.0,5.0,3kW,"$4,000 to $6,000",Phono,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_phono.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
95294,Daniel,NSW - 2651,NSW,2651,True,2021-11-15,15 November 2021,2.0,,"Door to door salesman was good. Was not pushy, well spoken and gave the information in an easy to understand manor.The installation team were the complete opposite. Unprofessional and delivered a non compliant poor workmanship job.The installation team were rough and cut corners every step of the way. From not securing the conduit inside the roof, not gluing the conduit together, not bothering to join the conduit at one point, not sealing holes drilled for access and damage of property through the installation process.It took multiple requests for a phone discussion to be ignored followed up by a very specific email questioning the job with photo's before management would actually respond... not in writing!They did however come and make the job compliant to Australian electrical standards HOWEVER the job still lacks workmanship and quality that they claim.Buyers beware! They will cut corners and provide an uncompliant job if you do not check up on them! Inspect the job, if you are not happy DO NOT SIGN OFF until you are. Ensure you inspect your property prior to signing off too! This includes your meterbox and roof panels/tiles. Look inside your roof and ensure all conduits are secure.",2.0,3.0,1.0,2.0,6kW,"$8,000 to $10,000",Hyundai Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
92387,Gayl,NSW - 2536,NSW,2536,True,2021-08-17,17 August 2021,5.0,,"Solar panels installed today. From the quote to the follow up process to the installation everything went like clockwork. The installation team were on time, efficient and tidy. Couldn’t be happier. Thank you Clean Power team",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Risen,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_risen.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
91819,Phil,NSW - 2551,NSW,2551,True,2021-07-28,28 July 2021,5.0,,"The 'cold canvas' sales rep. must have done a great job for my wife to agree to a follow-up sales pitch appointment. The pitch was easy to engage in, honest and factual, without any 'hard line' time frames, almost enjoyable.The fact that I was not required to change my electricity provider as part of the process/package was very helpful.Also. as part of my own research, it was very helpful to understand Clean Power Australia has a significant interest, accreditation and long standing presence in the Australian Solar Industry.The administrative process preceding the installation date was without issue and office staff kept me informed of progress and pending delays related to COVID -19 lockdowns/restrictions and predicted weather patterns.The Installation team on the day were great. They each demonstrated good safety protocols for 'working at heights' and it was very obvious to see that they had a very good understanding of their individual and team tasks and responsibilities. They worked quietly and efficiently and I was pleasantly impressed to see 3 young men work so well together.Clean Power easily accepted responsibility to organise repairs for a small damage that occurred on installation day.In all, the complete Solar installation and connection has progressed very smoothly and I would not hesitate to recommend Clean Power as a professional company to deal with.",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",Hyundai Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
91250,Lynne,NSW - 2533,NSW,2533,True,2021-07-06,06 July 2021,5.0,,"Comfortable interview and informative about product. All questions answered. Installing went very smoothly, the boys went straight to work and finished without a hitch. Explained the process when asked. They were very polite and friendly, left no mess behind. Excellent customer service. Everything was done to our satisfaction. We have no complaints, we're very pleased with the service.",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",Hyundai Solar,,,,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png'],0,0
86686,Jim,NSW - 2515,NSW,2515,True,2021-02-11,11 February 2021,4.0,,"The sales process was good. Installers were polite, tidy and punctual. The company set up the switch to a smart meter. The installer helped to set up the app for the inverter. Concerns for safety on a 2 storey, 30 degree pitch, tin roof meant that the process took longer than expected.",4.0,5.0,3.0,4.0,6.6kW,"$6,000 to $8,000",Hyundai Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
84261,Adam,NSW - 2580,NSW,2580,True,2020-12-01,01 December 2020,5.0,,The sales team bent over backwards. The installation went better than expected. Great customer service!,5.0,5.0,5.0,5.0,20kW,"More than $20,000",LG,Fronius,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
83438,Steven,QLD - 4226,QLD,4226,True,2020-11-10,10 November 2020,5.0,,"About 8 weeks ago i had Clean Power install 25 Hyundai 350 panels (total capacity 8.8kw) with a 8kw Sungrow invertor.At present on the Gold Coast (for the last 3 weeks) the daily yield from the system is ranging from 39kWh to 49kWh.  With the assistance and advice which they gave at the time, whilst i have not received the current electricity bill, I can see the savings will be great.  Excellent customer service from the quote to the install and follow up when completed.  Really happy with the system and advice given based on my circumstances.Some neighbours recently got solar installed at a considerably lower cost, yet their daily yields are a lot lower than what i am getting and feel that i certainly got the right system for my home.",5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",Hyundai Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
