review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
51760,Warwick,QLD - 4124,QLD,4124,True,2018-08-25,25 August 2018,1.5,,When they came and fitted finally they left my roof totally destroyed with dents .They left my powerboard in a potentially dangerous condition with half the wiring loose at connections and the rear circuit disconnected.When I contacted the salesman he said nothing could be done that night but he would arrange to have my roof replaced.AFTER MANY YEARS I AM STILL WAITING FOR SUCH REPAIRS TO BE UNDERTAKENI WOULD NEVER EVER RECOMMEND CLEAR SOLAR FOR ANY SALES OR INSTALLATION EVER !!!!!!!!!!!!!,1.0,3.0,1.0,1.0,2kW,Under $3000,,,,,,False,[],0,0
5648,Walter,SA - 5211,SA,5211,True,2012-09-14,14 September 2012,,,"It appears most 1.5kw systems are priced about $3000. These are systems using chinese made gear. German gear systems can cost double or more. I am taking my chances, thinking they can not be that much better and the chinese do come with similar warranty. I have gone with a more known company that is widely represented with lots of installs. Also had a friend endorse them.",0,,0,0,1.5kW,Under $3000,Conergy,Smart Power Technology Co Ltd,,5.0,5.0,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_conergy.png'],0,0
1248,David,VIC - 3355,VIC,3355,True,2012-09-04,04 September 2012,3.25,,,3.0,3.0,4.0,3.0,3kW,"$3,000 to $6,000",a2peak power,Aerosharp,,3.0,3.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_aerosharp.png'],0,0
7282,Andrea,VIC - 3029,VIC,3029,True,2011-05-16,16 May 2011,3.5,,,3.0,3.0,4.0,4.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
5787,Frank,SA - 5033,SA,5033,True,2011-03-23,23 March 2011,4.25,,,4.0,4.0,5.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
4868,Pat,WA - 6215,WA,6215,True,2011-01-19,19 January 2011,5.0,,Beware of Aerosharp inverters.  Clear Solar sparky said they burn transisters.  We chose a Xantrax from Canada. My neighbour got the same system exactly.  He is pretty fussy but delighted with the installation and performance.  Also Clear Solar will instal within 4 weeks and the installers are seperate contractors instead of employees of the solar company.   They had done over 2000 installations and it showed.   Couldn't be happier.,5.0,5.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
4675,Peter,VIC - 3844,VIC,3844,True,2011-01-05,05 January 2011,5.0,,"It was 8 am on a Wednesday and 2 Vans with 4 electricians arrived to install my system. Every other company that I followed through with a more indepth quote told me that I could not get 22 panels on my north roof and would have to install on my west roof, which i did not really want. When the Clear solar electicians did the job not only did they get all 22 panels on my north roof but they could have fitted 23. I am an old school tradesman myself and I expect great personal service and a perfect job EVERY time if I am going to pay for it, (yes I am bloody fussy). The 4 electricians were all finished by 2.45pm the same day and if I was running my own solar business I would definetly try to poach those 4 extremely impressive electricians and Sam the salesman as service like that team gives is almost impossible to find these days. I would definetly recommend them and i am also going to organise them to put a system on my sisters house here in Traralgon as well.",5.0,5.0,5.0,5.0,4kW,"$10,000 to $15,000",,,,,,False,[],0,0
4576,Keith,VIC - 3225,VIC,3225,True,2010-12-29,29 December 2010,4.0,,,0,,0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
3869,David,VIC - 3030,VIC,3030,True,2010-11-22,22 November 2010,4.25,,,5.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
3264,Kiiri,WA - 6210,WA,6210,True,2010-10-23,23 October 2010,4.75,,Clear Solar were good to deal with. Informative and negotiable.,4.0,5.0,5.0,5.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
