review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
83609,Chris,QLD - 4700,QLD,4700,True,2020-11-15,15 November 2020,5.0,,Great communication from the sales team and not pressured at all. All the options provided and questions answered sufficiently.Installation was brought forward 3 weeks which was an absolute bonus. The install guys were professional and got the job done within the day.,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
67827,Tammy,QLD - 4702,QLD,4702,True,2019-08-27,27 August 2019,5.0,,ClimateCare was awesome! Kept following up with us even returning calls on weekend and offered a number of different solutions and when installers arrived exactly on time they worked out an awesome solution to a tricky and expensive problem that was unforeseen.,5.0,5.0,5.0,5.0,6.6kW,"$15,000 to $20,000",Jinko Solar,Sungrow,SunGrow,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png']",0,0
55732,Maggie,QLD - 4701,QLD,4701,True,2018-11-14,14 November 2018,4.5,,Our home had shading issues in the morning and also our roof orientations restricted how many panels on each face.  Andrew recommended that we install a Solar Edge Inverter which uses optimiser on  each of the panels . Yes a more expensive system then a string inverter but the performance of this system design will deliver on economics the return on investment is better.  Communication of the process from point of sale to installation was reassuring.,4.0,4.0,5.0,5.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
53564,Michael,QLD - 4702,QLD,4702,True,2018-10-03,03 October 2018,4.5,,,4.0,4.0,5.0,5.0,6kW,"$3,000 to $6,000",,,,,,False,[],0,0
51806,SIMON,QLD - 4705,QLD,4705,True,2018-08-27,27 August 2018,5.0,,I have now had 4 solar systems installed by Climatecare Electrical & Solar and can highly recommend their services.,5.0,5.0,5.0,5.0,5kW,"$10,000 to $15,000",,,,,,False,[],0,0
48210,Steve,QLD - 4701,QLD,4701,True,2018-05-25,25 May 2018,4.5,,,0,4.0,0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
33106,Paul,QLD - 4701,QLD,4701,True,2017-09-07,07 September 2017,4.75,,"Both in store service, emails, phone contact and installation were excellent.Very happy. These guys didnt do a negative on there opposition they simply sold themselves better with the way they went about things and their patience with me and attitude to service.",4.0,5.0,5.0,5.0,4kW,"$6,000 to $10,000",SunPower,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
37874,Bob and Leigh,QLD - 4702,QLD,4702,True,2017-08-30,30 August 2017,4.75,,"Excellent service, good quality products and they listened to what we wanted and delivered on it.They also helped with getting Ergon to fix high AC issues (+253V at times) on the local feed in power circuit.Ergon measured the line AC for a week, then adjusted the transformer, now all good.Installation = 22 x Winaico 275W PERC Panels, Fronius Primo SCERT 5kW Inverter,Fronius Single Phase Energy Meter (a must have), relay to run hot water system during the day (free hot water).Currently (August 2017) pumping out ~30kWhrs / dayVery happy, excellent result. :)",4.0,5.0,5.0,5.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
35938,Charlie,QLD - 4710,QLD,4710,True,2017-05-31,31 May 2017,4.0,,,3.0,4.0,0,5.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
30951,Ray,QLD - 4714,QLD,4714,True,2017-05-01,01 May 2017,4.25,,"ClimateCare Electrical were happy to discuss my needs and possible further requirements and negotiated a price from there. The installers did a good job , they did the job on the day that I was told , and left after thoroughly cleaning up the site. A good job and I would recommend ClimateCare Electrical without hesitation.",4.0,4.0,4.0,5.0,3kW,"$3,000 to $6,000",Zhongli Talesun Solar,Zeversolar,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_zhongli-talesun-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_zeversolar.png']",0,0
32480,Stephen,QLD - 4702,QLD,4702,True,2016-11-25,25 November 2016,4.0,,"I went with this company because they are local and my experience in initial stage was great and they stated that they stand by there product and only deal in quality product hence quoted price about 30% higher than company like euro solar, but cheaper than another solo electrician that quoted slightly more and who stated that he couldn't do better on price which was about 20% dearer than the one I had settled for. You really have to shop around and research products and talk to people in game in order to decide which way to go as there is so many solar brands out there.",4.0,4.0,4.0,4.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
29125,Steven,QLD - 4703,QLD,4703,True,2016-10-06,06 October 2016,4.33,,System has not been installed. Installation will start about the 1/02/2016,4.0,5.0,0,4.0,5kW,"$6,000 to $10,000",Talesun Solar,Goodwe,,5.0,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
29579,Steven,QLD - 4703,QLD,4703,True,2016-02-29,29 February 2016,4.75,,The team at Climatecare have done an outstanding job installing our solar unit.After sales service was top of their priorities ensuring that they delivered on the system that they recommended.A pleasure to have met the team a ClimateCare.Steve,4.0,5.0,5.0,5.0,More than 6kW,"$6,000 to $10,000",,,,,,False,[],0,0
27477,Darren,QLD - 4700,QLD,4700,True,2015-09-09,09 September 2015,4.0,,"All of the installers recommend by the site were professional on knowledgeable, i based my decision on price and promptness of the quotes.  I chose to install micro inverters at an increased cost.  All said that they could do it but climate care were on it straight away and had a quote to me the next day.  As they had installed very few of these the set up of the controller unit took a little longer but now they know it should be better.  All in all it was a painless process and i am comfortable i got the best price i could for a reputable product.",4.0,4.0,4.0,4.0,3kW,"$6,000 to $10,000",,,,,,False,[],0,0
26406,Greg,QLD - 4700,QLD,4700,True,2015-06-08,08 June 2015,4.0,,,4.0,4.0,4.0,4.0,6kW,"$3,000 to $6,000",,,,,,False,[],0,0
21989,Ray,QLD - 4710,QLD,4710,True,2014-03-18,18 March 2014,4.0,,,4.0,4.0,4.0,4.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
