review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
134322,Bernard,NSW - 2114,NSW,2114,True,2025-06-13,13 June 2025,4.75,,"Installation went well on 27/5/2022 & 1/6/22. Has been working well for last 3 years. SolarEdge 10kWh battery, Solar Edge optimisers, Hyundai panels.",5.0,4.0,5.0,5.0,5kW,,Hyundai Solar,SolarEdge,SolarEdge,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solaredge.png']",0,0
123643,Jess,SA - 5066,SA,5066,True,2024-07-04,04 July 2024,4.5,,"The solar PV system and Tesla battery were installed by DQ Electrical, a contractor employed by Clipsal Solar. Don's team was excellent, and the installation was very neat.The system was excellent value as we qualified for the SA Government battery rebate of $6,000 and enrolled onto the Simply Energy VPP which we received $3,000 (both are no longer available)The monitoring platform is not as good as others; it does not send a warning if the system is not operating and does not integrate with the battery. I need the Tesla app to check the battery state. I have dual-pointed the monitoring device to Solar Analytics' website (since it is the same device), and I use Solar Analytics for technical support and queries. They respond in days, not weeks, and they know their stuff.Overall, it was a great installation with an average app, does not do what is states and poor and slow customer service.",5.0,5.0,5.0,3.0,6.6kW,"$12,500 to $15,000",Hyundai Solar,Fronius,Tesla Powerwall 2,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
123001,Muhammad,VIC - 3047,VIC,3047,True,2024-06-12,12 June 2024,3.5,,10K difference on same materials.  Unfortunately found that out after committing to install solar & battery. Not worth the money at all.,1.0,5.0,3.0,5.0,6.6kW,"$12,500 to $15,000",,Goodwe,Goodwe,,1.0,1.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_goodwe-battery.png']",0,0
114194,Hayden,NSW - 2337,NSW,2337,True,2023-09-07,07 September 2023,3.0,,"Tom from Phased Electrical did the instal and was spot on.Clipsal monitoring and backup service is a joke.Ive had nothing but issues communication from the inverter and App.Clipsal want you to raise a ""ticket"" then they send an email .... so you can fix it yourself.Absolute trash customer service. has been an issue since installed.Steer clear of Clipsal and their so called monitoring system.",3.0,3.0,5.0,1.0,6kW,"$15,000 to $20,000",,SolarEdge,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png'],0,0
103797,Andrea,NSW - 2221,NSW,2221,True,2023-08-07,07 August 2023,4.5,,"We went with Clipsal after getting quotes from 4 other suppliers – we didn't do this intentionally but for a $10k spend it seemed necessary to do homework!Clipsal wasn't the cheapest but we were confident that they had been around for a long time and would (hopefully) continue to be, unlike others who had incredibly high SolarQuotes and Google reviews but had only been around 5 years.The quote was not as clear as others – had to dig to find the actual dollar figure. The installers (subcontractors) were great, super easy going – but didn't tell us about an antenna that was in the way until we asked (they removed it for us!)The Clipsal Cortex app is also very informative. We've been running around the house turning on and off things to see the effect. It's a lovely moment to see the house is running on 100% solar.",5.0,5.0,4.0,4.0,9kW,"$8,000 to $10,000",Trina,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
100529,Nathan,VIC - 3141,VIC,3141,True,2023-04-08,08 April 2023,4.75,,"Jake from Clipsal was a breath of fresh air after getting repeated daily calls from another provider.Jake was honest, detailed, not overbearing and happy to help.More than that, I am very happy with the installers they use and the Clipsal app that allows me to understand usage and investment payback time.",5.0,5.0,5.0,4.0,8kW,"$10,000 to $12,500",Jinko Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
95851,Victor,ACT - 2611,ACT,2611,True,2022-09-30,30 September 2022,3.75,,"Terrific sales team, responsive and interested, sharing own system. Wasn't really given other options for shading, only solar edge and retrospectively probably didn't need to bother about shading at all once the site inspection was done.Installation was quick and polite half day for the process one broken tile swapped out appropriately.Been 2 weeks and waiting for the grid connection but confident it will be setup",4.0,5.0,4.0,2.0,6.6kW,"$6,000 to $8,000",Trina,SolarEdge,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
96266,Peter,VIC - 3088,VIC,3088,True,2022-08-19,19 August 2022,4.5,,The sales quoting process was fine l will be able to give more information after the system is installed and up and running,4.0,4.0,5.0,5.0,6kW,"$6,000 to $8,000",LG,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
95777,David,ACT - 2606,ACT,2606,True,2022-08-08,08 August 2022,4.75,,"Very happy with the quote and explanation of the entire system. Installer attended at the arranged time. Only reason for the 4 stars is due to (still) waiting for a cable to be installed so system can start working, and I'd like to highlight that this is only a minor gripe.",5.0,5.0,4.0,5.0,8kW,"$10,000 to $12,500",Trina,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/oneyear/thumbnailsx83/69871694076f80b00517e93df26c4745.jpg']",0,0
101111,Trent,VIC - 3352,VIC,3352,True,2022-07-04,04 July 2022,2.0,,"Sales team are the only ones who will call you, everyone else you'll have to chase.  Clipsal 'Pulse' / 'Cortex' Monitoring system is always wrong, values never match what is actually happening.  you'll need to provide a separate Wifi / internet connection if you have a battery as the connection provided by Clipsal only monitors the inverter / grid connections.  No after-install support is forthcoming.  Installation provided by external contractors with no quality control procedures to ensure they've done things correctly.  When Problems occur in installation they rely on external inspectors to rectify rather than correct it themselves.  Products are shipped across the country and back instead of direct from warehouse / suppliers to install address.  Avoid at all costs.",3.0,3.0,1.0,1.0,13kW,"$15,000 to $20,000",Hyundai Solar,Goodwe,LG Chem,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_lg-chem.png']",0,0
100309,Jessica,ACT - 2617,ACT,2617,True,2022-06-01,01 June 2022,5.0,,"All the companies SolarQuotes gave us were fantastic. We found it difficult to make a decision in the end (as we liked them all), however there were few reasons we ended up going with Clipsal.We did a lot of research on the panels & inverters, of all the quotes all the companies gave us, & really liked what Clipsal offered (SolarQuotes helped a lot with their articles, comparison pages, individual page run down & customer reviews).Clipsal's price ended up being the the best for what we wanted. We looked at total price & price per kilowatt of system we were getting. Including a full electrical box upgrade that was needed.They were patient with us with our many questions, & were professional, friendly, & happy to answer anything we threw at them at any stage.We got worried when we found out it wasn't Clipsal directly installing the system, but another company. They reassured us that Clipsal use verified installers and electricians for site? inspection and installation, & that all the warranties are supported by Clipsal Solar. For us here in Canberra, we had Majura Electrical install our system, and they have been absolutely fantastic to deal with too (friendly punctual, accommodating, happy for questions, follow through with what they say, and we were lucky enough to have the system installed only 2-3 weeks of waiting after accepting the quote).We installed going into winter, the worst time for solar, but we already love it. I love how it looks, all the benefits for us & the environment, Pulse (the monitoring app). It helps keep track for solar generation, what I'm selling to the grid, what I'm buying from the grid, my savings, this data as a live feed, daily count, total count for the bill period & total since installation. I'm finding it helps modify my behaviours to get the most out of solar like changing when I run the dishwasher & washing machine, etc.I'm really glad we went with solar & can't wait to see how it performs in summer.",5.0,5.0,5.0,5.0,7kW,"$10,000 to $12,500",Hyundai Solar,SolarEdge,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/252df984e4bbe86e9ea61f122ed9d3e30.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/252df984e4bbe86e9ea61f122ed9d3e30.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/06fc56714a9287882f56dd8cea449e2c1.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/06fc56714a9287882f56dd8cea449e2c1.jpg']",0,0
98680,Peter,ACT - 2602,ACT,2602,True,2022-03-22,22 March 2022,4.5,,"Initial customer service was prompt and efficient and Jake was very easy to deal with. It took us a while to settle on a quote and get body corporate agreement (3 months) and Clipsal gave us plenty of time and space to make the decision, checking in with us maybe once via email. More importantly they didn't call me once a week to check in...which was a big plus as I hate getting phone calls and have my phone off most of the time anyway. Unlike some other quotes they also got identified our apartment correctly first time and didn't send quotes for different buildings.I had asked for clip locks for the panels which were included in the first quote, but in the second quote after i'd asked for a different inverter, the clips were left off. Meaning the final quote i accepted needed to have an extra $600 added to account for that, which was annoying but i should have looked more closely at the quote. They also didn;t include the cost for the scissor lift in the initial quote, which was annoying as it was obvious that it was a townhouse and one would be needed. But upon me complaining they waived the cost of the scissor lift which was ok in my books.Installers were professional and friendly.",4.0,5.0,5.0,4.0,6.6kW,"$8,000 to $10,000",Hyundai Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
98679,Pamela,SA - 5043,SA,5043,True,2022-03-22,22 March 2022,5.0,,"The quote and advise was very helpful in selection of the system. The installer who were subcontractors arrived on time were polite and helpful and left the premises tidy. The grid connection was organised which didn't happen for over a month as there is no nbn to the premises another part had to be sourced and installed it took another sixteen day for the meter to be changed. Overal, it took a long time.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Hyundai Solar,Goodwe,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/55ce0460fd1e2a48bff448ef5a6de6560.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/55ce0460fd1e2a48bff448ef5a6de6560.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4e53c6ff35a5b41474130fd9aeee61081.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4e53c6ff35a5b41474130fd9aeee61081.jpg']",0,0
98197,Edward,NSW - 2519,NSW,2519,True,2022-03-01,01 March 2022,4.75,,"Sales process was smooth and provided a range of quotes.Clipsal make use of local/outsourced installers, who have done an excellent job keeping in contact and managing the install.Install is not yet complete due to weather, but looking forward to getting it up and running!",4.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",Hyundai Solar,SolarEdge,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
98188,Neville,VIC - 3081,VIC,3081,True,2022-02-28,28 February 2022,5.0,,Clipsal Solar were and continue to be extremely helpful and supportive. The installation was efficient and professional and the installers were great. Clipsal Pulse makes it so easy to monitor your system and the development team are always open to suggestions for improvement.,5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",Hyundai Solar,LG (Other),,,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png'],0,0
97641,Luis,ACT - 2906,ACT,2906,True,2022-02-08,08 February 2022,4.0,,"This team provided the best easy to understand quotation and explanation.The follow up about each step that could I required for the Solar system to install was explained in detail.The installer  were very polite and easy to deal with, timing was good despite it was a rain in between.I've decided to go for the battery installation, that is not going to be easy due the issues with the supplier that also has been explained",4.0,3.0,5.0,4.0,6.6kW,"$8,000 to $10,000",Hyundai Solar,Hyundai pannels LG inverter (Other),LG Chem,4.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_lg-chem.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/0adf0ec9b6208219a535576ebc59d5110.PNG']",0,0
96892,Mike,NSW - 2800,NSW,2800,True,2022-01-11,11 January 2022,5.0,,"From quotation to commissioning, Clipsal Solar’s advice, attention to detail and support have been simply outstanding. We had a 5KW system, to which we wanted to add a battery and additional panels. Why? We had watched as declining feed-in tariffs and rising buy rates for power led to some truely shocking power bills, and wanted our solar system to make large power bills a thing of the past. Jayden from Clipsal Solar understood what we wanted to do and gave us three very professional and easily-understood quotations for us to consider. We chose the one which was the most future-proofing one, and it was duly installed - no mean feat during times of regional lockdowns, business and travel restrictions and the like - but we were reassured by the communications throughout from Clipsal Solar’s technical and support people. Pulse, Clipsal’s analytic package was installed and has ensured that system health and performance has been monitored since commissioning.The result? Our existing 5KW system is fully integrated with the new 6.6KW system in the charging of our 13KWh LG Resu battery, and in the export of surplus power to the grid thanks to the Goodwe 5048D inverter. Our monthly power bills have always been in substantial credit since the new system was commissionedWe simply cannot fault the performance of Clipsal Solar at every step of the process and would recommend their services without reservation.",5.0,5.0,5.0,5.0,6.6kW,"$15,000 to $20,000",Trina,Goodwe,LG Chem,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_lg-chem.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/3ca8672a77212a9e651ef370874d96cb0.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/2ec88d90ae52611e912fbaab101544331.jpeg']",0,0
89890,Mark,NSW - 2093,NSW,2093,True,2022-01-05,05 January 2022,4.5,,"Sales and quoting was easy, with people doing what they said they would do. Lots of good information from the guy who came out to quote.Installation was done on schedule, with the guys taking care with everything to my satisfaction.Grid connection was done yesterday and already at 9am our home is 66% self powered.Looking forward to seeing those power bills drop.",4.0,4.0,5.0,5.0,10kW,"$6,000 to $8,000",Trina,Fronius,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
