review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
138759,Richard,WA - 6014,WA,6014,True,2025-10-21,21 October 2025,5.0,,"In 2022, Solar My Home(Solar Connect) doubled the size of our existing solar array and added a Fronius Gen24 Inverter/BYD battery system.The sales, installation and all ongoing support by Brad and his team has been extremely impressive and we wholeheartedly trust and recommend the company.A good example would be when a fault developed last month with one of the original solar panels.Solar Connect diagnosed the problem, temporarily isolated the faulty panel and then arranged and installed a warranty(!) replacement of the failed panel that had been installed back in 2014 by a different company. All without any input from us!",5.0,5.0,5.0,5.0,13kW,"More than $20,000",Canadian Solar Inc,Fronius,BYD,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_byd.png']",0,0
136391,Michelle,WA - 6061,WA,6061,True,2025-08-23,23 August 2025,5.0,,"The service from day one was fantastic with a competitive quote - they were responsive regarding what we wanted currently for our solar, battery, and EV charger system as well as future increased electrical use and helped us determine the right products.Fantastic communication at every step, including when the state government changed the rebates, and always arrived on time. Also very helpful with 2-step install of the panels due to our roof not having sufficient supports in some areas and needing some additional steel, maximising the number of panels on the roof.The whole system is doing every we want - plenty of solar to keep both the battery and car charged with solar and minimising our peak costs.",5.0,5.0,5.0,5.0,10kW,"More than $20,000",Jinko Solar,SolarEdge,SolarEdge,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_solaredge.png']",0,0
133006,Matt,WA - 6023,WA,6023,True,2025-05-01,01 May 2025,5.0,,"After taking my first decision to have solar installed I needed help and advice.  The 3 companies suggested by Solar Quotes were all completely different which was great for me and I learnt so much from each.  I made my final decision on a number of criteria and all boxes ticked for Brad the Director of Connect Solar who pointed out a neighbour's installation they had recently completed.  The quote was extremely competitive and included all extras that would be required so no surprises add-ons.   Installation was scheduled for a few weeks time and no deposit or upfront payment was required.  The team arrived early morning and got straight to work, with only a handful of broken tiles the completed project was signed off by 2pm the same day following detailed debrief and app explanation.   BRILLIANT!!!  Wish I had been brave enough to go for it ages ago.",5.0,5.0,5.0,5.0,6.6kW,"$2,000 to $4,000",,,,,,,False,[],0,0
127817,Heather,WA - 6153,WA,6153,True,2024-11-11,11 November 2024,5.0,,"Very happy with Solar My Home who installed our system. Left with a few questions after sales rep left but Brad was quick to answer our queries. The other company who quoted were impressive too but didn’t offer the inverter we preferred. All of the paperwork was done for us and Installation was quick and efficient. Happy to recommendWe had great peace of mind, knowing that the companies we spoke to had been filtered by Finn",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,SolarEdge,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
126259,Colin,WA - 6020,WA,6020,True,2024-09-24,24 September 2024,4.75,,"The sourcing of quotes was very easy and we received multiple quotes very quickly. All were very informative which made our choice of supplier easy. Then the process of installation was most efficient. Performed by a skilled and helpful team, leaving us very impressed and thankful for their guidance and help.",4.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Fronius,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
126184,Keith,WA - 6155,WA,6155,True,2024-09-20,20 September 2024,4.75,,"Did what they said they were going to do, ahead of time. Were happy to work with us to amend the contract after we decided to go for a larger system. And didn't rip us off in the process.",4.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,Sungrow,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
123394,Ian,WA - 6076,WA,6076,True,2024-06-26,26 June 2024,5.0,,Rapidly addressed the request for quote and kept things simple. I have it installed and as yet to see the invoice.,5.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",Jinko Solar,SolarEdge,SolarEdge,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solaredge.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/eea0dd5af7995f1c15ee2d00a28942e70.jpg']",0,0
122784,Jim,WA - 6024,WA,6024,True,2024-06-04,04 June 2024,4.75,,Listened and answered our questions. Made sure we got the right system for our situation. Adjusted for our shade issue.,5.0,4.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
122648,Glenn,WA - 6026,WA,6026,True,2024-05-30,30 May 2024,5.0,,"Everything was easy through the whole process. Prompt in person quote, was happy to answer all my questions. as well as my follow up phone calls as I was learning more about the process. Was flexible on different brands if I wanted, where other installers weren't as flexible on this.Punctual on the day of the install, team were all very polite and tidy, leaving the area as clean as when they came.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
122557,Rochelle,WA - 6065,WA,6065,True,2024-05-28,28 May 2024,5.0,,"Brad was great. Very relaxed sales approach and explained everything well, no industry jargon.Everything went smoothly, good communication throughout the process.Installation team were on time, polite and cleaned up after themselves.Would have no hesitation in recommending Brad and the team.",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,Fronius,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
