review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
105176,Rodney,VIC - 3195,VIC,3195,True,2023-09-04,04 September 2023,4.75,,"Vernon of Cove Technologies provided all relevant information, was personally accessible and prompt in his quoting.  His team of employees arrived on time, were polite and respectful and left our premises clean and tidy.The grid connection was prompt and the system is working to expectations.I have already referred a number of friends to Vernon for quotes after they heard of our positive experience.",4.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",REC,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
104531,Mark,VIC - 3936,VIC,3936,True,2023-08-14,14 August 2023,4.5,,"Right from the quote stage through to installation and connection we found Vernon and his team very professional,knowledgeable and polite. He not only runs the business, but he also owns the business. He obviously takes a lotof pride in his work and was a pleasure to deal with. I would happily recommend Cove Technologies.",4.0,4.0,5.0,5.0,5kW,"$4,000 to $6,000",Jinko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
99706,Cameron,VIC - 3939,VIC,3939,True,2022-05-07,07 May 2022,4.75,,"From day one, Vernon was a pleasure to deal with. He is incredibly knowledgeable about solar and approachable so I was able to ask any stupid questions I had in the lead up to choosing to go with Cove.I knew from my own research that installing the maximum number of north-facing panels that my roof could support would be the way to go to provide sufficient energy for our growing family. The proposal that Cove gave me through OpenSolar was reasonably (but probably not the absolute best) priced, and everything was clearly explained in advance, from why the inverter and panel configuration was chosen to maximise output, to the practicalities of mounting the panels onto the roof. Over all, Vernon made it very easy to choose Cove over other installers.The install was a breeze as well. Vernon and his team completed the installation of 12kws of panels over two days. The team were professional and treated our home and garden with respect. I mentioned to Vernon that I had put down a deposit on an electric vehicle, so he immediately proposed changing the mounting of the inverter to provide additional space for the future installation of an EV charger. The installation was completed to a very high standard and the whole setup looks neat and well thought out.Finally, the process of claiming the Victorian government incentives and the STC credits was also effortless. Vernon is in the process of organising the connection to the grid right now so that all the excess energy our huge system pumps out can be fed back in to further reduce our power bills.I really cannot recommend Vernon highly enough. My neighbour saw the team on the roof during the install along with the obvious quality of the final setup, and promptly passed his contact details onto Vernon for a quote for his own place. I'm also going to recommend Vernon and the team at Cove to all my friends and family who are now all of a sudden very interested in the potential of solar after my glowing reviews.",4.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Jinko Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/aea1c3e7281c474c007f87f336501d360.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/1811a9a258595d1bcc15431f348358341.jpg']",0,0
98083,Jamey,VIC - 3193,VIC,3193,True,2022-02-24,24 February 2022,5.0,,"Vernon and his team did a great job over 2 days.I did my homework and thought I wanted a certain system.  After speaking with Vernon he said the palm trees would shade a certain area and reduce the system output.  The micro inverter system with Enphase was the way to go.He took the time to show me the difference and overall impact that it would make.Convinced I agreed and couldn’t be happier.My electric bill was between $660 and $1,600 a quarter - pool pumps etc etc …My first summer bill after install $228 and I am using way more electricity runny pool pumps and heat pumps etc etc - live in MelbourneThe Enphase App changes the way you use electricity.  You can see what turning off a device does to your requirements.I am fortunate to have a big roof with 22 panels and love the new system and my reduced bill.Thanks Vernon and team!",5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",Jinko Solar,Enphase,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
98074,George,VIC - 3939,VIC,3939,True,2022-02-23,23 February 2022,5.0,,Vernon and his crew were such an amazing people to deal with.  I have to be educated to know what to install and Vernon has been calm and patient in explaining.  The team has been prompt and professional before and after the installation.,5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",Jinko Solar,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
94804,Anna,VIC - 3195,VIC,3195,True,2021-10-31,31 October 2021,4.25,,I have excellent experience with installation of solar panels and inverter by Cove Technologies. Cove Technologies delivered high quality installation at agreed time and cost. I've been very pleased to get a detailed consultation on the system that can address my requirements. My technical questions and emails were answered in a timely manner. Installation went smoothly and Cove Technologies helped me to organise the grid connection after install. I recommend Cove Technologies as a high professional and reliable company with amazing technical expertise and customer service.,3.0,4.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,SolarEdge,,4.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
94787,Jamie,VIC - 3910,VIC,3910,True,2021-10-30,30 October 2021,5.0,,"Cove Technologies were exceptional, they made the whole process so easy from start to finish.  I told them what my requirements were and they recommended the best system available to handle the job!  The installation was seamless and they cleaned up after they’d finished.  They’re experts in their field and I would highly recommend anyone using their services. 10 out of 10!",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Jinko Solar,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
94710,Louis,VIC - 3930,VIC,3930,True,2021-10-27,27 October 2021,5.0,,"Extremely positive experience dealing with Vernon and the team at Cove. Vernon was nothing but professional (and personable) throughout the process of having a new solar system installed. He took the time to talk through options and discuss my individual needs and concerns. Very happy with the end result, not a single issue or concern and cannot recommend highly enough.",5.0,5.0,5.0,5.0,10kW,"$4,000 to $6,000",Jinko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c7fc58da97eeebf4ac4fbcb3840a1f870.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/6fc7a05fd19029c4bbb40c4326a518e31.jpeg']",0,0
94659,Tim,VIC - 3199,VIC,3199,True,2021-10-26,26 October 2021,5.0,,"Cove were really excellent to deal with, during a time of lock-downs and period when they were forced to stop work they were excellent in communicating and kept me informed. They did such a good job I had them come back and install a battery as well. Vernon is a really friendly down to earth bloke.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Jinko Solar,SolarEdge,LG Chem,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_lg-chem.png']",0,0
94588,Christopher,VIC - 3195,VIC,3195,True,2021-10-22,22 October 2021,5.0,,"Vernon and his team at Cove technologies have been an absolute pleasure to deal with in every way!I cannot recount how many times other professionals (airconditioning installers, builders, etc.) have attended our home, only for my wife to get pushy, arrogant, rude and condescending behaviour. Questions however small are treated as an inconvenience, if they are addressed at all. If these were small purchases i'd understand, but we're talking into the 10's of thousands of dollars - for that amount of money i expect some civility and an answer... Anyhow, rant over :)Vernon runs his own business and takes care to ensure he is not taking on too many jobs so he can give his customers the care and attention they need. I never felt as though we were being pressured into a decision on the system we inevitably went with. Several options were provided and i revised them more than a few times. I had some specific requirements and I never got the impression we were being fed particular systems for his installers convenience. I'm surely not the easiest customer to deal with, I sent Vernon quite a few lengthy questions via email and he was always swift to answer with the detail i wanted, and these were not one liners, but considered responses which i appreciated.We moved into our first home at the same time as having our first childNo complaints, except i suppose that Cove does not do batteries, and (obviously no fault of Vernon's) we didn't get the same lovely experience with our battery installers sadly.Cove did a few other jobs for us (running Cat6a interior and exterior, installing a small server rack, relocating NBN connection point, installing downlights, installing powerpoints, installing a new antenna and cabling, running some special Displayport over optical fibre cables at great lengths, as well as some optical fibre through conduit) all of which is working perfectly.Some of the downlights were faulty and Vernon's team have attended site to retrieve them (i think the next day?) and provided replacements. They've been exceedingly helpful! If you are considering them, i cannot recommend them highly enough.",5.0,5.0,5.0,5.0,15kW,"More than $20,000",SunPower,Enphase,Tesla Powerwall 2,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
