review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
125664,Don,QLD - 4109,QLD,4109,True,2024-09-04,04 September 2024,5.0,,"DK Electrical installed our 6.6kW PV system in Jan 2024. Jinko Tiger Neo panels, 5 kW Sungrow inverter, Schletter racking, Catchpower relay to solar power the hot water system. After 7 months of operation, I am very happy with the result. On a sunny winter day, I get the max 5 kW output from unshaded panels facing north and west. The best possible result, and the electricity bill is much lower now.I chose DK because they had the best combination of: quality hardware; good price; good reviews; own staff do the work. The team were happy to answer all my numerous questions. They had bad luck with wet weather and they coped with that well. They went above expectations in replacing some cracked tiles they found, which were not their fault.DK promptly provided a detailed quote. After installation they arranged the Energex connection and explained customer matters such as operation of the inverter. DK also provided a detailed user manual with useful maintenance and warranty info.I can recommend DK as a team who are cooperative, know their subject and do a quality installation.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
123409,Mark,QLD - 4051,QLD,4051,True,2024-06-27,27 June 2024,5.0,,"Everything about the process with DK Electrical was top notch, from the initial contact, to explaining all the information, the install and the followup - very happy to recommend them.",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_zappi.png']",0,0
113263,Phil,QLD - 4069,QLD,4069,True,2024-06-21,21 June 2024,5.0,,"I could not the happier with DK Electrical: right from the quotation visit to completion of the install. Let me reiterate that Scott Dillon made a very thorough analysis of how our system would work, and was generally very helpful at the time of quotation - I had a lot of questions, especially concerning futureproofing our system for growth.  Scott's manner was much less that of a salesman than an installer. I'm very happy with the install. The team worked well together, and were polite and helpful. Having an app to monitor the system is pretty cool!",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
122977,Andrew,QLD - 4173,QLD,4173,True,2024-06-12,12 June 2024,5.0,,"The team at DK Electrical were a pleasure to deal with throughout the entire solar installation process. Scott swiftly sent through a quote initially, which was very informative and well outlined.The installation went smoothly and their continual communication throughout the process has bene exemplary.I would strongly recommend this company to anyone with electrical and solar needs.",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Trina,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
113345,Linda  John,QLD - 4020,QLD,4020,True,2024-06-08,08 June 2024,5.0,,"The process of getting solar was made so much easier by looking at Solar Quotes website, which gave us lots of good information about what to look out for when buying solar. We got three quotes and all were very helpful and sincere but we particularly liked Scott Dillan who came to the house and did a thorough inspection. He was very punctual, polite and didnt try and push us into anything we didnt want, he also came back the following day to make sure that we were happy that everything went according to what he had promised. He connected the solar app to my phone so that I can monitor how the solar is working etc. We are extremely happy with the customer service and all aspects of installation",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Trina,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
121939,Dom,QLD - 4207,QLD,4207,True,2024-05-08,08 May 2024,5.0,,All the staff at dk Electrical we delt with were great. From our inital inquiry to flicking the switch the process was easy and very efficent.,5.0,5.0,5.0,5.0,9kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
121549,David,QLD - 4077,QLD,4077,True,2024-04-26,26 April 2024,5.0,,"The sales and quoting system was very strait forward process. Scott answered all of our questions in a timely fashion. The quote was backed up with a video expiation and was very helpful.The removal of our old system and instal was very professional, tidy and the lads were all very polite. Scott went above and beyond helping my Wife who got locked out of the house gain access again.Connection to the grid was all handled by DK and was again a strait forward process.The one comment I would make before purchasing a solar system is, factor in the condition and suitability of your power board.",5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",REC,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
121479,Sabrina,QLD - 4171,QLD,4171,True,2024-04-24,24 April 2024,5.0,,I can highly recommend DK Electrical. Scott provided great information to help us decide on the system and the options in the quote were so easy to understand and well presented. The video of Scott explaining each option was especially appreciated. Scott kept us informed at each step and went the extra mile with installing our panels as we had a few idiosyncratic issues on our roof. We were happy with the price and the whole process. Very professional and responsive service. Thanks Scott!,5.0,5.0,5.0,5.0,20kW,"$12,500 to $15,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
121142,Pavel,QLD - 4104,QLD,4104,True,2024-04-12,12 April 2024,4.75,,"I was quite happy with moving forward with DK Electrical and so far I didn't regret my decision:- The price was reasonable (not the low-coster, but also not the top one, only necessary things in the offer);- Good quality solar panels (Jinko Tiger Neo);- Timely installation;- They were able to handle my complicated case (the access from the roof to the inverter place and then ot the board wasn't trivial);- I like both online measurement tools they provided;- They handled the whole process with my current electricity provider.",5.0,5.0,5.0,4.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
120738,Kael,QLD - 4221,QLD,4221,True,2024-03-28,28 March 2024,5.0,,"Amazing work and customer care by the whole team at DK electrical. We chose DK as we are based in south GC and they are represented locally, and offer a contact point long after the job is done giving us the reassurance we wanted to proceed. Great clean install, black on black panels to keep it discrete and hoping to slash our power bill to near zero. Cheers team",5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",Jinko Solar,Sungrow,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
120642,Neil,QLD - 4226,QLD,4226,True,2024-03-26,26 March 2024,5.0,,Everything about the whole process was smooth and enjoyable.So far the system is operating as promised.,5.0,5.0,5.0,5.0,9kW,"$6,000 to $8,000",,,,,,,False,[],0,0
120308,Arash,QLD - 4020,QLD,4020,True,2024-03-16,16 March 2024,5.0,,Installation went very smoothly . The team were very professional and organised.,5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",Phono,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_phono.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
120035,Rob,QLD - 4051,QLD,4051,True,2024-03-08,08 March 2024,5.0,,"Travis and his team were wonderful throughout the process of upgrading our old solar system to a new one. After a quick chat on the phone they helped us work out our options and presented them to us in a clear way that made it easy for us to make a decision. They organised the installation promptly and the team did a professional and efficient job, keeping us updated throughout the process. They ensured we were all setup and comfortable with using the system once the installation was complete. We'd highly recommend DK Electrical!",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Jinko Solar,Sungrow,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
