review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
30384,Greg,QLD - 4160,QLD,4160,True,2016-05-09,09 May 2016,2.75,,Beware of companies that go out of business. No after sales service when faults occur.,3.0,3.0,4.0,1.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
26433,Tom,QLD - 4124,QLD,4124,True,2015-06-11,11 June 2015,3.25,,"Diego, has gone missing. Not AvailableI guess he has faded into the back ground, no back up service etcA lady has his phone number now nothing to do with him.",4.0,4.0,4.0,1.0,1.5kW,Under $3000,,,,,,False,[],0,0
26430,Tom,QLD - 4124,QLD,4124,True,2015-06-10,10 June 2015,3.5,,"I have emailed the contractor Re an issue with the Solar Relay, he has yet to contact me about fixing it. I'm not sure how often he checks emails.I will ring & see if the response is better. After sales/fitting is a big part of keeping the system working at a premium.I need DPR to urgently fix the problem.",4.0,4.0,4.0,2.0,1.5kW,Under $3000,,,,,,False,[],0,0
24608,JENNIFER,QLD - 4165,QLD,4165,True,2014-12-10,10 December 2014,3.5,,"We have had the system for 2 years now and no problems.  I am concerned about the warranty on our product as someone else on this site ""Mary"" said they had gone out of business and the owner had returned to Argentina.",3.0,4.0,4.0,3.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
18953,Steve,QLD - 4128,QLD,4128,True,2013-06-11,11 June 2013,1.5,,"My system has been in for a year and has failed due to poor workmanship. The installation was not done correctly and it has caused my inverter to fault which is not covered by warranty. DPR Network gave a lifetime warranty on workmanship, unfortunately its useless as it seems the company doesn\'t exist anymore. All phone numbers just ring out. I notice a recent video posted to You-tube though by Diego Rondinone the director of DPR is him flying his new plane!!!",1.0,2.0,2.0,1.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
18805,Mary,QLD - 4285,QLD,4285,True,2013-05-28,28 May 2013,3.0,,"I believe this company is no longer trading!! We had a solar system installed in December 2012. When I tried to contact them in February/March/April, their free number goes to a generic message bank and the landline number from their website is disconnected! I'm very conderned about the warrenty of the solar system as the comany no longer exists. I did get a hold of the sales man, David, and he was very rude and noted he is only a contractor and works for many solar companies! Very disappointing as DRP Network sitll has their website up and running. David noted the owner has gone back to Argentina!",0,,3.0,3.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
17250,Hampton,QLD - 4160,QLD,4160,True,2013-01-17,17 January 2013,4.0,,"DPR net work gives me a decent quote, not the cheapest but not the most expensive. They were able to install the panels within 2 weeks, and carried out the work efficiently and so far everything is working perfectly. I can recommend them.",4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
17127,Allan,QLD - 4178,QLD,4178,True,2013-01-10,10 January 2013,4.25,,,4.0,4.0,5.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
16641,Steven,QLD - 4109,QLD,4109,True,2012-11-29,29 November 2012,4.5,,"No, nonsense get on the the job people, yet still friendly.Answered any question I asked.Work was performed to a high standard and was even asked to inspect their job.Recommend them highly!(being a Tradie, myself I don't tolerate crap workmanship)",4.0,4.0,5.0,5.0,1.5kW,Under $3000,,,,,,False,[],0,0
7401,David,QLD - 4019,QLD,4019,True,2012-10-01,01 October 2012,4.0,,"Their efficiency in timely installing.attention to finalization of the requirments of the connecting supplyer's.The quotes you suggested were quite reasonable an gave me a average market price,after dealing with some very dear quotes. One is very mindfull with big deposites ,how financially sound companies may be,before comitting to the contract.",4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",Juli New Energy (Other),Growatt,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
