review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
121258,Ross,NSW - 2540,NSW,2540,True,2024-04-16,16 April 2024,5.0,,"The quote was precisely what we were after,great advice was given with regards existing solar. Once we made our decision, the system was installed, within the time frame and at the quoted price. The instal was efficient and professional.  David was very easy to talk with, especially about our expectations of the new system. The grid connection was organised, we are very happy. The other two companies were also very customer focused and understanding when we let them know we had chosen another company. We had a 3.1kw and our new panels are 11.44kw with a 15kw gowe inverter",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Jinko Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b400041eab3a6300b3944488810645900.jpg']",0,0
115982,Donald,NSW - 2540,NSW,2540,True,2023-10-27,27 October 2023,5.0,,Quotes received via the 3 quotes service worked well as i actually received five quotes from contractors local to the Jervis Bay area and one from Sydney and one from Brisbane.I accepted the service of a local contractor near Jervis Bay whose terms and conditions were acceptable and who was able to carry out the installation within a week of acceptance but some weather problems arose however perseverance prevailed and all was tidied up several days later.Paperwork received regarding performance and technical issues were great.Several cement tiles were damaged however the contractor was given spares and replacement was carried out at no further cost.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Goodwe,,4.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
114487,Natalie,NSW - 2540,NSW,2540,True,2023-09-14,14 September 2023,5.0,,"David was exceptional.  Great communication both in email and on the phone, local company and the job was completed quickly.  The after sales was also good with help with the app over a weekend.  Highly recommended.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
104705,Bill,NSW - 2540,NSW,2540,True,2023-08-21,21 August 2023,4.25,,Initial contact was good. Explained reasons for panel location on roof. Very informative and provided good advice on how to obtain maximum efficiency from the installation. David was extremely punctual and the installation was done with no fuss. Everything was cleaned up afterwards. His customer service was excellent. He even answered follow up phone calls out of hours. Nothing was a problem. David provided all the information we needed to arrange meter reconfiguration but we had to contact or energy provider. We already have smart meters so everything was done remotely. I would certainly recommend David Borg Electrical if anyone is seeking quotes for solar installation.,4.0,4.0,4.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Goodwe,,5.0,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
112907,Richard,NSW - 2540,NSW,2540,True,2023-08-01,01 August 2023,4.75,,"Super knowledgeable. Didn't try to sell me anything. Provided honest, clear advice and helped identify the best value system that would suit my roof, especially with it's partial shading at certain times of year.He also did a good job installing and was helpful on next steps with my retailer. Highly recommended and I'll use David if I ever add a battery or any other upgrades.",5.0,4.0,5.0,5.0,10kW,"$10,000 to $12,500",Jinko Solar,Enphase,,,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png']",0,0
101355,Bruce,NSW - 2541,NSW,2541,True,2023-05-13,13 May 2023,4.75,,David was very prompt in organising the quote. Installation lead time was minimal. The work was completed quickly and professionally. I had prior experience with David Borg and was happy to use him again,5.0,4.0,5.0,5.0,8kW,"$10,000 to $12,500",Jinko Solar,Enphase,Tesla Powerwall 2,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_enphase.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
105016,William,NSW - 2540,NSW,2540,True,2022-11-02,02 November 2022,4.25,,"Quoting process went smoothly. Did not require a site visit, proposed system design was effective. Installation was very professional, turned up when he said he would. Gave basic instructions on how to connect which worked ok. Bit of difficulty getting connected to the Solarweb monitoring app.",4.0,4.0,5.0,4.0,6.6kW,"$6,000 to $8,000",,Fronius,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
103966,Stefan,NSW - 2577,NSW,2577,True,2022-09-26,26 September 2022,5.0,,"This was a complicated add on to my current solar system, and David did an excellent job. He was punctual, friendly and knowledgeable. Importantly he spent the required extra time to get all of the painful solar monitoring systems set up",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Jinko Solar,Fronius,,,4.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
103387,Bob,NSW - 2539,NSW,2539,True,2022-09-07,07 September 2022,5.0,,Very happy with the work. System is generating above average power for this time of year.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
103261,John,NSW - 2540,NSW,2540,True,2022-09-05,05 September 2022,5.0,,"Sales and quoting were very quick including a visit to the property.The installation was very quick, neat, tidy and extremely professional.David took care of everything including grid connection. All I had to do was download a phone App and organise the installation of a new smart meter through my current electricity retailer.I highly recommend David Borg Electrical & Solar to anyone in the area considering a solar system.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Jinko Solar,SolarEdge,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
102662,Greg,NSW - 2540,NSW,2540,True,2022-08-16,16 August 2022,4.0,,The quote was good and the installation was done promptly and as promised. So far the system is working well.,4.0,4.0,4.0,4.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
