review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
136265,Shayla,TAS - 7172,TAS,7172,True,2025-08-20,20 August 2025,5.0,,"I could not recommend Derwent electrical enough! The sale/quoting process was quick and easy! They did not constantly hassle us and we did not have to make a decision on the day, unlike other companies we had received quotes from.Once we had finance the installation was so quick. They were polite, tidy and got the job done quick and efficiently. No matter who you dealt with they were also was so nice and friendly and never made you feel like any question was silly. If you are looking at getting solar contact them, you won’t regret it!",5.0,5.0,5.0,5.0,9kW,"$10,000 to $12,500",,,,,,,False,[],0,0
134748,Louise,TAS - 7022,TAS,7022,True,2025-06-29,29 June 2025,5.0,,"Sam was very easy to deal with and explained the whole process. He organised everything and made it so easy from my end. The team were punctual and obliging. I also had an EV charger installed and the app on my phone shows me how well the solar is working for me, love it!  I’ve recommended Sam to all my friends who are thinking about installing solar!",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
133703,Sarah,TAS - 7030,TAS,7030,True,2025-05-22,22 May 2025,5.0,,"Sam was proactive, efficient and informative. Quick turn around with no hassle.Showed up on time, provided two competitive proposals promptly. Provided guidance and support through the process / installation. Excellent customer service and knowledgeWill continue to recommended to friends and family!",5.0,5.0,5.0,5.0,8kW,"$8,000 to $10,000",,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/42ca51ea87f5a1aadd419292f40cf27b0.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/bc69313c061ce1a1e532b7e266c1289c1.jpeg']",0,0
133697,Sean,TAS - 7053,TAS,7053,True,2025-05-22,22 May 2025,5.0,,"From start to finish Sam has been very good, from discussing alternative systems and taking the time to explain the options and great communicationWe also had trouble with our wifi in Taroona and Sam was able to hard wire a component of the solar system.I obtained numerous quotes and spoke with different installers and I believe I made the right choice with Derwent ElectricalDefinitely recommend and will use them again.",5.0,5.0,5.0,5.0,7kW,"$6,000 to $8,000",,Fronius,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
133160,Kerry,TAS - 7171,TAS,7171,True,2025-05-06,06 May 2025,5.0,,"Had been thinking about having solar panels for several years and noticed a neighbour having them installed.  We were impressed with how neat the work was, so of course, on enquiring found that the installers were Derwent Electrical. Hubby had a chat with Sam, quote was given, was impressed with price and not long long after we had our solar panels installed. Sam and his workers were polite  and hard working. Sam sat down with me after the panels were up and running  and explained how it all worked. He also had the “Monacle” downloaded on my iPad and explained how it worked.I get a lot of pleasure checking the Monacle app as it shows not only the amount of solar energy that is coming in, but what energy is being used within our home and how much is being exported back to the grid.I can honestly say that it has been an absolute pleasure to have chosen Sam and his team to install our panels.",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
132713,Aaron,TAS - 7172,TAS,7172,True,2025-04-19,19 April 2025,5.0,,"Speedy installation, great communication and good value for money.Sam communicated every stage of the installation process and did it in no time.Sam explained how the system works and how to use the app.Very happy",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",,Goodwe,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
132704,Geoff,TAS - 7018,TAS,7018,True,2025-04-19,19 April 2025,5.0,,Had the best experience with Derwent Electrical. They came and quoted when they said they would. The installation was done in the time lines and the work was First Rate. No mess no fuss with these guys. Would recommend there work to anyone.,5.0,5.0,5.0,5.0,8kW,"$0 to $2,000",,Fronius,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
132680,Carissa,TAS - 7171,TAS,7171,True,2025-04-18,18 April 2025,5.0,,"Derwent Electrical were extremely professional, from quote to install the process was seamless and stress-free. Sam sat down with us and explained the system, the best option for our roof design and solar needs and gave an honest and helpful breakdown of the costs and benefits.Install was smooth, all the paperwork and grid connection was organised by Derwent Electrical, and we were up and running without a glitch.The most reliable and cleanest tradesmen I've ever come across! Wasnt a speck of dust or a piece of wire or packaging left behind and the run through on how everything worked was easy to understand.Thank you Sam and the team! Extremely happy with our install, running up a nice little credit on our power bills and loving the solar life!We've told all our friends, family and colleagues there is none else to use but Derwent Electrical.",5.0,5.0,5.0,5.0,13kW,"$12,500 to $15,000",Aiko Solar,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_aiko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
132645,Kahryn,TAS - 7172,TAS,7172,True,2025-04-16,16 April 2025,5.0,,"Had a fantastic experience with my solar panel installation! The team was efficient, professional, and clearly passionate about what they do. Their knowledge made the whole process smooth and stress-free. Sam was especially helpful — always available to answer questions over the phone and went above and beyond to ensure everything ran seamlessly. The products are top quality and offered at a great price. Highly recommend if you're looking for reliable service and great value!",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",,,,,,,False,[],0,0
132643,Michael,TAS - 7170,TAS,7170,True,2025-04-16,16 April 2025,5.0,,"Sam has put together a reliable, trustworthy team of professionals who delivered a perfect outcome focused solution to my energy needs. We now have a large solar and battery installation with EV charger, along with provisions to expand the battery and network components as our future needs require.I cannot recommend Sam and the team highly enough. They are punctual, reasonably priced and most importantly deliver a high quality outcome. I will use Derwent Electrical exclusively now. (and have recommended to MANY people too)Sam has also returned since to install a heat pump hot water cylinder too - which is fantastic!!",5.0,5.0,5.0,5.0,10kW,,,Sigenergy,,,5.0,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/9828d21cc21aae2dede020e0a4d6c64b0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/b1a7ba7e3ff551f27b34e0adbcc4453f1.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/5b55e52273c40a90595f74773de76c842.jpg']",0,0
