review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140245,H,SA - 5159,SA,5159,True,2025-11-20,20 November 2025,5.0,,"I’ve been a customer of Direct Solar Wholesale Energy Group for several years, and every installation has been smooth, well-organised, and highly professional. What truly sets this company apart is their exceptional after-sales service — they’ve always provided timely support and have even attended my home to resolve issues promptly. I couldn’t be happier with their service.",5.0,5.0,5.0,5.0,13kW,,,,,,,,False,[],0,0
139975,Mike,SA - 5173,SA,5173,True,2025-11-15,15 November 2025,5.0,,Direct Solar Wholesalers now have installed my Solar Panels and Battery.excellent service with all aspects of the process.,5.0,5.0,5.0,5.0,20kW,"$15,000 to $20,000",,Sigenergy,Sigenergy,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_sigenergy.png']",0,0
139964,Bo,QLD - 4127,QLD,4127,True,2025-11-15,15 November 2025,5.0,,"The Direct Solar Wholesaler team was very professional—clean work, fast installation, and a friendly attitude. Highly recommended.",5.0,5.0,5.0,5.0,10kW,"$15,000 to $20,000",,,SolaX Power,,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_solax.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/42ad55a01c90801fc8c3c0e6440d94e50.jpeg']",0,0
139943,Doris,SA - 5095,SA,5095,True,2025-11-14,14 November 2025,5.0,,"Clear quoting process, tidy and punctual installation process. Sale team is able to explain and provide detailed information on the battery.",5.0,5.0,5.0,5.0,,"$6,000 to $8,000",,,SolaX Power,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_solax.png'],0,0
139747,Mark,QLD - 4035,QLD,4035,True,2025-11-11,11 November 2025,5.0,,Pv+battery system done by a professional team. arrived on time and provided professional suggestions and instructions.Would recommend to my friends! Thanks DSW-Jack and Installer Cameron.,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,,,,,,False,[],0,0
139377,Yujun,SA - 5126,SA,5126,True,2025-11-04,04 November 2025,5.0,,we got our solar battery system installed about 4 weeks ago. our house was hit indirectly by a very close lightning just some dozen meters away which caused something in our main switch box to act weird. the actual battery solar system seems to have not been damaged but was auto shut down as a protective mechanism it seems.one of the installer were able to drop by the next day with just a few hours notice to quickly replace the lightning affected component inverter in our main switchboard free of charge and ensuring the system solar battery runs as intended again with no downtime and saved us a lot of stress! they also checked over the solar and battery system to ensure that it hasn't been affected by the lightning.,5.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,SolaX Power,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_solax.png'],0,0
139088,Scott,SA - 5165,SA,5165,True,2025-10-28,28 October 2025,5.0,,"After getting multiple quotes for a sig energy system Direct Solar came back as the cheapest, by some over multiple thousand. After deciding to pull the trigger I decided to make the size of the battery even bigger, which they had no problem helping with.The installation staff were friendly and cleaned up after themselves. Overall would recommend",5.0,5.0,5.0,5.0,,"$15,000 to $20,000",,,Sigenergy,,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8d8f33765794174510aaae63016cff310.jpg']",0,0
138769,Apollo,QLD - 4128,QLD,4128,True,2025-10-21,21 October 2025,5.0,,"Quoting is very rapid. I sent the photos, received quote next day.After comparison, their price is the most reasonable. The Installation is very professional by proposing a proper place  to put the battery as I didn't install in the garage. Boys are very polite, helpful.Customer service is awesome, sent both sms and email to confirm the time, and send reminders 2 days prior Installation.",5.0,5.0,5.0,5.0,,"$6,000 to $8,000",,,SolaX Power,,,5.0,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_solax.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/348857d7060057dfd6773cbefaa530d90.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e4cccd80c2fc3203fc1813ee668178a71.jpg']",0,0
138554,Doug,SA - 5082,SA,5082,True,2025-10-15,15 October 2025,5.0,,"After researching the battery system that I wanted, the next important task was selecting the best installer. Dealing with Jack from Direct Solar from the very start is what impressed me the most. He was not pushy and was happy for me to take my time with the whole process. He always answered any of my questions and trust me I had a lot of them. The quote that I received from Jack was ""the"" best price. No smoke and mirrors sales tactics. Honest and up front from the start to the finish. The installation was smooth and professional, and I cannot fault the battery system, inverter and solar panels that I selected nor going with Direct Solar. The team there organised all the paperwork and just made it happen. Thank you Jack for all your assistance.",5.0,5.0,5.0,5.0,13kW,"More than $20,000",LONGi Solar,Sungrow,FranklinWH,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_franklinwh.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/37bff1d9f1dfd53cec73bd983c476d6a0.jpeg']",0,0
138387,Henry,VIC - 3027,VIC,3027,True,2025-10-10,10 October 2025,5.0,,"Peter was very patient and helpful throughout the sales process, and installation was arranged quickly.When my battery had an issue, Alfie from after-sales responded immediately and worked closely with Alpha ESS to fix it.Excellent support and communication — highly recommend DSW!",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
137638,Jessica,SA - 5070,SA,5070,True,2025-09-23,23 September 2025,5.0,,"I’m very happy with my recent battery and hybrid inverter installation.Fast installation: The whole process was completed in just 2–3 weeks, much quicker than I expected.Knowledgeable specialist: The specialist was extremely patient and explained every detail clearly, answering all of my questions.Excellent electrician & app support: The electrician was friendly and thorough, taking time to show me how to use the app and making sure I understood everything. The support team also responded to my questions very promptly.Outstanding after-sales service: When I needed help after installation, the issue was fixed within an hour.Safety first: Throughout the process they were very focused on safety, which gave me great peace of mind.Overall, a professional and reliable service—I highly recommend them.",5.0,5.0,5.0,5.0,,"$6,000 to $8,000",,,SolaX Power,,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_solax.png'],0,0
137365,Chester,QLD - 4113,QLD,4113,True,2025-09-17,17 September 2025,5.0,,Quoting process was easy and straight forward. Many questions were answered clearly.Installation was punctual and efficient.Communication was great! Any questions or doubt were dealt with promptly in a professional manner.,5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",LONGi Solar,SolaX Power,SolaX Power,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solax.png']",0,0
137267,Martin,QLD - 4075,QLD,4075,True,2025-09-15,15 September 2025,5.0,,"- How was the sales/quoting process? - Can't complain, quote was reasonable and realistic.- How did the installation go? Polite? Tidy? Punctual? - In my case I had solar panels + inverter + battery installed. It was a good install, the crew of 4/5 (I think) turned up on time and got to work straight away. They started at 7am and by midday I had a working system producing and storing electricity. They did a great job of cleaning up after themselves too. They didn't leave until the system was configured and up and running.- How was the customer service? - Again, great service from the estimator, as well as the installation technicians and the sales office staff. Whenever I needed to ring, someone always picks up and is helpful.",5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",LONGi Solar,SolaX Power,SolaX Power,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solax.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/da14f98f7b4e44b36f17be09368479bc0.jpg']",0,0
136800,Juan,SA - 5064,SA,5064,True,2025-09-04,04 September 2025,5.0,,Customer services was really good.Always there to helpShowed me how to use the system,5.0,5.0,5.0,5.0,,"$6,000 to $8,000",,,,,,,False,[],0,0
136561,Edwin,SA - 5098,SA,5098,True,2025-08-29,29 August 2025,5.0,,I had my system installed by DSW (SA) around 2.5 years ago.Just recently I noticed my Fronius Gen24 had a flashing yellow light during daytime which used to be steady green. The system was functioning normal. But I could not figure out what exactly it was.I contacted DSW (SA) and explained the issue. They checked my system and sent me video intsructions on how to resolve it. The team was patient and helpful and did everything to resolve the issue.Such a good customer service! Keep it up guys!,5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",Ausgem (Other),Fronius,,5.0,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
136528,Kevin,QLD - 4156,QLD,4156,True,2025-08-28,28 August 2025,5.0,,"This company has provided exception service throughout the process from getting the quotation to the after sale support.The sales team, installer and after sale team was very help to answer my questions, and to assist me to setup the TOU, and other uncertainty I had.Highly recommend to anyone who needs their solar and battery installed for their home.",5.0,5.0,5.0,5.0,8kW,"$10,000 to $12,500",LONGi Solar,SolaX Power,SolaX Power,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_longi-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_solax.png', 'https://www.solarquotes.com.au/img/evchargermanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/af598e42eaa063d2956a7156b2fe66cc0.jpeg']",0,0
136517,Donna,QLD - 4567,QLD,4567,True,2025-08-28,28 August 2025,5.0,,"Jordan the sales person was amazing to deal with. Very knowledgeable and happy to answer questions. Our system was not just a standard one and required more work than a simple one. He was happy to answer any questions in the intial phases of communication, gave knowledgeable advice and continued that right through with a follow up call after install. Can not recommend highly enough.The install boys were also lovely guys, they did an amazing job and left things neater than they found them. Top job and very professional. Nothing was too much trouble.",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",I don't know,SolaX Power,I don't know,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solax-power.png'],0,0
