review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
140086,Lee,VIC - 3754,VIC,3754,True,2025-11-18,18 November 2025,5.0,,Bruno was brilliant to work with through the selection of product & quotation process. The install was such an easy exercise with the installers being professional throughout the whole process. Top notch customer service & a simple transition to a more ECO friendlier home.Well done & great job to all at Discover Solar in all from start to finish.,5.0,5.0,5.0,5.0,,,,,Sigenergy,,,,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sigenergy.png'],0,0
139085,Eugene,VIC - 3153,VIC,3153,True,2025-10-28,28 October 2025,5.0,,"I spoke and dealt with Bruno at Discovery Solar throughout my solar installation process. He was very open and transparent about pricing and complications that could arise with upgrading my old switchboard. I was very happy with the communication with Bruno and he was very responsive to any queries I had.The installers were also good to work with and they made quick work of the install, with everything completed within 2 days.It's been about a month now and everything seems to be working in good order. The sungrow app has been great - allowing me to view how much power is being generated, how much battery charge is left, and how much electricity the household is using.",5.0,5.0,5.0,5.0,7kW,,Jinko Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/ca912ebd436734c52e518b045c3107e30.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c9d1eb98cb75c38d8b480f815990ee001.jpg']",0,0
138324,Grant,VIC - 3068,VIC,3068,True,2025-10-08,08 October 2025,5.0,,"Bruno Dromi was my point of contact with Discover Solar.  He was fast and no nonsense.  My original panels were over 10 years old, and at his suggestion, I replaced the entire system.  In hindsight, the solution he implemented was the best possible outcome.Mo and his team were professional and meticulous in carrying out the installation.  Mo had good communication skils and made himself accessible during the course of the installation.  They removed all rubbish at the conclusion of the installation, leaving our property clean and tidy.  The installation was more difficult than originally anticipated.  Additional equipment was required and a number of visits to complete it.  The grid connection took several attempts.  They persisted and successfully completed the installation in a timely manner.Bruno honoured the original quote, regardless of unanticipated additional time and equipment required by the installers.  This demonstrated integrity.",5.0,5.0,5.0,5.0,7kW,"$12,500 to $15,000",Jinko Solar,Anker Solix,Anker Solix,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_anker-solix.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_anker-solix.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/6be772dea95e931ff1775248c6e9352f0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c52e997a8db9e050840ed626715b35aa1.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/fea4f6cdf3bf7756af3942c5293ac7d42.png']",0,0
137775,Karin,VIC - 3161,VIC,3161,True,2025-09-26,26 September 2025,5.0,,"Very happy! Mo and his team did a great job installing the panels, and Bruno was amazing in the whole sales and service component.  Installers arrived when they said they would and did what they promised.  Would recommend to anyone thinking of getting solar panels.",5.0,5.0,5.0,5.0,6kW,"$2,000 to $4,000",,Sungrow,,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
137194,ZHIQI,VIC - 3088,VIC,3088,True,2025-09-14,14 September 2025,5.0,,"Working with Discover Solar was surprisingly easy no hard sells, just clear info and friendly advice from Bruno Dromi and the team. The Tesla Powerwall 3 and Gateway installation was right on schedule, and the crew was polite, tidy, and seemed to have ninja-level skills for keeping things neat.What really stood out was how seamlessly the whole team worked together  from delivery to installation to constant, clear communication. At every stage, they made me feel like a valued customer, not just another job on the list.Afterwards, they helped me hook up the grid connection and gave me a quick tutorial on using the Powerwall  so now I feel like a mini energy guru. All in all, a smooth, hassle-free experience with folks who know their stuff and genuinely care.",5.0,5.0,5.0,5.0,,"$10,000 to $12,500",,,Tesla Powerwall 3,,,,True,"['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/034b0562eb1c2d3289cc1d793f91cc601.jpeg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/933060550dd458df19067ebc180115e32.jpeg']",0,0
136749,Chantel,VIC - 3756,VIC,3756,True,2025-09-03,03 September 2025,5.0,,"Due to delays with Sigenergy they managed to get me and Anker battery instead quickly. I did want the sigenergy for full power backup. Online it did say Anker's battery could do that too. But found out when it was being installed it can't without modifications (just fair warning for anyone consider anker.. But they did setup a second circuit on back up free of charge to meet me part way. The installation went smoothly, absolutely no issues. Looks great, works well.",5.0,5.0,5.0,5.0,,,,,Anker Solix,,,4.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_anker-solix.png'],0,0
136539,Jim,VIC - 3015,VIC,3015,True,2025-08-28,28 August 2025,5.0,,"We were keen to have solar panels and a battery for a long time. Although there are a lot of installers and providers, it's hard to pick someone that you can trust and feel comfortable with. We were recommended Bruno from Discover Solar by a friend from the initial contact we right away felt comfortable with sales and quoting approach. When dealing with Bruno (operations manager) we didn't feel like we were being forced in to anything and the decision were in our control. We were presented with options to suit our budget and received an honest feedback on different models that we were considering, which made the selection of the panels, inverter and the battery easy. The process from quoting, signing of contract was easy and clear. It was good to deal with once person from start to finish. Once we paid a deposit the rest became even easier. The installers were highly skilful, arrived on time with all the equipment and the solar panels install was smooth considering the site complications. The inverter and the battery install was smooth and quick without any disruptions or inconvenience. Upon completion the installer explained how everything works and  assisted with the apps to monitor the  system. The inspector arrived and passed the workmanship first time without the need for the installer to re-attend. The panels, inverter and the battery all look very neat and tidy. The only thing that we will have to do is paint the mounting board to match the wall colour. The inverter and the batter were installed in the garage and the workmanship was very tidy. All cleaned up and rubbish taken away. We are happy with the service and the product we received and would highly recommend Bruno at Discover Solar to friend and family. Lastly it was nice to know that we are dealing with a local Melbourne based company rather than an unknown telemarketing organisation. Happy customer!",5.0,5.0,5.0,5.0,13kW,,Jinko Solar,Goodwe,Goodwe,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_goodwe-battery.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e29e4f64271ce5642f94e96a160e15470.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/0481d04732eb7a44f4f378327b529c0d1.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/632ff56b74703d0f7cfe626c5853c92a2.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c6bc93a76be20d9db9dee784ab0ea5be3.jpg']",0,0
136127,Vickie,VIC - 3550,VIC,3550,True,2025-08-15,15 August 2025,5.0,,Prompt service and Bruno has been amazing,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Solis,Solis (Other),,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
136122,Lahiru,VIC - 3046,VIC,3046,True,2025-08-15,15 August 2025,5.0,,"I got installed solar panels, battery and heat pumpBruno was very good as well as installation team",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Goodwe,,5.0,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
132981,Paul,VIC - 3806,VIC,3806,True,2025-05-01,01 May 2025,5.0,,"13kw panels + inverter + 9.8kw Sungrow batteryWe had a recommendation to to go with Discover Solar and we're very happy with the end result! I had done some research on what we wanted and Bruno at Discover was great to deal with. He is really knowledgeable and helped us get to where we needed to be. Pretty open and honest which is great, no sales gimmicks or tricks.The install was low fuss and the technicians were great to deal with. They know their stuff, accommodated where we wanted batteries and panels, went out of their way to fix a few other issues for us (like some cracked tiles for free) and gave us a great end result..",5.0,5.0,5.0,5.0,13kW,"$15,000 to $20,000",Jinko Solar,Sungrow,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/6d2ee2e62cabfddea66dde7470edaf870.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/4270271e4d0b06adbd588909cab682b61.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/79024c0ed234cfd74786394a9641d0db2.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/93046836dea955f1c7287c9326f9d3c43.jpg']",0,0
