review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
106111,Jill,NSW - 2350,NSW,2350,True,2022-12-08,08 December 2022,2.75,,"Installations 2018 and 2019, initially told export limit would be 5kWh, ended up being 2.5kWh, requested resubmit to distributor for 3kWh, and was told it was refused. EESS later admitted in writing that the request was not formally submitted. Installation day turned up without notice. 4kw Fronius inverter installed, contract was for 3.5kw invertor. On completion of work additional $1600 added to invoice, refused payment due to Contract. Fronius Smart meter not commissioned with install. Recall for non compliant installation (positioning) of Fronius inverter and later for wiring sagging on roof. Problems were rectified.Over voltage noticed late 2020 (wfh COVID). Essential Energy confirms with logging 4% voltage rise, 2% over allowable. Therefore, installer's responsibility. EESS disputes this and has ceased to maintain communication. Two years later, problem still remains.Very disappointed in EESS customer service, quality of panels and inverter unquestionable. Disreputable and frustrating company is my opinion and would not recommend.",4.0,4.0,2.0,1.0,4kW,"$8,000 to $10,000",LG,Fronius,,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
75270,Charles,NSW - 2340,NSW,2340,True,2020-04-06,06 April 2020,4.5,,"Great service and explanation of system. Accommodated our preferences in system design and offered multiple solutions with no pressure to commit to purchase.Quick, clean install and excellent follow up service",4.0,5.0,4.0,5.0,7kW,"$10,000 to $12,500",Qcells,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
59775,Tony,NSW - 2381,NSW,2381,True,2019-02-10,10 February 2019,4.0,,,4.0,4.0,4.0,4.0,6kW,"$10,000 to $15,000",,,,,,False,[],0,0
55334,Anon,NSW - 2340,NSW,2340,True,2018-11-07,07 November 2018,4.5,,Thank you for your assistance.  It did help us get quotes and understand the systems and the best options.,4.0,4.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
55009,Brian,NSW - 2347,NSW,2347,True,2018-10-31,31 October 2018,4.75,,A local company who supplied a quality system over 6 years ago now.My SMA 10KVa 3 phase inverter has recently commenced behaving erratically.ECO have installed a loan ABB Inverter  to establish that the problem is definitely the Inverter.This is a clear example of the quality of their service and to me validates my choosing them over 6 years ago.My youngest brother had a 6 Kva Fronius System installed by them in the last 12 months.,4.0,5.0,5.0,5.0,More than 6kW,"more than $20,000",,,,,,False,[],0,0
51306,Marg,NSW - 2340,NSW,2340,True,2018-08-14,14 August 2018,4.75,,"I had a number of quotes and a couple of them actually came to my house. I decided that I wanted to use a local company (I'm in Tamworth, northern NSW), and couldn't be happier. Their prices was not the cheapest quote, but in the ball-park.This sales person actually got up on my roof, checked my fuse box and power supply. They also came up with the clever (I think) plan of facing some panels north and some panels west to spread the energy production across the day. No other installer suggested this. It makes sense as I can see (from the Fronius app) that even in the middle of the day, there is energy being exported back to the grid, and I would prefer to be using it.The installation was done in one day, the system explained to me thoroughly, and they assisted me to get my meter changed over by Origin Energy (which took a very long time!) Totally professional and highly recommended.",4.0,5.0,5.0,5.0,More than 6kW,"$10,000 to $15,000",,,,,,False,[],0,0
38559,Andrew,NSW - 2337,NSW,2337,True,2018-04-29,29 April 2018,4.0,,"The Commercial Manager for Eco Solar was very competent and managed to explain everything about the system in a clear and precise manner. He produced a very clear quote and managed to answer all of my queries regarding the quote, installation and the materials that would be used on the install. Plus the quote looked very professional and quite easy to understand. We have also had one of their install teams who were going past our area drop in already to see our place and look at how the install would be carried out.",4.0,4.0,0,4.0,More than 6kW,"$15,000 to $20,000",Qcells,Fronius,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
32669,Bill,NSW - 2358,NSW,2358,True,2016-12-08,08 December 2016,3.67,,One of the Sydney suppliers was too high pressure and not prepared to explain things to us. Also they weren't happy to talk about the origin of their equipment.,3.0,4.0,0,4.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
25620,Deirdre,NSW - 2400,NSW,2400,True,2015-03-19,19 March 2015,4.5,,Highly professional company.  Sales rep. offered sound advice without pressure to buy.,4.0,5.0,5.0,4.0,5kW,"$15,000 to $20,000",,,,,,False,[],0,0
21803,Judi,NSW - 2404,NSW,2404,True,2014-03-03,03 March 2014,4.75,,"Very professional when giving an itemised  quote, excellent communication, good follow up service.A pleasure to deal with efficient, organised and knowledgeable about the products they sell. I had a number of quotes but they were the only ones who mentioned that we could need an aerial  wire upgrade because of the number of panels we wanted to install.",4.0,5.0,5.0,5.0,4kW,"$10,000 to $15,000",,,,,,False,[],0,0
