review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
114961,Robert,VIC - 3216,VIC,3216,True,2023-09-28,28 September 2023,5.0,,"Hi, l am a qualified Electrician, but I am not solar accredited. So when I decided to get solar panels and a battery, l rang a few places and asked them to design a system for me. Most places designed a system around my usage of power. And most didn't explain correctly or properly how the system works or why they designed the system how they did or why they chose the components. But Cameron at Evo Solar had the time and professionalism to explain each part of the system and why he designed the system around getting the most out of the battery. I have seen a lot of crap that has been installed on some people's houses that do not work properly and did not want that on my house. From start to finish I felt comfortable dealing with Evo Solar, Ros in the office was awesome answering any queries andcompleting all paperwork. And Travers and the guys were awesome with the installation everyone there at Evo were incredible at the end l got a email from Toni and Ivy with a custom manual designed for my system telling you the components of my installation how it's wired, how to maintain it and at what intervals, who worked on it. I have had the system for a month now and had no issues, very clean installation and everyone was great to deal with. I have recommended them to my family and friends.I am very happy with the whole process in dealing with Cameron and everyone at Evo Solar.Definitely worth getting a Evo Solar system.",5.0,5.0,5.0,5.0,7kW,"More than $20,000",SunPower,Fronius,Tesla Powerwall 2,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_sunpower.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/dc3973c9a3cad233f8b0ac216bcc72ce0.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/2af74a7779f6dbf44b616be67d2d914a1.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/c74d5b2edb4af428ab1326a6f72ff76c2.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/49d2a1f4244ba66f8199c32b329491093.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/0967fc041de783019cfde74359c29a444.jpg']",0,0
100279,Karen,VIC - 3213,VIC,3213,True,2022-05-31,31 May 2022,5.0,,"We loved working with the team at Evo Solar because they were able to provide a good and clear quote with a set date when stock was arriving. It was a quick and seamless process with us having our system installed within a week of enquiring with them. Cameron has been really helpful in showing us how the apps work and how to maximise the power we generate. The installation was neat and clean, and it was evident that they treated our home like their own.",5.0,5.0,5.0,5.0,10kW,"$12,500 to $15,000",,,,,,,False,[],0,0
85579,Anon,VIC - 3750,VIC,3750,True,2021-01-14,14 January 2021,5.0,,,5.0,5.0,5.0,5.0,6.6kW,Under $3000,URE,,,,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/I_ure.png'],0,0
84044,Anon,VIC - 3059,VIC,3059,True,2020-11-25,25 November 2020,5.0,,,5.0,5.0,5.0,5.0,6.6kW,Under $3000,URE,,,,,,True,['https://www.solarquotes.com.au/img/panelmanufacturers/I_ure.png'],0,0
73501,Damitha,VIC - 3170,VIC,3170,True,2020-10-18,18 October 2020,4.25,,"All went according to the plan, still waiting for the inspection certificate. Nearly 3 weeks. According to the electrician inspector has gone for a major surgery. He's coming next week.",4.0,4.0,5.0,4.0,6.6kW,"$8,000 to $10,000",Trina,Goodwe,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png']",0,0
54668,Rod,NSW - 2325,NSW,2325,True,2018-10-24,24 October 2018,4.0,,"Paid deposit to beyond solar but changed my mind but they wouldn't return the deposit even though they hadn't started to order components ,very poor attitude toward customer relations",4.0,4.0,0,4.0,5kW,"$10,000 to $15,000",,,,,,,False,[],0,0
29698,Anon,NSW - 2340,NSW,2340,True,2016-03-09,09 March 2016,4.0,,THEY ARE ONLY INSTALLING TODAY,4.0,4.0,0,4.0,5kW,"$10,000 to $15,000",,,,,,,False,[],0,0
29439,Anon,NSW - 2340,NSW,2340,True,2016-02-15,15 February 2016,5.0,,"FYI, a workmate had his sytem installed by one of your prfered suppliers and made the following comment to me , his sytem was installed , and they did not run through operation with him, they installed and left.",5.0,5.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,,,,False,[],0,0
17483,Sheryll,VIC - 3171,VIC,3171,True,2013-01-30,30 January 2013,3.75,,I found the whole procedure very confusing to start with and had to do a lot of research to try and understand it all. There are sites out there that are helpful it is just a case of finding them.I found the Clean Energy Council website very helpful and they also list the Certified Installers so you can check to see that the person who is installing your solar power is qualified. I ended up using some-one who was recommended to me but I was only 70% happy with him.,4.0,4.0,4.0,3.0,1.5kW,Under $3000,,,,,,,False,[],0,0
17448,KEITH & JILLIAN,NSW - 2340,NSW,2340,True,2013-01-29,29 January 2013,4.5,,Both my wife and I liked the fact that with this company when the sales rep said he would be out to speak with us he was and we were not kept waiting. Also when the installation team said they would be out they were and also were courteous and prompt and kept us informed of what was taking place. Very important to both my wife and myself. Also after sales questions were no problems very happy with the service and the product and would recommend them to anyone and have done so since.,5.0,4.0,5.0,4.0,1.5kW,"$6,000 to $10,000",,,,,,,False,[],0,0
