review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
26495,Ann,SA - 5112,SA,5112,True,2015-06-16,16 June 2015,2.5,,"My inverted died after jyst 2 years after installation. Took them over 4 months to replace inverter. But i had to try to contact someone first, 30 or more phone calls with no response except voice mail in which no one calls back. In the end a faxed letter stating that I will go to the ombudsman got their attention & within 30 minutes of the fax being sent, someone rang me. They also tried to get installation money out of me for the new inverter. I said it's under warranty so I don't have to pay a cent & I didn't.",3.0,3.0,3.0,1.0,3kW,"$10,000 to $15,000",,,,,,False,[],0,0
23025,Darryl,SA - 5157,SA,5157,True,2014-06-18,18 June 2014,2.75,,System wasn't installed to Australian Standards and had to be rectified. Upon initial installation 1 of the 2 Inverters was set to wrong country code and didn't operate at all for first 6 weeks. The SEG application was submitted with wrong Inverter information which saw our eligibility for the Government FIT rejected - since the cut off date had passed all eligibility has now been lost.  Has now been some 6 months since installation and I still don't have an approved System attached to the Grid through SA Power Networks. Overall pretty woeful and extremely disappointing. It shouldn't be this difficult.,4.0,4.0,2.0,1.0,More than 6kW,"$6,000 to $10,000",,,,,,False,[],0,0
22618,Karen,SA - 5159,SA,5159,True,2014-05-01,01 May 2014,4.25,,"My invertor stopped working after less than 4 yrs which i finally figured out because of an enormous Origin bill (not that Origin went out of their way to let me know, they waited 2 full billing cycles at which point they back-billed me for the power used!!).  I let Ecoplus know because they installed the system. They were able to tell me over the phone how to test the system, confirmed that the invertor was done, contacted the manufacturer Fronius, lodged a warranty calim on my behalf and between Ecoplus and Fronius got a new inverter sent from Victoria and installed within 4 days.  At no cost to me! You can't ask for better service than that.  Many thanks to Stewart and the team from Ecoplus and the folk at Fronius.",4.0,4.0,4.0,5.0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
21832,Barbara,SA - 5023,SA,5023,True,2014-03-05,05 March 2014,5.0,,"After an initial quote with Ecoplus I hesitated for months, but then decided to get another quote, which I happily accepted.   I was in no hurry for the installation so had no problem with delays (due to Xmas & NY, heat waves and a 2-day rain deluge).  I wanted the panels installed on a garage roof (due to asbestos roof on home) and although this proved a little more complicated the final result was perfect and is at present making 7-8 kw/day.  I compliment the staff at Ecoplus, I found each person a joy to deal with, got great service and all my questions (quite a few) answered to my satisfaction, plus  the installation fellows were meticulous workers and a delight to know.   I would definitely recommend Ecoplus to others.",5.0,5.0,5.0,5.0,2kW,"$3,000 to $6,000",,,,,,False,[],0,0
18711,Graham,SA - 5158,SA,5158,True,2013-05-20,20 May 2013,2.5,,"They never returned my phone calls, unless they want to give payment details, warranty on inverter took over 3 months to be actioned, i had to get consumer affairs involved and then they took another month. worst solar company ever, my advice:  don't touch them.",3.0,2.0,4.0,1.0,1.5kW,"$3,000 to $6,000",,,,,,False,[],0,0
18456,Allison,SA - 5114,SA,5114,True,2013-04-29,29 April 2013,2.5,,"Ecoplus would have to be the worst company I have ever dealt with. Every time I rang(and trust me I rang them on a weekly basis) they were in a meeting or out to lunch with the promise of them ringing me back. After getting through to the manager of the company the service was still very poor. It took over 6 months to be installed, and I would not recommend them to anybody.",2.0,4.0,3.0,1.0,4kW,"$10,000 to $15,000",,,,,,False,[],0,0
17896,Kym,SA - 5173,SA,5173,True,2013-03-10,10 March 2013,1.75,,When purchasing this system and producing our last 3 electricity accounts we were advised a 3 kw system would cover our electricty accounts. We were only intending to purchase a 1.5kw system but upon the salesmans information we decided to go for the 3kw system. We were told because of the German tecnology this system would out perform other brands. Sadly the system is covering half of what we were told.The system took 7 months to be installed from time of purchase. Made many phone calls with no response. Had to keep chasing them all of the time. When installation was finally done is was good as it was contracted by another company.Have phoned numerous times since installation to resolve issues but unfortunately no resolution other than court proceedings.This whole process has been very stressfull but should not be.,1.0,1.0,4.0,1.0,1kW,"$6,000 to $10,000",,,,,,False,[],0,0
16445,Lloyd,SA - 5125,SA,5125,True,2012-11-12,12 November 2012,3.5,,"The initial quote was far in excess of what we had a budget for, however, in negotiations (after indicating that we had quotes far below what they were proposing ... for a system with the same specs) they reduced their quote quite considerably. We had one alteration to the specs we were looking for ... that was; we were wanting a Sunnyboy 3000TL inverter. We were advised that the Sunnyboy 3000HF was an upgrade. Still not sure about that. The HL does not look as ""solid"" as the TL!!!!",3.0,4.0,4.0,3.0,2kW,"$6,000 to $10,000",,,,,,False,[],0,0
6052,Barbara,SA - 5127,SA,5127,True,2012-09-12,12 September 2012,4.67,,,4.0,5.0,0,5.0,1.5kW,"$3,000 to $6,000",Ecom Plus (Other),Growatt,,5.0,5.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
10415,George,VIC - 3150,VIC,3150,True,2012-09-11,11 September 2012,4.0,,Polite installers.,4.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",Wuxi Shangpin Solar Energy,Growatt,,4.0,4.0,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_growatt.png'],0,0
