review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
67299,Michael,QLD - 4551,QLD,4551,True,2019-08-13,13 August 2019,5.0,,Ecolution delivered a clever and economical solution for a small north facing roof. The installation was clean and catered to my pedantic requirement for neatness and also delivered a sizable cheque at the end of the first month.,5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",LG,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_lg.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
36488,Chris,QLD - 4507,QLD,4507,True,2018-03-12,12 March 2018,4.75,,All of the team at Ecolution were friendly and easy to deal with. The quality of the installation is excellent. We are very happy with the performance of the system so far.,4.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",REC,Fronius,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_rec.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
36602,Tony,QLD - 4521,QLD,4521,True,2017-07-06,06 July 2017,5.0,,"One of the 3 quotes never arrived, although all three businesses did make initial contact. The second business attempted to flog 3rd tier panels as 1st tier supreme quality. I did also get a quote from my ""local"" installer Springer Solar, and they were just as helpful and pleasant to deal with as Ecolution. Both were very accommodating during my search for the best system. They are both rated equally on this site, with reason. In the end my choice of supplier was solely based on price.The information offered on SolarQuotes was very helpful in finding the right panels and inverter as well, as it was in detecting bovine excrement being offered... ;) Especially the blog post on Maxim cell-string optimisers was instrumental in putting me on the path of the Trina PD05.08D  panels that I ended up buying.",5.0,5.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,,,False,[],0,0
36494,Arvind,QLD - 4510,QLD,4510,True,2017-07-02,02 July 2017,4.0,,I as a layman am not in a position to rate the quality of the sysystem. I did read and chose quality panels ( REC ) and a quality inverter ( Fronius ),4.0,,4.0,4.0,5kW,"$6,000 to $10,000",,,,,,False,[],0,0
36319,Brett,QLD - 4509,QLD,4509,True,2017-06-22,22 June 2017,4.5,,The installers were qualified electricians not labourers.  Their service leading up to me making the final decision to go ahead was they were completely open and willing to provide all requested information.,4.0,4.0,5.0,5.0,6kW,"$3,000 to $6,000",,,,,,False,[],0,0
36167,Melissa,QLD - 4567,QLD,4567,True,2017-06-14,14 June 2017,4.75,,"After doing loads of research on a solar system I decided to go with Ecolution Industries. I found Austin the sales person to be extremely helpful knowing he stuff, the installation went to plan all of my quries were sorted out there and then nothing was a problem. The REC panels and Fronius inverter I purchased is top notch gear so I'm very happy. I have recommended them to the neighbour and they have install the largest system on their roof.",4.0,5.0,5.0,5.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
36039,Anon,QLD - 4504,QLD,4504,True,2017-06-07,07 June 2017,4.0,,I complained about the system only producing 1730 watts under near text book conditions and was told that the panels would have to be at 45 deg. to produce 2000 watts.,4.0,4.0,4.0,4.0,2kW,Under $3000,,,,,,False,[],0,0
35390,Bob,QLD - 4507,QLD,4507,True,2017-05-05,05 May 2017,5.0,,"All of the companies recommended were very professional and offered similar products. We chose Ecolution based on price and perceived technical competence. Austin listened to what we wanted, gave great advice and came up with a good system and a good price. The installation team did a great job, now waiting for Energex to program the meter so I can start to save money.We also got a quote from a company we saw at the Homeshow. It reinforced our belief that there are a lot of cowboys still out there and you need to be careful. The sales guy who visited us wasn't much more than a used car salesman with no interest in what we needed just in making the sale. His product was inferior and more expensive.Thanks SolarQuotes.",5.0,5.0,5.0,5.0,6kW,"$3,000 to $6,000",,,,,,False,[],0,0
35271,Grant,QLD - 4560,QLD,4560,True,2017-04-28,28 April 2017,5.0,,"I dealt with Austin, Sales Consultant - He was quick to respond queries and provided the most up to date information. He knows his stuff.The install was scheduled in with very minimal waiting period. Everything went smoothly - The team did a very good job with the install as well as the cleanup.Overall, very impressed. Highly recommended.",5.0,5.0,5.0,5.0,6kW,"$3,000 to $6,000",,,,,,False,[],0,0
35151,Rob,QLD - 4505,QLD,4505,True,2017-04-24,24 April 2017,4.25,,"I could not have been happier.  Austin Eccleston could not have been more helpful throughout the whole process.  The installers were real gentlemen, professional and a pleasure to deal with.  The finished job was as neat as anyone would wish.  The single phase inverter works very well on my three phase electrical system as promised it would.  I would recommend Ecolution Industries to anyone looking for a solar system.",4.0,4.0,5.0,4.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
