review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
54763,Anon,VIC - 3730,VIC,3730,True,2019-06-27,27 June 2019,4.5,,They were very good to deal with.,5.0,4.0,4.0,5.0,6kW,"$6,000 to $10,000",Canadian Solar Inc,Fronius,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
53918,Wayne,VIC - 3737,VIC,3737,True,2019-06-11,11 June 2019,4.25,,,4.0,4.0,4.0,5.0,More than 6kW,"$10,000 to $15,000",SolarEdge,SolarEdge,,4.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_solaredge.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
53444,ANDREW,VIC - 3673,VIC,3673,True,2019-06-10,10 June 2019,4.5,,,4.0,4.0,5.0,5.0,4kW,"$3,000 to $6,000",Canadian Solar Inc,Fronius,,5.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
50208,Neil,VIC - 3747,VIC,3747,True,2019-03-20,20 March 2019,5.0,,"I initially got interested in solar because of an initiative from our regional council for retirees. Their supplier was going to be from near Melbourne, and this is a fair distance from us. So I got your recommendations for local suppliers, and was very impressed with ElectSolar who fit the bill admirably. Thank you for bringing me up to speed with technical aspects of solar. And the whole fitout by ElectSolar took only 4 hours, with the inspection happening a couple of days later. So it was all really quick.Also thankyou for supplying a review of available power companies (particularly the green ones) to help us decide to stay with our current supplier PowerShop.You may be interested to know that I too worked for CSIRO with the Division of Atmospheric Physics in Aspendale, Victoria. In 1969 my first full-time employment as a technical assistant there included flying weekly from Essendon Airport in the government Fokker F-27 over Bass Strait, collecting the atmospheric samples used to monitor the Southern Hemisphere CO2 concentrations. Global warming did not seem such an urgent issue then However, with today's concerns, it helped us in our deciding to go solar because we spend so much more time at home now that we are retired. In this regard you were also able to point out the solar panel companies with the least environmental impact in their manufacture, and again it was a factor in our decision making.Again thankyou for your site, and I would recommend it to anyone.",5.0,5.0,5.0,5.0,3kW,"$3,000 to $6,000",Trina,Solis,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solis-%28ningbo-ginlong%29.png']",0,0
48004,Julian,VIC - 3678,VIC,3678,True,2019-01-19,19 January 2019,4.0,,,4.0,4.0,4.0,4.0,5kW,"$6,000 to $10,000",Trina,Solis (Other),,4.0,4.0,True,['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png'],0,0
58648,Bill,VIC - 3747,VIC,3747,True,2019-01-16,16 January 2019,4.5,,"High quality components, quick installation. very neat job",4.0,4.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,False,[],0,0
55212,Nigel,VIC - 3730,VIC,3730,True,2018-11-05,05 November 2018,4.5,,Nice people,4.0,4.0,5.0,5.0,6kW,"$3,000 to $6,000",,,,,,False,[],0,0
54666,Shaun,VIC - 3747,VIC,3747,True,2018-10-24,24 October 2018,4.0,,,4.0,4.0,4.0,4.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
52154,Nicole,VIC - 3673,VIC,3673,True,2018-09-04,04 September 2018,4.25,,"All contact with the company was friendly and helpful.  Things happened when we were told, very efficient installation and such nice guys.  Definitely recommend.  Can't comment re quality as only installed yesterday.",4.0,3.0,5.0,5.0,4kW,"$3,000 to $6,000",,,,,,False,[],0,0
51991,Greg,VIC - 3678,VIC,3678,True,2018-08-30,30 August 2018,4.75,,"Great personal approach.  They provided the information we needed to make a sound and practical decision, taking the time to explain the options in a thorough but practical way. Installation was trouble free and weâ€™re seeing great results from our new system.",4.0,5.0,5.0,5.0,6kW,"$6,000 to $10,000",,,,,,False,[],0,0
