review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
90790,John,NSW - 2594,NSW,2594,True,2021-06-18,18 June 2021,5.0,,I purchased a solar system and battery from another supplier but had numerous issues with the energy provider. Electrotech were so helpful in sorting out all the issues with the energy provider and got me up and running. I would not have been able to get it operational without him. A complete professional.,5.0,5.0,5.0,5.0,10kW,"More than $20,000",Canadian Solar Inc,Fronius,Tesla Powerwall 2,5.0,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
86046,Mel,NSW - 2594,NSW,2594,True,2021-01-26,26 January 2021,5.0,,"Mohammad and his team were fantastic to deal with, answering all of my questions thoroughly and ensuring we had every tool and option up and running properly before they left. Electrotech  , exceeded promised timeframes and are excellent and prompt with communication, whether face to face, electronic, or over the phone. We are more than happy with the high quality end product, and the only negative is that we didn’t install this sooner!We would recommend Electrotech for any customer seeking solar installation- Thanks guys!!",5.0,5.0,5.0,5.0,6.6kW,"$8,000 to $10,000",,Fronius,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
84809,Geoff,NSW - 2594,NSW,2594,True,2020-12-15,15 December 2020,5.0,,"Very punctual for all appointments. Broad scope of suggested systems available, clear and factual without the sales pitch. Very neat and tidy installation. Very professional from start to finish.",5.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",Trina,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
83839,Andrew,NSW - 2594,NSW,2594,True,2020-11-19,19 November 2020,5.0,,"Very professional, prompt quoting, on time install, tidy and polite. ElectroTech were very knowledgeable and catered the system to my needs. Grid connection organised post firmest.Highly recommend Electrotech cabling.",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",Trina,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
82432,Ramzey,NSW - 2594,NSW,2594,True,2020-10-13,13 October 2020,5.0,,"Easy to deal with , made the job straight forward due to his honesty, punctuality & pride in his work. Also took away the stress of paperwork by doing it from start to finish.",5.0,5.0,5.0,5.0,6kW,"$6,000 to $8,000",,,,,,,False,[],0,0
77543,Robyn,NSW - 2590,NSW,2590,True,2020-06-09,09 June 2020,5.0,,"Very impressed with the efficiency, professionalism and excellent manners of this provider.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $10,000",,,,,,,False,[],0,0
76444,Nesrin,NSW - 2594,NSW,2594,True,2020-05-07,07 May 2020,5.0,,"Electrotech Cabling were so easy to deal with form the first point of contact to the last.installers came on time and well presented, explained how the unit works and cleaned up after the install was complete.We have received multiple courtesy calls after the install with their team checking up on how the system was performing and if he were happy with the production.Been a pleasure to deal with.",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Opal Solar,Fimer,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_opal-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fimer.png']",0,0
76437,Imran,NSW - 2594,NSW,2594,True,2020-05-07,07 May 2020,5.0,,"The work was completed on time and professionally , Muhammad was exceptional in the whole install process and had extensive knowledge about the system.",5.0,5.0,5.0,5.0,5kW,"$6,000 to $8,000",Trina,Fronius,,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
69063,Richard,NSW - 2594,NSW,2594,True,2019-10-07,07 October 2019,5.0,,"Dealing with Electrotech was a pleasant experience from start to finish.   The quote was accurate and informative.  The complete job included wiring up a new garage/workshop on which the solar panels are installed, and connecting to the main residence. This was completed while waiting approval for the solar installation.  All the work was completed without undue delay and we were kept informed of the progress.  At the end we were taken through the system operation, using the fronius software etc.  Moh and his team were always polite, punctual and tidy.  I look forward to being able to use their services in future.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Trina,Fronius,,5.0,5.0,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
68984,Tori,NSW - 2594,NSW,2594,True,2019-10-03,03 October 2019,5.0,,Everything went well and was dealt with very polite and professionally.Nothing is too much trouble and the communication throughout the process was excellent,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,Fronius,,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
65866,Chahide,NSW - 2170,NSW,2170,True,2019-07-05,05 July 2019,5.0,,"Mohammad was a pleasure to do business with, best communications from start till finish, prompt & reliable service at all times, HIGHLY recommended..",5.0,5.0,5.0,5.0,5kW,"$3,000 to $6,000",,,,,,,False,[],0,0
