review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
134742,Jane,NSW - 2519,NSW,2519,True,2025-06-29,29 June 2025,5.0,,"From the initial phone conversation with Empire Energy to the actual installation the whole team were friendly and punctual. The installation of the solar panels went in so quickly, the team of guys did a very professional job. We thoroughly recommend Empire Energy.",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
124530,Margaret,NSW - 2557,NSW,2557,True,2024-08-01,01 August 2024,5.0,,"I was very happy with my solar panels from the quote through to the installation. The boys were very efficient and knowledgeable, I would definitely recommend Empire Energy",5.0,5.0,5.0,5.0,10kW,"$6,000 to $8,000",Jinko Solar,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
124327,Stephen,NSW - 2574,NSW,2574,True,2024-07-26,26 July 2024,4.75,,No issues with installer or workers on site . All queries answered promptly whether by email or phone,4.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Jinko Solar,SolarEdge,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
124053,Maryanne,NSW - 2516,NSW,2516,True,2024-07-18,18 July 2024,5.0,,"After obtaining 3 quotes Empire Energy were the most cost effective and able to complete the job within 2 weeks. The followup service has been exceptional. Very polite, efficient and tidy as well. They are returning shortly toassist me with the use of the app etc.Overall very happy with the service, thankyou.",5.0,5.0,5.0,5.0,13kW,"$8,000 to $10,000",Jinko Solar,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
123097,Tony,NSW - 2577,NSW,2577,True,2024-06-17,17 June 2024,5.0,,"Empire Energy have been a great company to deal with, sales person was punctual polite and informative.The owner was very understanding of our situation and worked in with our schedule.Also the installation team were quick and efficient, the head contractor was very knowledgeable and explained everything thoroughly.I highly recommend this company.",5.0,5.0,5.0,5.0,10kW,"$10,000 to $12,500",Jinko Solar,Fronius,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
117937,Vinni,NSW - 2571,NSW,2571,True,2023-12-27,27 December 2023,5.0,,"The team offers a wealth of knowledge and was able to recommend the best system to suit my family lifestyle and budget. From beginning to end of the process, they were helpful and professional. The install was neat and tidy and my property was left clean. I highly recommend the Company as they are also locally recognised within the community and can be relied upon for any post-install questions (Please note, I am employee of Empire Energy)",5.0,5.0,5.0,5.0,13kW,"$10,000 to $12,500",Jinko Solar,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/07f597a4b4f94220b615593994e44c410.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/ce28867e192c6f44b61654c5796b064d1.jpg']",0,0
116127,Julie,NSW - 2529,NSW,2529,True,2023-11-01,01 November 2023,5.0,,"Once I had received the quote the sales person came out to my property and reviewed the proposed installation. We agreed on some changes and the price was revised. It was very straightforward and Empire Energy answered all my questions in simple terms.Installation was within 5 weeks which was much quicker than I expected. Empire Energy were punctual, professional, tidy and efficient. The lead installer explained what was going on and checked in with me with any changes they had.Everything was fully connected and the app up and running when they left. The next day I got copied on all the grid connection forms. They did it all.",5.0,5.0,5.0,5.0,7kW,"$8,000 to $10,000",Jinko Solar,Sungrow,,,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_jinko-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
115550,Dawn,NSW - 2573,NSW,2573,True,2023-10-14,14 October 2023,4.75,,It’s only been on for 2 days but every thing went fine. Joe and Wayne kept us up to date with all happenings and very efficiently installed.,5.0,4.0,5.0,5.0,13kW,"$8,000 to $10,000",,Goodwe,,,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png'],0,0
114331,Robyn  Lydia,NSW - 2570,NSW,2570,True,2023-09-11,11 September 2023,4.75,,"Empire Energy was excellent in all presale aspects of quoting, design of the sytem, answering questions, providing information and making accommodations we requested. Punctual, communicative and reliable.Install team was prompt, efficient, friendly and very tidy.Admin staff went above and beyond to ensure the sytem was working properly and that we were happy, and supported us to be able to resolve technical issues with the app.Highly recommend this company.",5.0,5.0,5.0,4.0,8kW,"$8,000 to $10,000",Trina,SolarEdge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
112181,Bob,NSW - 2570,NSW,2570,True,2023-07-09,09 July 2023,5.0,,From the first phone call to the completion of the installation I couldn’t be happier with Empire energy. Great bunch of guys to deal with. Would recommend them to anyone.Bob H,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Trina,SolarEdge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
101137,Jenny,NSW - 2577,NSW,2577,True,2023-05-01,01 May 2023,5.0,,"I was very happy with the time Wayne spent with me to explain options and check the necessary details as well as the quotes he provided which were easy to understand and gave a lot of detail. Unlike some other companies he took the time to come and visit my premises before quoting.The installation happened earlier than expected which was very pleasing. The whole team that I dealt with was excellent,  from quoting to installation. One of my reasons for selecting Wayne was that he has his own team of installers rather than sub-contractors.Empire Energy have organised the grid connection but I am waiting on the power supplier to complete this.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Hyundai Solar,SolarEdge,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hyundai-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png']",0,0
108125,Mark,NSW - 2574,NSW,2574,True,2023-02-12,12 February 2023,2.5,,"Connections  in meter box were crap, I had to redo them, meter panel didn't close as their cb blocked the panel from closing, broke numerous tiles on my roof broke a time clock I was using to control my hot water",3.0,3.0,2.0,2.0,5kW,"$4,000 to $6,000",,Goodwe,,,,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_goodwe.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/250152e8511666c66fdf5dcef7a7358d0.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/24147309a6c00fa96c7b4c2fb022616b2.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/44ed33efd339caa757d17e31f1f85c013.jpg']",0,0
104009,Andrew,NSW - 2558,NSW,2558,True,2022-09-28,28 September 2022,4.5,,Empire energy were very easy to work with. Prompt and friendly service. Highly recommend.,4.0,5.0,4.0,5.0,6.6kW,"$6,000 to $8,000",Trina,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
