review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,panel_rating,inverter_rating,has_images,image_urls,overall_rating,quality_rating
81436,Tony,SA - 5583,SA,5583,True,2021-05-14,14 May 2021,5.0,,"The quote was very clear simple and informative.  I was informed continually of the progress prior to the installation.  The installation team were very efficient, punctual and impressive. everything was left tidy and clean.   The grid connection was organised and left nothing to be desired.",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Canadian Solar Inc,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
80360,Garry,SA - 5583,SA,5583,True,2021-04-14,14 April 2021,5.0,,"From my initial contact to Solar-quotes and to the completed installation by Energy Hub you could not wish for better.From the comprehensive quote , prompt installation and methodical attention to workmanship and cleanliness.Thanks Reece and to the installation boys.",5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",Suntech,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
82985,Ellie,SA - 5159,SA,5159,True,2020-10-27,27 October 2020,5.0,,"The team from EnergyHub were great! Alex was punctual, tidy and very professional. They are fair priced and do quality work. Have already recommended them to family and friends.",5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",JA Solar,Sungrow,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_ja-solar.jpg', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/833f414fbc03ec017751ba6b359a05810.jpeg']",0,0
81212,Tom,SA - 5581,SA,5581,True,2020-09-07,07 September 2020,5.0,,"Too often these days sales people/installers/tradespeople are fluent in lip-service but not so good at fulfilling promises and expectations.From the first contact to the final handover, doing business with Reece was thoroughly fuss free and painless.I cannot recommend him and his crew highly enough.Thank you for giving me the opportunity to find his company.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
80571,Mark,SA - 5277,SA,5277,True,2020-08-19,19 August 2020,4.5,,From the first quote until the installation was completed. Nothing was too hard with every question I threw at them. Honest and reliable.Would recommend Energy Hub to everyone.,4.0,4.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Suntech,Fronius,,4.0,4.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_suntech.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
78322,James,SA - 5290,SA,5290,True,2020-06-27,27 June 2020,5.0,,"Great customer service,  always letting us know every step of the process. Did all the required paperwork to organise the install and the crew was polite and tidied up after themselves. Thanks Energy Hub.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/047a2e77ef2b7278af764bd34c4e31950.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/402b9a2b8ef65f6c95b28a2f345d93f91.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/59b84c01b1659bfe72830f68841f446b2.jpg']",0,0
78307,Shawn,SA - 5271,SA,5271,True,2020-06-27,27 June 2020,5.0,,"Would confidently recommend Reece Mundy and the team at Energy Hub.From the first call, Reece followed though on the whole job. Very competitively priced and careful workmanship.The team has a passion for Solar energy. You can pick up on this in their work ethic.Would be very happy recommending Energy Hub.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Canadian Solar Inc,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
77880,Robert,SA - 5118,SA,5118,True,2020-06-18,18 June 2020,5.0,,"A friend referred me to Reece at Energy Hub. Was best bit of advice I have had in ages. Energy Hub were awesome; nothing was too hard for them.Sales/Customer Service - Reece was more than happy to explain solar systems pros and cons with factual examples. He sold me what I needed, no up selling, unlike my previous attempt to get solar on my house. His knowledge second to none, made selecting a system easy. He organised all the relevant paperwork, he communicated every stage of the process. Which made the process seamless.Installation - Nathan and boys were on time, very polite and more than happy to work around my family and myself (I work from home). They were well organised and there cleanliness was greatly appreciated by my wife after they left.",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Fronius,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
77583,Dana,SA - 5159,SA,5159,True,2020-06-10,10 June 2020,5.0,,We used have used Reece and Energy Hub to install 2 solar systems for us. Right from the start we knew they were genuine in their service and products.The installation was completed and cleaned to a high standard and Reece was always there to answer questions along the way.We would have no hesitation in recommending Energy Hub.Thank you!,5.0,5.0,5.0,5.0,5kW,"$4,000 to $6,000",,,,,,False,[],0,0
77400,Simon,SA - 5351,SA,5351,True,2020-06-05,05 June 2020,5.0,,Reece was nothing but professional during the quotation stage of our initial back and forth over the phone... Got a much better price than 2 other quotes for the exact same product. ($2000 dollar difference actually) His install team where very polite and efficient cheers guys ... Would highly recommend to anyone I know looking for solar!,5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",Qcells,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/I_hanwha-q-cells.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png']",0,0
77239,Tim,SA - 5169,SA,5169,True,2020-06-01,01 June 2020,5.0,,"From the first contact too the installed product Energy Hub were well and truly a cut above the rest. The owner came out to assess the job and answered all of our questions. The installers were punctual, polite, neat, clean and tidy. Our system was up and running in no time.Will recommend Energy Hub time and time again. Thanks for a great job!",5.0,5.0,5.0,5.0,more than 30kW,"$12,500 to $15,000",,,,,,False,[],0,0
76969,Martin,SA - 5166,SA,5166,True,2020-05-21,21 May 2020,5.0,,Reece and the boys have installed three solar systems for us over the last eight years including a 6 kw system at our house at Oâ€™Sullivan Beach. All the systems have performed faultlessly and saved us a heap of money.  CCC have also built us four houses in the same timeline two as investment properties and two that are our own . Have never had any issues with the building work or finished products. Can highly recommend Reece and the guys as totally professional and great tradesmen.Martin and Karen Eley,5.0,5.0,5.0,5.0,6kW,"$4,000 to $6,000",,,,,,False,[],0,0
76954,Ryhlie,SA - 5039,SA,5039,True,2020-05-21,21 May 2020,5.0,,Good crew. Short lead time. Solid price. No worries. Quality system with smart monitoring. Sorts my bill out,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Canadian Solar Inc,Fronius,,5.0,5.0,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_canadian-solar.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8e710218cc1ddf010497e0d70b0eca260.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8e710218cc1ddf010497e0d70b0eca260.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8a4b66ed955a6689d73fc9fd13f4e6121.jpg', 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/8a4b66ed955a6689d73fc9fd13f4e6121.jpg']",0,0
